Date,NORWAY IMI VALUE IMI (Large+Mid+Small Cap)
2008-05-30,1225.267
2008-06-30,1135.286
2008-07-31,1055.21
2008-08-29,997.275
2008-09-30,700.981
2008-10-31,506.912
2008-11-28,430.114
2008-12-31,434.414
2009-01-30,450.479
2009-02-27,426.953
2009-03-31,462.632
2009-04-30,530.041
2009-05-29,625.002
2009-06-30,590.209
2009-07-31,650.595
2009-08-31,682.331
2009-09-30,753.647
2009-10-30,784.74
2009-11-30,820.608
2009-12-31,838.182
2010-01-29,804.495
2010-02-26,768.619
2010-03-31,817.004
2010-04-30,849.871
2010-05-31,703.863
2010-06-30,681.977
2010-07-30,781.593
2010-08-31,732.036
2010-09-30,844.692
2010-10-29,877.452
2010-11-30,800.851
2010-12-31,941.487
2011-01-31,933.084
2011-02-28,1009.924
2011-03-31,1027.983
2011-04-29,1088.306
2011-05-31,1020.845
2011-06-30,981.007
2011-07-29,965.041
2011-08-31,892.008
2011-09-30,774.521
2011-10-31,908.284
2011-11-30,879.955
2011-12-30,866.015
2012-01-31,894.722
2012-02-29,1014.306
2012-03-30,969.237
2012-04-30,941.196
2012-05-31,816.234
2012-06-29,897.034
2012-07-31,928.211
2012-08-31,977.386
2012-09-28,1028.535
2012-10-31,1027.893
2012-11-30,1044.448
2012-12-31,1066.512
2013-01-31,1135.745
2013-02-28,1095.109
2013-03-29,1070.775
2013-04-30,1116.63
2013-05-31,1109.913
2013-06-28,1025.894
2013-07-31,1117.412
2013-08-30,1087.494
2013-09-30,1110.642
2013-10-31,1185.684
2013-11-29,1157.287
2013-12-31,1176.252
2014-01-31,1098.028
2014-02-28,1183.522
2014-03-31,1203.118
2014-04-30,1251.729
2014-05-30,1312.403
2014-06-30,1318.735
2014-07-31,1256.469
2014-08-29,1276.652
2014-09-30,1206.742
2014-10-31,1088.94
2014-11-28,963.225
2014-12-31,899.839
2015-01-30,894.675
2015-02-27,962.692
2015-03-31,911.597
2015-04-30,1035.216
2015-05-29,1000.495
2015-06-30,962.659
2015-07-31,933.967
2015-08-31,833.669
2015-09-30,796.883
2015-10-30,846.206
2015-11-30,841.304
2015-12-31,785.291
2016-01-29,737.738
2016-02-29,753.537
2016-03-31,804.684
2016-04-29,874.025
2016-05-31,852.188
2016-06-30,834.029
2016-07-29,829.344
2016-08-31,851.798
2016-09-30,897.826
2016-10-31,910.486
2016-11-30,924.219
2016-12-30,961.948
2017-01-31,1032.897
2017-02-28,1004.391
2017-03-31,988.095
2017-04-28,1002.254
2017-05-31,1034.491
2017-06-30,1019.879
2017-07-31,1145.468
2017-08-31,1170.674
2017-09-29,1216.104
2017-10-31,1205.489
2017-11-30,1172.207
2017-12-29,1198.274
2018-01-31,1295.501
2018-02-28,1282.32
2018-03-30,1273.458
2018-04-30,1351.07
2018-05-31,1348.132
2018-06-29,1381.939
2018-07-31,1412.273
2018-08-31,1397.596
2018-09-28,1484.834
2018-10-31,1362.419
2018-11-30,1257.965
2018-12-31,1155.666
2019-01-31,1260.504
2019-02-28,1284.777
2019-03-29,1261.605
2019-04-30,1300.307
2019-05-31,1184.059
2019-06-28,1243.658
2019-07-31,1185.674
2019-08-30,1126.059
2019-09-30,1176.322
2019-10-31,1174.572
2019-11-29,1165.042
2019-12-31,1258.147
2020-01-31,1168.817
2020-02-28,1025.826
2020-03-31,749.6
2020-04-30,844.437
2020-05-29,905.823
2020-06-30,901.312
2020-07-31,978.871
2020-08-31,1045.449
2020-09-30,953.498
2020-10-30,888.161
2020-11-30,1134.25
2020-12-31,1212.508
2021-01-29,1227.994
2021-02-26,1298.279
2021-03-31,1388.914
2021-04-30,1422.231
2021-05-31,1471.709
2021-06-30,1432.681
2021-07-30,1394.732
2021-08-31,1426.429
2021-09-30,1506.672
2021-10-29,1576.142
2021-11-30,1456.701
2021-12-31,1571.473
2022-01-31,1588.728
2022-02-28,1654.932
2022-03-31,1767.905
2022-04-29,1635.863
2022-05-31,1712.356
2022-06-30,1485.713
2022-07-29,1609.672
2022-08-31,1585.325
2022-09-30,1319.396
2022-10-31,1470.129
2022-11-30,1583.005
2022-12-30,1558.867
2023-01-31,1528.525
2023-02-28,1540.39
2023-03-31,1441.949
2023-04-28,1458.999
2023-05-31,1355.656
2023-06-30,1433.567
2023-07-31,1568.922
2023-08-31,1532.445
2023-09-29,1589.916
2023-10-31,1519.649
2023-11-30,1577.666
2023-12-29,1662.94
2024-01-31,1579.357
2024-02-29,1528.134
2024-03-29,1553.135
2024-04-30,1588.456
2024-05-31,1749.07
2024-06-28,1710.734
2024-07-31,1683.208
2024-08-30,1716.734
2024-09-30,1718.773
2024-10-31,1656.814
2024-11-29,1674.577
2024-12-31,1609.951
2025-01-31,1717.042
2025-02-28,1721.368
2025-03-31,1911.818
2025-04-30,1875.11
2025-05-30,1986.898
2002-12-31,181.683
2003-01-31,173.623
2003-02-28,158.267
2003-03-31,160.781
2003-04-30,185.378
2004-06-30,329.6
2004-07-30,323.849
2004-08-31,332.483
2004-09-30,372.474
2004-10-29,380.73
