Date,EM (EMERGING MARKETS) LARGE VALUE Large Cap
2022-07-29,1384.12
2022-08-31,1384.159
2022-09-30,1244.157
2022-10-31,1215.243
2022-11-30,1381.749
2022-12-30,1357.826
2023-01-31,1459.685
2023-02-28,1373.107
2023-03-31,1413.838
2023-04-28,1418.28
2023-05-31,1393.139
2023-06-30,1452.433
2023-07-31,1546.413
2023-08-31,1455.578
2023-09-29,1442.512
2023-10-31,1384.806
2023-11-30,1471.268
2023-12-29,1552.947
2024-01-31,1500.748
2024-02-29,1561.762
2024-03-29,1581.762
2024-04-30,1593.017
2024-05-31,1607.587
2024-06-28,1669.596
2024-07-31,1680.488
2024-08-30,1704.147
2024-09-30,1806.416
2024-10-31,1714.88
2024-11-29,1656.293
2024-12-31,1645.535
2025-01-31,1670.645
2025-02-28,1697.22
2025-03-31,1735.405
2025-04-30,1736.407
2025-05-30,1797.048
