Date,JAPAN SMALL GROWTH Small Cap
2001-08-31,684.054
2001-09-28,627.177
2001-10-31,654.338
2001-11-30,620.46
2001-12-31,552.794
2002-01-31,522.925
2002-02-28,540.148
2002-03-29,568.187
2002-04-30,604.296
2002-05-31,660.389
2002-06-28,627.35
2002-07-31,597.458
2002-08-30,579.362
2002-09-30,545.953
2002-10-31,492.045
2002-11-29,502.29
2002-12-31,488.761
2003-01-31,478.301
2003-02-28,493.282
2003-03-31,489.164
2003-04-30,504.649
2003-05-30,527.101
2003-06-30,563.261
2003-07-31,577.11
2003-08-29,633.469
2003-09-30,682.007
2003-10-31,748.014
2003-11-28,685.818
2003-12-31,725.841
2004-01-30,748.315
2004-02-27,739.172
2004-03-31,882.801
2004-04-30,867.946
2004-05-31,811.885
2004-06-30,899.579
2004-07-30,810.733
2004-08-31,818.712
2004-09-30,785.121
2004-10-29,795.593
2004-11-30,834.582
2004-12-31,869.858
2005-01-31,899.219
2005-02-28,909.162
2005-03-31,901.402
2005-04-29,892.128
2005-05-31,872.404
2005-06-30,886.122
2005-07-29,904.28
2005-08-31,933.992
2005-09-30,983.589
2005-10-31,1011.689
2005-11-30,1051.845
2005-12-30,1199.425
2006-01-31,1234.763
2006-02-28,1145.778
2006-03-31,1199.442
2006-04-28,1202.217
2006-05-31,1106.223
2006-06-30,1069.079
2006-07-31,997.619
2006-08-31,1024.064
2006-09-29,1005.296
2006-10-31,1009.807
2006-11-30,1002.626
2006-12-29,1002.666
2007-01-31,1015.446
2007-02-28,1043.655
2007-03-30,1036.149
2007-04-30,1011.758
2007-05-31,1000.0
2007-06-29,1004.422
2007-07-31,999.683
2007-08-31,944.05
2007-09-28,948.258
2007-10-31,977.934
2007-11-30,947.602
2007-12-31,882.496
2008-01-31,830.019
2008-02-29,844.533
2008-03-31,842.88
2008-04-30,855.559
2008-05-30,876.947
2008-06-30,821.826
2008-07-31,794.752
2008-08-29,758.7
2008-09-30,675.429
2008-10-31,596.102
2008-11-28,620.155
2008-12-31,668.164
2009-01-30,629.822
2009-02-27,549.236
2009-03-31,560.331
2009-04-30,577.255
2009-05-29,648.026
2009-06-30,685.94
2009-07-31,707.118
2009-08-31,745.094
2009-09-30,747.313
2009-10-30,723.444
2009-11-30,700.971
2009-12-31,689.184
2010-01-29,704.438
2010-02-26,715.164
2010-03-31,747.828
2010-04-30,762.996
2010-05-31,714.636
2010-06-30,713.66
2010-07-30,722.458
2010-08-31,706.73
2010-09-30,741.052
2010-10-29,739.14
2010-11-30,754.541
2010-12-31,824.803
2011-01-31,833.631
2011-02-28,868.12
2011-03-31,808.869
2011-04-29,819.341
2011-05-31,813.737
2011-06-30,841.277
2011-07-29,878.026
2011-08-31,840.512
2011-09-30,836.795
2011-10-31,811.064
2011-11-30,787.844
2011-12-30,799.552
2012-01-31,821.598
2012-02-29,814.916
2012-03-30,841.607
2012-04-30,839.756
2012-05-31,772.83
2012-06-29,807.617
2012-07-31,802.001
2012-08-31,805.385
2012-09-28,825.935
2012-10-31,807.541
2012-11-30,804.591
2012-12-31,812.536
2013-01-31,841.698
2013-02-28,867.271
2013-03-29,941.034
2013-04-30,1021.311
2013-05-31,946.445
2013-06-28,943.363
2013-07-31,961.79
2013-08-30,948.879
2013-09-30,1057.53
2013-10-31,1050.731
2013-11-29,1034.682
2013-12-31,1040.101
2014-01-31,1034.592
2014-02-28,1007.324
2014-03-31,1003.172
2014-04-30,981.273
2014-05-30,1016.562
2014-06-30,1093.005
2014-07-31,1106.38
2014-08-29,1095.586
2014-09-30,1057.44
2014-10-31,1025.57
2014-11-28,1011.675
2014-12-31,1015.096
2015-01-30,1054.397
2015-02-27,1092.08
2015-03-31,1132.453
2015-04-30,1142.955
2015-05-29,1161.56
2015-06-30,1193.442
2015-07-31,1206.372
2015-08-31,1167.62
2015-09-30,1111.824
2015-10-30,1182.851
2015-11-30,1208.565
2015-12-31,1225.286
2016-01-29,1149.704
2016-02-29,1145.803
2016-03-31,1232.84
2016-04-29,1276.362
2016-05-31,1286.197
2016-06-30,1300.801
2016-07-29,1342.356
2016-08-31,1264.673
2016-09-30,1355.727
2016-10-31,1355.912
2016-11-30,1263.916
2016-12-30,1279.986
2017-01-31,1326.768
2017-02-28,1362.431
2017-03-31,1380.26
2017-04-28,1409.3
2017-05-31,1492.223
2017-06-30,1492.034
2017-07-31,1531.614
2017-08-31,1566.008
2017-09-29,1582.387
2017-10-31,1650.177
2017-11-30,1725.648
2017-12-29,1744.932
2018-01-31,1830.074
2018-02-28,1811.359
2018-03-30,1824.466
2018-04-30,1806.715
2018-05-31,1834.918
2018-06-29,1773.318
2018-07-31,1734.135
2018-08-31,1726.215
2018-09-28,1748.433
2018-10-31,1556.179
2018-11-30,1622.679
2018-12-31,1460.794
2019-01-31,1541.433
2019-02-28,1576.057
2019-03-29,1598.055
2019-04-30,1614.664
2019-05-31,1555.409
2019-06-28,1580.226
2019-07-31,1607.096
2019-08-30,1595.904
2019-09-30,1641.433
2019-10-31,1719.757
2019-11-29,1748.021
2019-12-31,1783.018
2020-01-31,1717.002
2020-02-28,1504.643
2020-03-31,1452.001
2020-04-30,1568.739
2020-05-29,1708.079
2020-06-30,1697.441
2020-07-31,1675.752
2020-08-31,1789.657
2020-09-30,1897.388
2020-10-30,1848.478
2020-11-30,1984.804
2020-12-31,2046.068
2021-01-29,2015.94
2021-02-26,1964.282
2021-03-31,2022.412
2021-04-30,2000.746
2021-05-31,1976.792
2021-06-30,2021.579
2021-07-30,1996.107
2021-08-31,2076.269
2021-09-30,2113.753
2021-10-29,2041.566
2021-11-30,1923.585
2021-12-31,1925.907
2022-01-31,1744.743
2022-02-28,1776.152
2022-03-31,1733.666
2022-04-29,1585.157
2022-05-31,1586.308
2022-06-30,1489.824
2022-07-29,1580.988
2022-08-31,1548.754
2022-09-30,1433.185
2022-10-31,1434.223
2022-11-30,1560.529
2022-12-30,1584.257
2023-01-31,1648.684
2023-02-28,1576.9
2023-03-31,1638.131
2023-04-28,1639.739
2023-05-31,1616.717
2023-06-30,1637.225
2023-07-31,1684.352
2023-08-31,1662.189
2023-09-29,1577.62
2023-10-31,1505.714
2023-11-30,1635.221
2023-12-29,1732.031
2024-01-31,1723.103
2024-02-29,1752.452
2024-03-29,1789.038
2024-04-30,1676.208
2024-05-31,1673.546
2024-06-28,1666.15
2024-07-31,1795.064
2024-08-30,1843.404
2024-09-30,1903.325
2024-10-31,1790.123
2024-11-29,1812.909
2024-12-31,1789.863
2025-01-31,1816.157
2025-02-28,1788.291
2025-03-31,1816.484
2025-04-30,1928.238
2025-05-30,2028.353
2025-06-30,2127.048
2025-07-31,2089.556
2025-08-29,2202.843
2025-09-30,2222.047
2025-10-31,2180.318
2025-11-28,2186.799
