Date,JAPAN SMALL GROWTH Small Cap
2019-06-28,1547.739
2019-07-31,1574.04
2019-08-30,1562.946
2019-09-30,1606.428
2019-10-31,1683.038
2019-11-29,1710.63
2019-12-31,1744.512
2020-01-31,1679.863
2020-02-28,1471.94
2020-03-31,1418.879
2020-04-30,1532.918
2020-05-29,1668.995
2020-06-30,1658.368
2020-07-31,1637.116
2020-08-31,1748.224
2020-09-30,1852.404
2020-10-30,1804.594
2020-11-30,1937.657
2020-12-31,1997.063
2021-01-29,1967.612
2021-02-26,1916.942
2021-03-31,1972.211
2021-04-30,1951.009
2021-05-31,1927.408
2021-06-30,1970.843
2021-07-30,1945.948
2021-08-31,2023.885
2021-09-30,2059.309
2021-10-29,1988.945
2021-11-30,1873.92
2021-12-31,1875.708
2022-01-31,1699.143
2022-02-28,1729.452
2022-03-31,1686.391
2022-04-29,1541.871
2022-05-31,1542.741
2022-06-30,1448.582
2022-07-29,1537.112
2022-08-31,1505.578
2022-09-30,1392.3
2022-10-31,1393.245
2022-11-30,1515.861
2022-12-30,1538.495
2023-01-31,1600.952
2023-02-28,1530.975
2023-03-31,1588.706
2023-04-28,1590.179
2023-05-31,1567.648
2023-06-30,1587.159
2023-07-31,1632.743
2023-08-31,1611.079
2023-09-29,1527.982
2023-10-31,1458.26
2023-11-30,1583.594
2023-12-29,1676.836
2024-01-31,1668.12
2024-02-29,1696.316
2024-03-29,1729.863
2024-04-30,1620.719
2024-05-31,1617.935
2024-06-28,1610.429
2024-07-31,1734.962
2024-08-30,1781.482
2024-09-30,1837.777
2024-10-31,1728.432
2024-11-29,1750.335
2024-12-31,1727.63
2025-01-31,1752.996
2025-02-28,1725.792
2025-03-31,1750.884
2025-04-30,1858.551
2025-05-30,1954.825
2025-06-30,2049.471
2025-07-31,2013.296
2025-08-29,2122.251
2025-09-30,2138.705
2025-10-31,2098.5
2025-11-28,2104.669
2025-12-31,2088.964
