Date,ITALY VALUE Standard (Large+Mid Cap)
1992-08-31,256.138
1992-09-30,208.803
1992-10-30,247.852
1992-11-30,234.3
1992-12-31,230.321
1993-01-29,247.19
1993-02-26,256.315
1993-03-31,235.022
1993-04-30,287.309
1993-05-31,290.859
1993-06-30,288.914
1993-07-30,296.507
1993-08-31,344.462
1993-09-30,314.628
1993-10-29,305.426
1993-11-30,283.569
1993-12-31,321.396
1994-01-31,354.711
1994-02-28,359.756
1994-03-31,420.138
1994-04-29,478.752
1994-05-31,441.071
1994-06-30,418.151
1994-07-29,435.581
1994-08-31,417.885
1994-09-30,415.338
1994-10-31,388.439
1994-11-30,360.428
1994-12-30,368.238
1995-01-31,402.507
1995-02-28,367.278
1995-03-31,341.412
1995-04-28,375.677
1995-05-31,375.966
1995-06-30,354.847
1995-07-31,385.675
1995-08-31,370.004
1995-09-29,368.379
1995-10-31,338.694
1995-11-30,311.538
1995-12-29,345.874
1996-01-31,364.654
1996-02-29,358.714
1996-03-29,346.714
1996-04-30,397.765
1996-05-31,401.72
1996-06-28,401.538
1996-07-31,370.309
1996-08-30,376.777
1996-09-30,388.045
1996-10-31,369.769
1996-11-29,393.375
1996-12-31,403.394
1997-01-31,452.231
1997-02-28,411.95
1997-03-31,420.96
1997-04-30,424.147
1997-05-30,424.856
1997-06-30,465.459
1997-07-31,491.62
1997-08-29,481.607
1997-09-30,556.471
1997-10-31,524.791
1997-11-28,533.124
1997-12-31,574.673
1998-01-30,644.016
1998-02-27,686.53
1998-03-31,856.323
1998-04-30,826.069
1998-05-29,880.043
1998-06-30,814.413
1998-07-31,896.49
1998-08-31,746.263
1998-09-30,732.071
1998-10-30,773.239
1998-11-30,856.761
1998-12-31,911.079
1999-01-29,823.802
1999-02-26,817.333
1999-03-31,879.389
1999-04-30,863.441
1999-05-31,810.955
1999-06-30,786.391
1999-07-30,769.03
1999-08-31,780.307
1999-09-30,814.056
1999-10-29,778.607
1999-11-30,735.09
1999-12-31,750.524
2000-01-31,663.566
2000-02-29,704.153
2000-03-31,706.173
2000-04-28,701.537
2000-05-31,739.577
2000-06-30,813.678
2000-07-31,785.906
2000-08-31,799.879
2000-09-29,752.076
2000-10-31,760.93
2000-11-30,797.067
2000-12-29,840.565
2001-01-31,850.887
2001-02-28,801.339
2001-03-30,745.834
2001-04-30,779.94
2001-05-31,749.605
2001-06-29,721.866
2001-07-31,730.455
2001-08-31,755.2
2001-09-28,656.515
2001-10-31,658.481
2001-11-30,660.281
2001-12-31,677.044
2002-01-31,679.455
2002-02-28,680.267
2002-03-29,739.675
2002-04-30,765.486
2002-05-31,749.277
2002-06-28,769.8
2002-07-31,668.215
2002-08-30,684.695
2002-09-30,595.933
2002-10-31,612.245
2002-11-29,667.797
2002-12-31,676.681
2003-01-31,663.909
2003-02-28,675.727
2003-03-31,630.156
2003-04-30,706.455
2003-05-30,795.414
2003-06-30,773.355
2003-07-31,770.0
2003-08-29,761.143
2003-09-30,787.777
2003-10-31,821.399
2003-11-28,886.988
2003-12-31,934.815
2004-01-30,951.95
2004-02-27,983.924
2004-03-31,981.47
2004-04-30,996.884
2004-05-31,998.532
2004-06-30,1026.95
2004-07-30,1015.725
2004-08-31,1013.9
2004-09-30,1079.389
2004-10-29,1131.905
2004-11-30,1233.025
2004-12-31,1311.556
2005-01-31,1274.592
2005-02-28,1323.776
2005-03-31,1327.132
2005-04-29,1267.682
2005-05-31,1255.67
2005-06-30,1271.944
2005-07-29,1335.505
2005-08-31,1368.242
2005-09-30,1387.453
2005-10-31,1290.954
2005-11-30,1331.716
2005-12-30,1389.818
2006-01-31,1467.41
2006-02-28,1447.719
2006-03-31,1481.254
2006-04-28,1549.38
2006-05-31,1565.6
2006-06-30,1571.335
2006-07-31,1586.251
2006-08-31,1615.37
2006-09-29,1616.652
2006-10-31,1692.906
2006-11-30,1795.133
2006-12-29,1819.117
2007-01-31,1811.199
2007-02-28,1784.897
2007-03-30,1825.169
2007-04-30,1940.507
2007-05-31,1939.436
2007-06-29,1924.159
2007-07-31,1857.065
2007-08-31,1843.477
2007-09-28,1912.708
2007-10-31,1959.276
2007-11-30,1947.408
2007-12-31,1919.603
2008-01-31,1734.97
2008-02-29,1730.622
2008-03-31,1662.004
2008-04-30,1794.993
2008-05-30,1817.691
2008-06-30,1623.067
2008-07-31,1547.638
2008-08-29,1476.517
2008-09-30,1225.601
2008-10-31,964.737
2008-11-28,921.022
2008-12-31,978.122
2009-01-30,850.88
2009-02-27,742.037
2009-03-31,785.198
2009-04-30,935.936
2009-05-29,1055.308
2009-06-30,1012.419
2009-07-31,1095.756
2009-08-31,1211.089
2009-09-30,1296.216
2009-10-30,1221.571
2009-11-30,1232.098
2009-12-31,1236.61
2010-01-29,1125.705
2010-02-26,1064.033
2010-03-31,1139.633
2010-04-30,1061.799
2010-05-31,896.053
2010-06-30,892.46
2010-07-30,1035.732
2010-08-31,964.259
2010-09-30,1068.836
2010-10-29,1129.992
2010-11-30,935.923
2010-12-31,1002.341
2011-01-31,1124.332
2011-02-28,1159.966
2011-03-31,1149.373
2011-04-29,1249.682
2011-05-31,1154.091
2011-06-30,1126.022
2011-07-29,1008.688
2011-08-31,867.448
2011-09-30,788.192
2011-10-31,893.166
2011-11-30,817.876
2011-12-30,786.628
2012-01-31,831.607
2012-02-29,872.042
2012-03-30,846.064
2012-04-30,767.032
2012-05-31,649.447
2012-06-29,757.108
2012-07-31,701.933
2012-08-31,790.088
2012-09-28,812.371
2012-10-31,843.049
2012-11-30,862.84
2012-12-31,901.596
2013-01-31,999.568
2013-02-28,856.91
2013-03-29,798.018
2013-04-30,907.34
2013-05-31,914.091
2013-06-28,812.45
2013-07-31,883.922
2013-08-30,898.367
2013-09-30,967.259
2013-10-31,1100.142
2013-11-29,1081.265
2013-12-31,1088.094
2014-01-31,1087.741
2014-02-28,1172.255
2014-03-31,1233.367
2014-04-30,1259.379
2014-05-30,1251.261
2014-06-30,1284.97
2014-07-31,1219.01
2014-08-29,1186.072
2014-09-30,1165.238
2014-10-31,1105.504
2014-11-28,1089.607
2014-12-31,995.789
2015-01-30,996.161
2015-02-27,1056.017
2015-03-31,1021.03
2015-04-30,1078.053
2015-05-29,1072.994
2015-06-30,1037.019
2015-07-31,1067.948
2015-08-31,1014.967
2015-09-30,989.51
2015-10-30,1034.776
2015-11-30,1009.877
2015-12-31,968.252
2016-01-29,872.015
2016-02-29,840.981
2016-03-31,910.198
2016-04-29,939.448
2016-05-31,905.315
2016-06-30,848.88
2016-07-29,871.7
2016-08-31,865.214
2016-09-30,844.384
2016-10-31,846.373
2016-11-30,803.994
2016-12-30,918.082
2017-01-31,886.6
2017-02-28,881.879
2017-03-31,971.13
2017-04-28,989.049
2017-05-31,1043.812
2017-06-30,1061.078
2017-07-31,1138.693
2017-08-31,1148.294
2017-09-29,1186.123
2017-10-31,1156.943
2017-11-30,1178.397
2017-12-29,1153.381
2018-01-31,1289.151
2018-02-28,1217.176
2018-03-30,1229.102
2018-04-30,1305.457
2018-05-31,1122.195
2018-06-29,1131.206
2018-07-31,1184.23
2018-08-31,1044.183
2018-09-28,1075.56
2018-10-31,993.89
2018-11-30,1017.66
2018-12-31,992.5
2019-01-31,1058.95
2019-02-28,1108.074
2019-03-29,1132.749
2019-04-30,1149.121
2019-05-31,1049.163
2019-06-28,1143.254
2019-07-31,1129.267
2019-08-30,1117.156
2019-09-30,1164.955
2019-10-31,1212.589
2019-11-29,1209.922
2019-12-31,1250.497
2020-01-31,1218.52
2020-02-28,1139.828
2020-03-31,854.721
2020-04-30,860.777
2020-05-29,911.489
2020-06-30,992.832
2020-07-31,1025.65
2020-08-31,1060.924
2020-09-30,985.204
2020-10-30,907.69
2020-11-30,1179.861
2020-12-31,1199.838
2021-01-29,1166.05
2021-02-26,1242.185
2021-03-31,1319.706
2021-04-30,1314.334
2021-05-31,1389.867
2021-06-30,1329.591
2021-07-30,1334.058
2021-08-31,1347.397
2021-09-30,1299.864
2021-10-29,1365.317
2021-11-30,1256.459
2021-12-31,1364.439
2022-01-31,1392.998
2022-02-28,1327.767
2022-03-31,1263.081
2022-04-29,1162.263
2022-05-31,1231.88
2022-06-30,1038.97
2022-07-29,1037.145
2022-08-31,1000.565
2022-09-30,930.751
2022-10-31,1055.864
2022-11-30,1206.244
2022-12-30,1199.076
2023-01-31,1371.778
2023-02-28,1388.766
2023-03-31,1392.567
2023-04-28,1469.66
2023-05-31,1357.725
2023-06-30,1516.685
2023-07-31,1637.588
2023-08-31,1572.788
2023-09-29,1531.28
2023-10-31,1522.519
2023-11-30,1671.957
2023-12-29,1733.845
2024-01-31,1728.532
2024-02-29,1786.759
2024-03-29,1936.559
2024-04-30,1875.823
2024-05-31,1972.439
2024-06-28,1863.391
2024-07-31,1927.301
2024-08-30,1987.754
2024-09-30,1990.591
2024-10-31,1945.85
2024-11-29,1880.456
2024-12-31,1893.755
2025-01-31,2048.406
2025-02-28,2182.126
2025-03-31,2290.324
2025-04-30,2385.563
2025-05-30,2564.604
2025-06-30,2640.246
