Date,BELGIUM LARGE GROWTH Large Cap
2019-10-31,2011.658
2019-11-29,2002.504
2019-12-31,2048.312
2020-01-31,1967.9
2020-02-28,1532.723
2020-03-31,1269.928
2020-04-30,1318.856
2020-05-29,1369.639
2020-06-30,1584.232
2020-07-31,1760.97
2020-08-31,1628.342
2020-09-30,1556.189
2020-10-30,1349.82
2020-11-30,1465.683
2020-12-31,1414.158
2021-01-29,1421.447
2021-02-26,1369.013
2021-03-31,1304.365
2021-04-30,1283.77
2021-11-30,1000.0
2021-12-31,1054.547
2022-01-31,911.798
2022-02-28,1014.06
2022-03-31,1115.064
2022-04-29,1065.623
2022-05-31,820.151
2022-06-30,779.804
2022-07-29,773.524
2022-08-31,698.34
2022-09-30,660.948
2022-10-31,716.161
2022-11-30,805.698
2022-12-30,804.148
2023-01-31,809.571
2023-02-28,812.388
2023-03-31,867.554
2023-04-28,871.637
2023-05-31,776.134
2023-06-30,806.236
2023-07-31,877.306
2023-08-31,875.515
2023-09-29,844.783
2023-10-31,832.764
2023-11-30,873.026
2023-12-29,865.982
2024-01-31,857.703
2024-02-29,860.139
2024-03-29,889.738
2024-04-30,883.338
2024-05-31,914.698
2024-06-28,925.13
2024-07-31,1001.041
2024-08-30,1037.413
2024-09-30,1093.825
2024-10-31,1076.934
2024-11-29,1054.703
2024-12-31,1040.012
2025-01-31,1067.216
2025-02-28,1079.049
2025-03-31,1040.009
2025-04-30,1120.654
2025-05-30,1097.281
2025-06-30,1089.906
2025-07-31,1160.057
2025-08-29,1225.538
2025-09-30,1284.313
2025-10-31,1327.901
2025-11-28,1427.926
2025-12-31,1418.322
