Date,CANADA SMALL GROWTH Small Cap
2017-07-31,892.209
2017-08-31,899.397
2017-09-29,913.737
2017-10-31,907.551
2017-11-30,908.57
2017-12-29,964.394
2018-01-31,965.761
2018-02-28,896.866
2018-03-30,896.197
2018-04-30,914.517
2018-05-31,940.455
2018-06-29,952.376
2018-07-31,938.067
2018-08-31,951.786
2018-09-28,947.449
2018-10-31,851.267
2018-11-30,819.213
2018-12-31,775.638
2019-01-31,894.228
2019-02-28,929.075
2019-03-29,900.998
2019-04-30,900.064
2019-05-31,857.762
2019-06-28,931.659
2019-07-31,964.931
2019-08-30,962.817
2019-09-30,940.681
2019-10-31,942.213
2019-11-29,973.316
2019-12-31,1026.61
2020-01-31,1010.757
2020-02-28,920.036
2020-03-31,696.046
2020-04-30,894.442
2020-05-29,955.759
2020-06-30,1033.121
2020-07-31,1134.06
2020-08-31,1187.435
2020-09-30,1135.399
2020-10-30,1115.487
2020-11-30,1229.983
2020-12-31,1311.979
2021-01-29,1338.354
2021-02-26,1400.463
2021-03-31,1419.733
2021-04-30,1480.105
2021-05-31,1522.613
2021-06-30,1498.9
2021-07-30,1501.651
2021-08-31,1529.824
2021-09-30,1464.761
2021-10-29,1561.459
2021-11-30,1484.535
2021-12-31,1495.375
2022-01-31,1422.777
2022-02-28,1430.527
2022-03-31,1500.968
2022-04-29,1341.361
2022-05-31,1305.64
2022-06-30,1140.358
2022-07-29,1249.514
2022-08-31,1207.754
2022-09-30,1088.347
2022-10-31,1152.535
2022-11-30,1233.817
2022-12-30,1183.87
2023-01-31,1296.633
2023-02-28,1239.891
2023-03-31,1260.812
2023-04-28,1249.413
2023-05-31,1196.361
2023-06-30,1252.0
2023-07-31,1296.554
2023-08-31,1254.145
2023-09-29,1184.248
2023-10-31,1107.658
2023-11-30,1206.974
2023-12-29,1263.298
2024-01-31,1227.579
2024-02-29,1235.621
2024-03-29,1338.617
2024-04-30,1317.228
2024-05-31,1390.133
2024-06-28,1377.447
2024-07-31,1424.709
2024-08-30,1427.203
2024-09-30,1481.005
2024-10-31,1506.168
2024-11-29,1562.5
2024-12-31,1491.238
2025-01-31,1528.644
2025-02-28,1477.577
2025-03-31,1484.46
2025-04-30,1549.237
2025-05-30,1696.449
2025-06-30,1830.348
2025-07-31,1857.065
