Date,ACWI SMID VALUE SMID (Small+Mid Cap)
2002-12-16,328.27
2002-12-17,327.502
2002-12-18,323.899
2002-12-19,323.33
2002-12-20,325.927
2002-12-23,325.998
2002-12-24,325.664
2002-12-25,325.613
2002-12-26,326.887
2002-12-27,324.351
2002-12-30,326.147
2002-12-31,327.668
2003-01-01,327.661
2003-01-02,333.107
2003-01-03,333.605
2003-01-06,339.074
2003-01-07,335.484
2003-01-08,332.011
2003-01-09,335.83
2003-01-10,336.651
2003-01-13,336.986
2003-01-14,338.481
2003-01-15,336.773
2003-01-16,336.625
2003-01-17,334.325
2003-01-20,333.809
2003-01-21,330.612
2003-01-22,327.864
2003-01-23,330.11
2003-01-24,326.143
2003-01-27,319.755
2003-01-28,321.097
2003-01-29,320.69
2003-01-30,318.5
2003-01-31,320.643
2003-02-03,322.377
2003-02-04,320.845
2003-02-05,320.433
2003-02-06,317.987
2003-02-07,315.224
2003-02-10,315.47
2003-02-11,314.42
2003-02-12,311.995
2003-02-13,311.858
2003-02-14,313.927
2003-02-17,315.441
2003-02-18,318.619
2003-02-19,317.091
2003-02-20,316.403
2003-02-21,318.467
2003-02-24,315.474
2003-02-25,313.418
2003-02-26,311.797
2003-02-27,313.337
2003-02-28,314.872
2003-03-03,315.532
2003-03-04,312.471
2003-03-05,312.823
2003-03-06,311.031
2003-03-07,309.948
2003-03-10,304.897
2003-03-11,302.353
2003-03-12,300.314
2003-03-13,305.767
2003-03-14,306.635
2003-03-17,311.587
2003-03-18,313.742
2003-03-19,314.716
2003-03-20,316.782
2003-03-21,321.516
2003-03-24,316.055
2003-03-25,317.94
2003-03-26,317.46
2003-03-27,317.301
2003-03-28,316.778
2003-03-31,313.864
2003-04-01,316.185
2003-04-02,320.537
2003-04-03,319.508
2003-04-04,320.46
2003-04-07,323.7
2003-04-08,322.078
2003-04-09,320.909
2003-04-10,322.592
2003-04-11,321.857
2003-04-14,325.32
2003-04-15,328.342
2003-04-16,327.798
2003-04-17,330.942
2003-04-18,331.143
2003-04-21,331.355
2003-04-22,335.592
2003-04-23,337.926
2003-04-24,336.555
2003-04-25,333.1
2003-04-28,336.998
2003-04-29,338.456
2003-04-30,341.423
2003-05-01,342.133
2003-05-02,345.307
2003-05-05,347.407
2003-05-06,351.404
2003-05-07,351.229
2003-05-08,349.169
2003-05-09,352.754
2003-05-12,356.088
2003-05-13,356.413
2003-05-14,357.234
2003-05-15,358.614
2003-05-16,359.964
2003-05-19,354.732
