Date,FRANCE GROWTH Standard (Large+Mid Cap)
2002-10-03,1277.165
2002-10-04,1236.577
2002-10-07,1230.192
2002-10-08,1207.266
2002-10-09,1207.549
2002-10-10,1238.783
2002-10-11,1283.407
2002-10-14,1281.497
2002-10-15,1336.508
2002-10-16,1312.07
2002-10-17,1334.664
2002-10-18,1320.845
2002-10-21,1323.767
2002-10-22,1322.094
2002-10-23,1274.153
2002-10-24,1302.718
2002-10-25,1300.518
2002-10-28,1316.91
2002-10-29,1262.545
2002-10-30,1304.375
2002-10-31,1342.304
2002-11-01,1337.47
2002-11-04,1363.458
2002-11-05,1370.805
2002-11-06,1348.35
2002-11-07,1330.556
2002-11-08,1321.644
2002-11-11,1322.565
2002-11-12,1327.067
2002-11-13,1311.47
2002-11-14,1344.566
2002-11-15,1349.431
2002-11-18,1367.262
2002-11-19,1366.776
2002-11-20,1341.112
2002-11-21,1372.937
2002-11-22,1348.423
2002-11-25,1327.256
2002-11-26,1300.635
2002-11-27,1336.234
2002-11-28,1340.795
2002-11-29,1332.007
2002-12-02,1303.285
2002-12-03,1286.596
2002-12-04,1298.005
2002-12-05,1281.558
2002-12-06,1301.998
2002-12-09,1283.386
2002-12-10,1298.407
2002-12-11,1309.945
2002-12-12,1300.188
2002-12-13,1287.87
2002-12-16,1311.196
2002-12-17,1316.832
2002-12-18,1300.843
2002-12-19,1298.657
2002-12-20,1312.633
2002-12-23,1328.829
2002-12-24,1335.019
2002-12-25,1335.019
2002-12-26,1338.385
2002-12-27,1316.474
2002-12-30,1340.173
2002-12-31,1361.788
2003-01-01,1361.788
2003-01-02,1385.29
2003-01-03,1376.871
2003-01-06,1396.214
2003-01-07,1364.375
2003-01-08,1326.783
2003-01-09,1356.611
2003-01-10,1351.14
2003-01-13,1341.363
2003-01-14,1343.038
2003-01-15,1325.164
2003-01-16,1321.933
2003-01-17,1307.873
2003-01-20,1291.087
2003-01-21,1280.063
2003-01-22,1254.109
2003-01-23,1243.422
2003-01-24,1237.736
2003-01-27,1192.14
2003-01-28,1200.425
2003-01-29,1244.433
2003-01-30,1255.393
2003-01-31,1262.52
2003-02-03,1264.969
2003-02-04,1245.736
2003-02-05,1238.155
2003-02-06,1214.724
2003-02-07,1194.372
2003-02-10,1181.727
2003-02-11,1199.853
2003-02-12,1169.488
2003-02-13,1171.292
2003-02-14,1196.234
2003-02-17,1211.855
2003-02-18,1243.413
2003-02-19,1218.454
2003-02-20,1210.994
2003-02-21,1234.3
2003-02-24,1226.865
2003-02-25,1193.107
2003-02-26,1190.396
2003-02-27,1196.579
2003-02-28,1211.539
2003-03-03,1232.547
2003-03-04,1213.475
2003-03-05,1208.827
2003-03-06,1208.135
2003-03-07,1184.249
2003-03-10,1165.796
2003-03-11,1157.12
2003-03-12,1103.089
2003-03-13,1154.145
2003-03-14,1198.735
2003-03-17,1236.481
2003-03-18,1203.509
2003-03-19,1220.382
2003-03-20,1212.467
2003-03-21,1240.71
2003-03-24,1186.458
2003-03-25,1229.577
2003-03-26,1218.136
2003-03-27,1193.17
2003-03-28,1204.27
2003-03-31,1174.484
2003-04-01,1191.117
2003-04-02,1219.165
2003-04-03,1232.169
2003-04-04,1253.85
2003-04-07,1268.901
2003-04-08,1260.204
2003-04-09,1267.073
2003-04-10,1246.075
2003-04-11,1251.732
2003-04-14,1267.204
2003-04-15,1281.823
2003-04-16,1270.165
2003-04-17,1280.303
2003-04-18,1280.303
2003-04-21,1274.784
2003-04-22,1288.172
2003-04-23,1294.334
2003-04-24,1279.312
2003-04-25,1264.59
2003-04-28,1297.18
2003-04-29,1285.694
2003-04-30,1309.854
2003-05-01,1321.884
2003-05-02,1337.12
2003-05-05,1355.519
2003-05-06,1386.928
2003-05-07,1379.958
2003-05-08,1357.704
2003-05-09,1378.899
2003-05-12,1381.445
2003-05-13,1376.387
2003-05-14,1369.51
2003-05-15,1388.038
2003-05-16,1399.998
2003-05-19,1364.101
2003-05-20,1368.233
