Date,GERMANY VALUE Standard (Large+Mid Cap)
2015-01-30,4912.999
2015-02-27,5246.993
2015-03-31,5261.659
2015-04-30,5228.217
2015-05-29,4986.745
2015-06-30,4836.438
2015-07-31,4952.638
2015-08-31,4551.794
2015-09-30,4120.566
2015-10-30,4580.18
2015-11-30,4589.327
2015-12-31,4453.647
2016-01-29,3938.795
2016-02-29,3839.244
2016-03-31,4254.952
2016-04-29,4383.247
2016-05-31,4349.221
2016-06-30,3955.349
2016-07-29,4212.074
2016-08-31,4374.317
2016-09-30,4355.105
2016-10-31,4417.391
2016-11-30,4307.396
2016-12-30,4662.024
2017-01-31,4796.884
2017-02-28,4808.61
2017-03-31,5018.549
2017-04-28,5120.853
2017-05-31,5256.974
2017-06-30,5215.194
2017-07-31,5308.034
2017-08-31,5326.46
2017-09-29,5680.608
2017-10-31,5818.114
2017-11-30,5912.873
2017-12-29,5897.859
2018-01-31,6287.252
2018-02-28,5768.065
2018-03-30,5666.109
2018-04-30,5787.702
2018-05-31,5395.196
2018-06-29,5180.382
2018-07-31,5490.672
2018-08-31,5168.798
2018-09-28,5144.215
2018-10-31,4812.563
2018-11-30,4772.238
2018-12-31,4520.192
2019-01-31,4836.444
2019-02-28,4967.803
2019-03-29,4750.906
2019-04-30,5076.857
2019-05-31,4625.239
2019-06-28,4981.909
2019-07-31,4823.831
2019-08-30,4734.249
2019-09-30,4880.874
2019-10-31,5230.918
2019-11-29,5206.534
2019-12-31,5305.046
2020-01-31,5035.062
2020-02-28,4542.204
2020-03-31,3658.173
2020-04-30,4054.239
2020-05-29,4389.469
2020-06-30,4755.585
2020-07-31,4895.008
2020-08-31,5238.693
2020-09-30,5055.342
2020-10-30,4646.404
2020-11-30,5587.211
2020-12-31,5839.174
2021-01-29,5757.831
2021-02-26,5937.993
2021-03-31,6402.316
2021-04-30,6492.016
2021-05-31,6718.754
2021-06-30,6491.968
2021-07-30,6444.485
2021-08-31,6465.016
2021-09-30,6188.059
2021-10-29,6250.918
2021-11-30,5770.956
2021-12-31,6180.03
2022-01-31,6158.456
2022-02-28,5767.767
2022-03-31,5583.844
2022-04-29,5182.708
2022-05-31,5397.789
2022-06-30,4573.148
2022-07-29,4639.69
2022-08-31,4358.504
2022-09-30,3982.125
2022-10-31,4438.247
2022-11-30,5047.189
2022-12-30,5033.855
2023-01-31,5686.636
2023-02-28,5606.363
2023-03-31,5731.066
2023-04-28,5988.593
2023-05-31,5681.527
2023-06-30,6007.473
2023-07-31,6196.411
2023-08-31,5856.239
2023-09-29,5549.177
2023-10-31,5235.018
2023-11-30,5806.618
2023-12-29,6207.054
2024-01-31,6027.677
2024-02-29,6181.328
2024-03-29,6423.664
2024-04-30,6241.594
2024-05-31,6523.977
2024-06-28,6268.191
2024-07-31,6369.045
2024-08-30,6667.395
2024-09-30,6940.777
2024-10-31,6560.543
2024-11-29,6450.919
2024-12-31,6329.754
2025-01-31,6860.386
2025-02-28,7219.24
2025-03-31,7444.513
2025-04-30,7919.606
2025-05-30,8236.009
2025-06-30,8455.401
