Date,SWITZERLAND SMALL GROWTH Small Cap
2016-10-31,1498.625
2016-11-30,1473.274
2016-12-30,1519.229
2017-01-31,1601.185
2017-02-28,1692.42
2017-03-31,1779.174
2017-04-28,1928.814
2017-05-31,2013.664
2017-06-30,2011.733
2017-07-31,2071.675
2017-08-31,2044.246
2017-09-29,2100.395
2017-10-31,2160.132
2017-11-30,2205.926
2017-12-29,2253.918
2018-01-31,2436.859
2018-02-28,2357.034
2018-03-30,2212.324
2018-04-30,2171.263
2018-05-31,2251.663
2018-06-29,2185.956
2018-07-31,2204.586
2018-08-31,2291.907
2018-09-28,2131.827
2018-10-31,1870.861
2018-11-30,1721.127
2018-12-31,1595.125
2019-01-31,1754.709
2019-02-28,1768.326
2019-03-29,1775.159
2019-04-30,1895.99
2019-05-31,1786.17
2019-06-28,1944.645
2019-07-31,1926.498
2019-08-30,1850.717
2019-09-30,1896.338
2019-10-31,1969.593
2019-11-29,2063.029
2019-12-31,2175.313
2020-01-31,2137.276
2020-02-28,1948.961
2020-03-31,1796.728
2020-04-30,1984.304
2020-05-29,2174.222
2020-06-30,2231.205
2020-07-31,2368.518
2020-08-31,2595.904
2020-09-30,2582.037
2020-10-30,2471.049
2020-11-30,2738.364
2020-12-31,2885.899
2021-01-29,2970.961
2021-02-26,2949.06
2021-03-31,2948.136
2021-04-30,3041.933
2021-05-31,3180.792
2021-06-30,3214.53
2021-07-30,3465.394
2021-08-31,3597.16
2021-09-30,3409.677
2021-10-29,3638.742
2021-11-30,3481.458
2021-12-31,3704.18
2022-01-31,3299.786
2022-02-28,3131.137
2022-03-31,3088.661
2022-04-29,2759.472
2022-05-31,2629.441
2022-06-30,2381.004
2022-07-29,2622.43
2022-08-31,2456.91
2022-09-30,2210.552
2022-10-31,2297.455
2022-11-30,2583.9
2022-12-30,2652.887
2023-01-31,2893.722
2023-02-28,2880.937
2023-03-31,2972.898
2023-04-28,3037.326
2023-05-31,2897.483
2023-06-30,2994.908
2023-07-31,3073.197
2023-08-31,2973.123
2023-09-29,2724.604
2023-10-31,2505.903
2023-11-30,2929.315
2023-12-29,3160.357
2024-01-31,3027.868
2024-02-29,3028.297
2024-03-29,3109.316
2024-04-30,2961.168
2024-05-31,3150.038
2024-06-28,3106.983
2024-07-31,3358.853
2024-08-30,3483.413
2024-09-30,3527.516
2024-10-31,3223.062
2024-11-29,3189.109
2024-12-31,3022.357
2025-01-31,3224.071
2025-02-28,3122.792
2025-03-31,2987.543
2025-04-30,3340.13
2025-05-30,3640.74
