Date,NORWAY Standard (Large+Mid Cap)
2001-11-30,1964.12
2001-12-31,2058.199
2002-01-31,1979.554
2002-02-28,2054.851
2002-03-29,2229.458
2002-04-30,2242.124
2002-05-31,2296.538
2002-06-28,2230.994
2002-07-31,2005.776
2002-08-30,1968.878
2002-09-30,1715.168
2002-10-31,1801.163
2002-11-29,1953.355
2002-12-31,1908.78
2003-01-31,1800.433
2003-02-28,1622.424
2003-03-31,1632.008
2003-04-30,1888.934
2003-05-30,2084.702
2003-06-30,2084.233
2003-07-31,2215.779
2003-08-29,2254.757
2003-09-30,2233.929
2003-10-31,2517.236
2003-11-28,2631.854
2003-12-31,2827.091
2004-01-30,2849.013
2004-02-27,3141.747
2004-03-31,3108.975
2004-04-30,3011.616
2004-05-31,3178.535
2004-06-30,3297.056
2004-07-30,3231.465
2004-08-31,3310.182
2004-09-30,3692.474
2004-10-29,3782.404
2004-11-30,4301.515
2004-12-31,4332.963
2005-01-31,4200.052
2005-02-28,4690.601
2005-03-31,4536.477
2005-04-29,4341.853
2005-05-31,4494.844
2005-06-30,4877.664
2005-07-29,5193.213
2005-08-31,5556.107
2005-09-30,5636.564
2005-10-31,5206.59
2005-11-30,5201.635
2005-12-30,5384.089
2006-01-31,5951.361
2006-02-28,5991.125
2006-03-31,6645.241
2006-04-28,7241.839
2006-05-31,6864.879
2006-06-30,6604.737
2006-07-31,6800.554
2006-08-31,6667.739
2006-09-29,6195.267
2006-10-31,6726.104
2006-11-30,7346.76
2006-12-29,7813.483
2007-01-31,8138.68
2007-02-28,7953.064
2007-03-30,8371.056
2007-04-30,8867.627
2007-05-31,9077.973
2007-06-29,9601.129
2007-07-31,9530.159
2007-08-31,9092.083
2007-09-28,10329.875
2007-10-31,10745.735
2007-11-30,10114.72
2007-12-31,10269.144
2008-01-31,8105.922
2008-02-29,9260.076
2008-03-31,9195.479
2008-04-30,10383.421
2008-05-30,11154.009
2008-06-30,10436.252
2008-07-31,9374.441
2008-08-29,8890.422
2008-09-30,6191.246
2008-10-31,4125.834
2008-11-28,3501.95
2008-12-31,3672.327
2009-01-30,3763.13
2009-02-27,3468.929
2009-03-31,3791.445
2009-04-30,4271.437
2009-05-29,5156.659
2009-06-30,4726.358
2009-07-31,5232.882
2009-08-31,5373.028
2009-09-30,5979.967
2009-10-30,6189.772
2009-11-30,6546.022
2009-12-31,6869.932
2010-01-29,6363.69
2010-02-26,6040.348
2010-03-31,6430.656
2010-04-30,6531.684
2010-05-31,5430.19
2010-06-30,5265.609
2010-07-30,6203.642
2010-08-31,5888.276
2010-09-30,6814.657
2010-10-29,7072.738
2010-11-30,6473.958
2010-12-31,7622.107
2011-01-31,7481.527
2011-02-28,8053.751
2011-03-31,8141.486
2011-04-29,8679.157
2011-05-31,8292.045
2011-06-30,7992.81
2011-07-29,7938.513
2011-08-31,7370.924
2011-09-30,6269.75
2011-10-31,7369.065
2011-11-30,7006.622
2011-12-30,6858.934
2012-01-31,7096.436
2012-02-29,8195.03
2012-03-30,7891.463
2012-04-30,7701.251
2012-05-31,6538.552
2012-06-29,7086.619
2012-07-31,7349.912
2012-08-31,7854.294
2012-09-28,8052.711
2012-10-31,7961.728
2012-11-30,8012.103
2012-12-31,8138.184
2013-01-31,8677.917
2013-02-28,8325.45
2013-03-29,8175.069
2013-04-30,8468.005
2013-05-31,8390.449
2013-06-28,7702.706
2013-07-31,8347.086
2013-08-30,8201.135
2013-09-30,8407.41
2013-10-31,8998.391
2013-11-29,8764.612
2013-12-31,8903.251
2014-01-31,8330.778
2014-02-28,8959.171
2014-03-31,9097.498
2014-04-30,9519.101
2014-05-30,9976.115
2014-06-30,9994.523
2014-07-31,9617.05
2014-08-29,9795.201
2014-09-30,9253.019
2014-10-31,8342.265
2014-11-28,7434.866
2014-12-31,6940.987
2015-01-30,7025.306
2015-02-27,7492.644
2015-03-31,7099.085
2015-04-30,7914.644
2015-05-29,7633.299
2015-06-30,7334.333
2015-07-31,7114.705
2015-08-31,6284.95
2015-09-30,5931.563
2015-10-30,6348.873
2015-11-30,6281.293
2015-12-31,5900.498
2016-01-29,5584.991
2016-02-29,5679.308
2016-03-31,6002.242
2016-04-29,6452.452
2016-05-31,6268.106
2016-06-30,6143.255
2016-07-29,6114.225
2016-08-31,6257.464
2016-09-30,6528.756
2016-10-31,6476.302
2016-11-30,6465.74
2016-12-30,6685.731
2017-01-31,7127.055
2017-02-28,6943.167
2017-03-31,6781.261
2017-04-28,6774.415
2017-05-31,7117.72
2017-06-30,7059.802
2017-07-31,7905.265
2017-08-31,8092.741
2017-09-29,8415.094
2017-10-31,8481.109
2017-11-30,8326.539
2017-12-29,8575.524
2018-01-31,9086.407
2018-02-28,8914.446
2018-03-30,8769.396
2018-04-30,8980.131
2018-05-31,8842.462
2018-06-29,8973.785
2018-07-31,9050.784
2018-08-31,8967.381
2018-09-28,9570.477
2018-10-31,8816.797
2018-11-30,8352.747
2018-12-31,7835.554
2019-01-31,8339.838
2019-02-28,8535.377
2019-03-29,8384.685
2019-04-30,8554.0
2019-05-31,8175.795
2019-06-28,8584.978
2019-07-31,8308.452
2019-08-30,8003.904
2019-09-30,8290.075
2019-10-31,8237.696
2019-11-29,8093.132
2019-12-31,8647.74
2020-01-31,8084.287
2020-02-28,7174.271
2020-03-31,5763.266
2020-04-30,6373.409
2020-05-29,6702.639
2020-06-30,6603.995
2020-07-31,7235.275
2020-08-31,7775.768
2020-09-30,7148.223
2020-10-30,6632.584
2020-11-30,8039.999
2020-12-31,8492.801
2021-01-29,8498.045
2021-02-26,8850.219
2021-03-31,9423.215
2021-04-30,9770.974
2021-05-31,10086.706
2021-06-30,9882.02
2021-07-30,9700.404
2021-08-31,9989.742
2021-09-30,10395.624
2021-10-29,10736.848
2021-11-30,9825.627
2021-12-31,10361.5
2022-01-31,10356.663
2022-02-28,10787.174
2022-03-31,11413.554
2022-04-29,10618.301
2022-05-31,11030.591
2022-06-30,9728.161
2022-07-29,10315.014
2022-08-31,10178.012
2022-09-30,8240.021
2022-10-31,9183.303
2022-11-30,9785.857
2022-12-30,9634.271
2023-01-31,9398.222
2023-02-28,9383.707
2023-03-31,8943.096
2023-04-28,9058.209
2023-05-31,8337.751
2023-06-30,8854.115
2023-07-31,9624.552
2023-08-31,9417.467
2023-09-29,9879.896
2023-10-31,9373.055
2023-11-30,9762.787
2023-12-29,10198.481
2024-01-31,9614.196
2024-02-29,9296.827
2024-03-29,9487.694
2024-04-30,9513.382
2024-05-31,10351.292
2024-06-28,10108.876
2024-07-31,10102.148
2024-08-30,10352.351
2024-09-30,10324.362
2024-10-31,10072.848
2024-11-29,10278.224
2024-12-31,9763.782
2025-01-31,10547.23
2025-02-28,10620.987
2025-03-31,11783.716
2025-04-30,11649.527
2025-05-30,12317.062
2025-06-30,12851.443
2025-07-31,12316.451
2025-08-29,12713.685
2025-09-30,12943.312
2025-10-31,12372.772
2025-11-28,12446.587
2025-12-31,13084.365
2026-01-30,14424.954
