Date,JAPAN SMID VALUE SMID (Small+Mid Cap)
2002-11-29,377.467
2002-12-31,378.618
2003-01-31,373.671
2003-02-28,389.302
2003-03-31,384.994
2003-04-30,395.3
2003-05-30,408.973
2003-06-30,440.304
2003-07-31,448.116
2003-08-29,493.868
2003-09-30,535.494
2003-10-31,560.865
2003-11-28,535.549
2003-12-31,576.984
2004-01-30,592.314
2004-02-27,599.803
2004-03-31,707.727
2004-04-30,673.609
2004-05-31,654.617
2004-06-30,711.24
2004-07-30,669.879
2004-08-31,674.791
2004-09-30,665.727
2004-10-29,677.62
2004-11-30,709.585
2004-12-31,746.082
2005-01-31,764.137
2005-02-28,784.075
2005-03-31,786.195
2005-04-29,774.807
2005-05-31,758.867
2005-06-30,765.228
2005-07-29,775.76
2005-08-31,811.029
2005-09-30,872.179
2005-10-31,884.949
2005-11-30,897.351
2005-12-30,976.848
2006-01-31,1019.159
2006-02-28,991.381
2006-03-31,1024.185
2006-04-28,1045.01
2006-05-31,989.449
2006-06-30,966.3
2006-07-31,944.711
2006-08-31,956.563
2006-09-29,946.276
2006-10-31,941.177
2006-11-30,943.831
2006-12-29,956.011
2007-01-31,976.282
2007-02-28,1029.695
2007-03-30,1020.454
2007-04-30,1009.374
2007-05-31,1000.0
2007-06-29,989.355
2007-07-31,980.195
2007-08-31,952.661
2007-09-28,963.699
2007-10-31,965.134
2007-11-30,942.111
2007-12-31,904.75
2008-01-31,884.178
2008-02-29,882.707
2008-03-31,881.346
2008-04-30,900.656
2008-05-30,925.077
2008-06-30,859.846
2008-07-31,831.45
2008-08-29,794.198
2008-09-30,723.508
2008-10-31,630.346
2008-11-28,659.411
2008-12-31,711.106
2009-01-30,664.44
2009-02-27,571.193
2009-03-31,612.629
2009-04-30,663.746
2009-05-29,740.538
2009-06-30,788.963
2009-07-31,802.416
2009-08-31,850.156
2009-09-30,832.082
2009-10-30,797.717
2009-11-30,768.949
2009-12-31,758.681
2010-01-29,776.857
2010-02-26,795.692
2010-03-31,837.061
2010-04-30,860.161
2010-05-31,795.148
2010-06-30,795.504
2010-07-30,806.922
2010-08-31,787.298
2010-09-30,818.028
2010-10-29,820.988
2010-11-30,835.533
2010-12-31,919.39
2011-01-31,924.425
2011-02-28,961.433
2011-03-31,895.967
2011-04-29,893.142
2011-05-31,874.404
2011-06-30,900.966
2011-07-29,939.571
2011-08-31,897.633
2011-09-30,907.428
2011-10-31,874.399
2011-11-30,843.036
2011-12-30,859.219
2012-01-31,900.581
2012-02-29,921.423
2012-03-30,942.403
2012-04-30,912.497
2012-05-31,829.081
2012-06-29,867.565
2012-07-31,840.967
2012-08-31,824.838
2012-09-28,845.704
2012-10-31,831.73
2012-11-30,847.974
2012-12-31,907.949
2013-01-31,927.88
2013-02-28,965.089
2013-03-29,1035.601
2013-04-30,1121.69
2013-05-31,1040.776
2013-06-28,1046.893
2013-07-31,1059.585
2013-08-30,1041.856
2013-09-30,1150.558
2013-10-31,1144.517
2013-11-29,1148.846
2013-12-31,1158.117
2014-01-31,1141.651
2014-02-28,1126.489
2014-03-31,1128.528
2014-04-30,1113.611
2014-05-30,1153.505
2014-06-30,1220.294
2014-07-31,1221.733
2014-08-29,1206.676
2014-09-30,1172.581
2014-10-31,1154.096
2014-11-28,1149.956
2014-12-31,1162.239
2015-01-30,1200.994
2015-02-27,1258.687
2015-03-31,1257.775
2015-04-30,1302.37
2015-05-29,1317.416
2015-06-30,1301.889
2015-07-31,1304.474
2015-08-31,1244.293
2015-09-30,1208.366
2015-10-30,1296.482
2015-11-30,1280.588
2015-12-31,1282.626
2016-01-29,1191.965
2016-02-29,1164.947
2016-03-31,1215.725
2016-04-29,1275.992
2016-05-31,1255.008
2016-06-30,1214.334
2016-07-29,1300.159
2016-08-31,1303.773
2016-09-30,1342.103
2016-10-31,1372.332
2016-11-30,1339.219
2016-12-30,1376.238
2017-01-31,1432.488
2017-02-28,1474.841
2017-03-31,1447.853
2017-04-28,1464.616
2017-05-31,1485.9
2017-06-30,1514.521
2017-07-31,1548.005
2017-08-31,1559.98
2017-09-29,1593.192
2017-10-31,1640.091
2017-11-30,1671.362
2017-12-29,1703.74
2018-01-31,1766.426
2018-02-28,1724.82
2018-03-30,1687.867
2018-04-30,1720.93
2018-05-31,1686.108
2018-06-29,1635.017
2018-07-31,1647.421
2018-08-31,1634.38
2018-09-28,1669.415
2018-10-31,1536.682
2018-11-30,1558.968
2018-12-31,1455.854
2019-01-31,1544.919
2019-02-28,1536.188
2019-03-29,1534.185
2019-04-30,1540.844
2019-05-31,1459.333
2019-06-28,1514.282
2019-07-31,1508.031
2019-08-30,1479.294
2019-09-30,1554.981
2019-10-31,1644.201
2019-11-29,1640.103
2019-12-31,1660.912
2020-01-31,1612.312
2020-02-28,1432.481
2020-03-31,1280.43
2020-04-30,1327.68
2020-05-29,1410.655
2020-06-30,1384.869
2020-07-31,1321.803
2020-08-31,1453.851
2020-09-30,1474.706
2020-10-30,1433.336
2020-11-30,1554.803
2020-12-31,1629.763
2021-01-29,1645.947
2021-02-26,1706.015
2021-03-31,1773.936
2021-04-30,1742.786
2021-05-31,1750.487
2021-06-30,1732.707
2021-07-30,1724.635
2021-08-31,1764.555
2021-09-30,1780.602
2021-10-29,1715.337
2021-11-30,1607.6
2021-12-31,1658.884
2022-01-31,1653.008
2022-02-28,1678.97
2022-03-31,1631.967
2022-04-29,1511.351
2022-05-31,1544.89
2022-06-30,1473.018
2022-07-29,1528.29
2022-08-31,1507.015
2022-09-30,1370.056
2022-10-31,1375.657
2022-11-30,1505.422
2022-12-30,1554.114
2023-01-31,1620.768
2023-02-28,1589.418
2023-03-31,1618.459
2023-04-28,1642.714
2023-05-31,1603.301
2023-06-30,1658.373
2023-07-31,1750.212
2023-08-31,1757.507
2023-09-29,1748.47
2023-10-31,1668.269
2023-11-30,1754.79
2023-12-29,1824.56
2024-01-31,1881.885
2024-02-29,1864.602
2024-03-29,1974.621
2024-04-30,1907.027
2024-05-31,1930.2
2024-06-28,1868.917
2024-07-31,2012.496
2024-08-30,2009.856
2024-09-30,2026.113
2024-10-31,1912.089
2024-11-29,1929.902
2024-12-31,1895.906
2025-01-31,1931.824
2025-02-28,1963.614
2025-03-31,2005.978
2025-04-30,2070.34
2025-05-30,2115.266
2025-06-30,2144.55
2025-07-31,2170.218
