Date,EM (EMERGING MARKETS) IMI GROWTH IMI (Large+Mid+Small Cap)
2002-09-25,251.541
2002-09-26,253.64
2002-09-27,252.253
2002-09-30,248.171
2002-10-01,250.416
2002-10-02,250.686
2002-10-03,249.45
2002-10-04,250.778
2002-10-07,243.834
2002-10-08,244.104
2002-10-09,240.015
2002-10-10,235.307
2002-10-11,235.774
2002-10-14,238.64
2002-10-15,246.449
2002-10-16,249.679
2002-10-17,253.354
2002-10-18,258.787
2002-10-21,258.088
2002-10-22,255.968
2002-10-23,262.562
2002-10-24,263.007
2002-10-25,263.451
2002-10-28,267.042
2002-10-29,264.154
2002-10-30,262.494
2002-10-31,266.373
2002-11-01,265.29
2002-11-04,271.522
2002-11-05,270.665
2002-11-06,274.066
2002-11-07,276.3
2002-11-08,276.042
2002-11-11,271.128
2002-11-12,269.391
2002-11-13,269.024
2002-11-14,268.975
2002-11-15,274.585
2002-11-18,275.151
2002-11-19,273.295
2002-11-20,273.257
2002-11-21,277.327
2002-11-22,279.847
2002-11-25,282.421
2002-11-26,280.425
2002-11-27,281.295
2002-11-28,282.83
2002-11-29,284.378
2002-12-02,286.67
2002-12-03,288.179
2002-12-04,283.496
2002-12-05,282.969
2002-12-06,282.457
2002-12-09,282.708
2002-12-10,279.76
2002-12-11,279.343
2002-12-12,280.277
2002-12-13,279.592
2002-12-16,278.53
2002-12-17,280.131
2002-12-18,279.282
2002-12-19,279.907
2002-12-20,281.103
2002-12-23,278.614
2002-12-24,277.177
2002-12-25,276.895
2002-12-26,277.502
2002-12-27,276.412
2002-12-30,271.493
2002-12-31,271.587
2003-01-01,271.644
2003-01-02,273.77
2003-01-03,280.365
2003-01-06,284.008
2003-01-07,281.983
2003-01-08,282.197
2003-01-09,281.332
2003-01-10,282.479
2003-01-13,286.947
2003-01-14,287.067
2003-01-15,286.617
2003-01-16,285.078
2003-01-17,281.647
2003-01-20,279.698
2003-01-21,277.236
2003-01-22,274.706
2003-01-23,276.436
2003-01-24,272.915
2003-01-27,268.536
2003-01-28,269.871
2003-01-29,268.599
2003-01-30,268.972
2003-01-31,269.448
2003-02-03,270.409
2003-02-04,270.434
2003-02-05,270.153
2003-02-06,265.678
2003-02-07,262.068
2003-02-10,259.422
2003-02-11,260.544
2003-02-12,261.499
2003-02-13,258.224
2003-02-14,258.617
2003-02-17,265.492
2003-02-18,265.688
2003-02-19,265.221
2003-02-20,266.847
2003-02-21,267.201
2003-02-24,268.078
2003-02-25,262.42
2003-02-26,261.551
2003-02-27,261.492
2003-02-28,261.453
2003-03-03,264.881
2003-03-04,261.813
2003-03-05,258.306
2003-03-06,256.153
2003-03-07,254.785
2003-03-10,252.777
