Date,NORWAY SMID GROWTH SMID (Small+Mid Cap)
2019-08-30,908.867
2019-09-30,909.454
2019-10-31,922.247
2019-11-29,932.297
2019-12-31,1012.953
2020-01-31,943.357
2020-02-28,850.167
2020-03-31,681.703
2020-04-30,761.521
2020-05-29,829.582
2020-06-30,844.364
2020-07-31,953.397
2020-08-31,1067.607
2020-09-30,1009.115
2020-10-30,933.45
2020-11-30,1089.073
2020-12-31,1209.15
2021-01-29,1164.622
2021-02-26,1134.663
2021-03-31,1182.413
2021-04-30,1292.217
2021-05-31,1301.518
2021-06-30,1263.544
2021-07-30,1273.113
2021-08-31,1311.018
2021-09-30,1213.868
2021-10-29,1320.418
2021-11-30,1197.586
2021-12-31,1199.318
2022-01-31,1059.22
2022-02-28,1074.465
2022-03-31,1102.269
2022-04-29,1031.43
2022-05-31,1006.465
2022-06-30,870.414
2022-07-29,969.166
2022-08-31,905.615
2022-09-30,662.872
2022-10-31,731.539
2022-11-30,808.444
2022-12-30,812.726
2023-01-31,855.616
2023-02-28,853.566
2023-03-31,846.473
2023-04-28,842.165
2023-05-31,800.872
2023-06-30,826.397
2023-07-31,874.951
2023-08-31,803.265
2023-09-29,796.549
2023-10-31,721.175
2023-11-30,789.271
2023-12-29,867.109
2024-01-31,837.275
2024-02-29,867.487
2024-03-29,910.27
2024-04-30,905.236
2024-05-31,1027.463
2024-06-28,993.098
2024-07-31,1027.16
2024-08-30,1031.367
2024-09-30,1000.438
2024-10-31,978.064
2024-11-29,984.388
2024-12-31,928.889
2025-01-31,1006.685
2025-02-28,982.22
2025-03-31,1023.643
2025-04-30,1051.382
2025-05-30,1130.634
2025-06-30,1184.234
2025-07-31,1133.515
