Date,WORLD SMALL VALUE Small Cap
2013-06-28,1169.232
2013-07-31,1241.425
2013-08-30,1208.099
2013-09-30,1286.814
2013-10-31,1336.734
2013-11-29,1352.602
2013-12-31,1382.55
2014-01-31,1355.603
2014-02-28,1423.14
2014-03-31,1435.309
2014-04-30,1426.037
2014-05-30,1443.547
2014-06-30,1492.05
2014-07-31,1437.936
2014-08-29,1478.427
2014-09-30,1391.044
2014-10-31,1418.915
2014-11-28,1420.192
2014-12-31,1429.025
2015-01-30,1403.197
2015-02-27,1479.793
2015-03-31,1478.373
2015-04-30,1494.149
2015-05-29,1505.357
2015-06-30,1483.014
2015-07-31,1466.226
2015-08-31,1395.956
2015-09-30,1346.501
2015-10-30,1426.635
2015-11-30,1434.608
2015-12-31,1393.98
2016-01-29,1297.603
2016-02-29,1310.638
2016-03-31,1426.991
2016-04-29,1466.194
2016-05-31,1475.507
2016-06-30,1448.629
2016-07-29,1529.057
2016-08-31,1536.117
2016-09-30,1556.53
2016-10-31,1515.217
2016-11-30,1594.09
2016-12-30,1648.234
2017-01-31,1681.765
2017-02-28,1717.038
2017-03-31,1716.275
2017-04-28,1741.669
2017-05-31,1734.736
2017-06-30,1767.901
2017-07-31,1809.478
2017-08-31,1799.783
2017-09-29,1874.033
2017-10-31,1883.904
2017-11-30,1924.25
2017-12-29,1953.878
2018-01-31,2002.606
2018-02-28,1909.988
2018-03-30,1910.704
2018-04-30,1939.99
2018-05-31,1972.696
2018-06-29,1963.188
2018-07-31,1993.121
2018-08-31,2008.838
2018-09-28,1981.358
2018-10-31,1809.77
2018-11-30,1820.839
2018-12-31,1652.882
2019-01-31,1822.486
2019-02-28,1871.526
2019-03-29,1849.632
2019-04-30,1901.7
2019-05-31,1769.389
2019-06-28,1861.252
2019-07-31,1860.204
2019-08-30,1789.793
2019-09-30,1861.699
2019-10-31,1918.296
2019-11-29,1958.158
2019-12-31,2036.141
2020-01-31,1956.76
2020-02-28,1756.826
2020-03-31,1329.063
2020-04-30,1490.192
2020-05-29,1552.577
2020-06-30,1587.398
2020-07-31,1620.6
2020-08-31,1719.262
2020-09-30,1664.113
2020-10-30,1675.232
2020-11-30,1970.946
2020-12-31,2110.615
2021-01-29,2143.264
2021-02-26,2290.792
2021-03-31,2389.06
2021-04-30,2477.802
2021-05-31,2535.91
2021-06-30,2502.6
2021-07-30,2481.505
2021-08-31,2535.285
2021-09-30,2473.035
2021-10-29,2556.321
2021-11-30,2445.388
2021-12-31,2571.079
2022-01-31,2474.087
2022-02-28,2492.349
2022-03-31,2523.524
2022-04-29,2367.148
2022-05-31,2401.855
2022-06-30,2157.352
2022-07-29,2327.746
2022-08-31,2257.248
2022-09-30,2025.407
2022-10-31,2211.417
2022-11-30,2358.657
2022-12-30,2284.935
2023-01-31,2488.059
2023-02-28,2439.732
2023-03-31,2331.184
2023-04-28,2327.087
2023-05-31,2241.682
2023-06-30,2387.381
2023-07-31,2527.528
2023-08-31,2430.561
2023-09-29,2324.534
2023-10-31,2201.218
2023-11-30,2390.068
2023-12-29,2626.665
2024-01-31,2556.971
2024-02-29,2589.892
2024-03-29,2721.894
2024-04-30,2597.527
2024-05-31,2706.346
2024-06-28,2636.664
2024-07-31,2859.335
2024-08-30,2872.311
2024-09-30,2925.797
2024-10-31,2846.234
2024-11-29,3011.485
2024-12-31,2836.317
2025-01-31,2926.322
2025-02-28,2870.739
2025-03-31,2794.661
2025-04-30,2776.968
2025-05-30,2917.487
2025-06-30,3042.288
2025-07-31,3072.906
2025-08-29,3277.342
2025-09-30,3313.59
2025-10-31,3284.42
2025-11-28,3389.483
