Date,WORLD SMALL VALUE Small Cap
2011-06-30,984.635
2011-07-29,960.067
2011-08-31,879.756
2011-09-30,784.343
2011-10-31,873.124
2011-11-30,851.302
2011-12-30,852.051
2012-01-31,914.851
2012-02-29,956.337
2012-03-30,967.864
2012-04-30,958.181
2012-05-31,874.321
2012-06-29,908.865
2012-07-31,906.813
2012-08-31,933.488
2012-09-28,966.46
2012-10-31,967.175
2012-11-30,976.501
2012-12-31,1015.123
2013-01-31,1080.263
2013-02-28,1094.079
2013-03-29,1128.376
2013-04-30,1147.289
2013-05-31,1150.091
2013-06-28,1123.288
2013-07-31,1192.341
2013-08-30,1159.804
2013-09-30,1234.602
2013-10-31,1282.202
2013-11-29,1296.832
2013-12-31,1324.659
2014-01-31,1298.453
2014-02-28,1362.577
2014-03-31,1373.053
2014-04-30,1363.618
2014-05-30,1379.308
2014-06-30,1424.617
2014-07-31,1372.605
2014-08-29,1410.665
2014-09-30,1326.385
2014-10-31,1352.615
2014-11-28,1353.18
2014-12-31,1360.582
2015-01-30,1335.707
2015-02-27,1408.04
2015-03-31,1405.471
2015-04-30,1419.7
2015-05-29,1429.301
2015-06-30,1407.048
2015-07-31,1390.777
2015-08-31,1323.507
2015-09-30,1275.654
2015-10-30,1351.22
2015-11-30,1358.067
2015-12-31,1318.592
2016-01-29,1226.96
2016-02-29,1238.708
2016-03-31,1347.317
2016-04-29,1383.632
2016-05-31,1391.319
2016-06-30,1364.895
2016-07-29,1440.289
2016-08-31,1446.146
2016-09-30,1464.278
2016-10-31,1425.081
2016-11-30,1498.548
2016-12-30,1548.359
2017-01-31,1579.435
2017-02-28,1612.006
2017-03-31,1609.785
2017-04-28,1633.002
2017-05-31,1625.165
2017-06-30,1654.907
2017-07-31,1693.352
2017-08-31,1683.624
2017-09-29,1751.879
2017-10-31,1760.722
2017-11-30,1797.553
2017-12-29,1824.022
2018-01-31,1869.104
2018-02-28,1782.043
2018-03-30,1781.014
2018-04-30,1807.342
2018-05-31,1836.357
2018-06-29,1826.088
2018-07-31,1853.42
2018-08-31,1867.238
2018-09-28,1840.315
2018-10-31,1680.43
2018-11-30,1689.937
2018-12-31,1532.785
2019-01-31,1689.607
2019-02-28,1734.38
2019-03-29,1712.304
2019-04-30,1759.538
2019-05-31,1635.503
2019-06-28,1719.001
2019-07-31,1717.49
2019-08-30,1651.644
2019-09-30,1716.545
2019-10-31,1768.066
2019-11-29,1803.976
2019-12-31,1874.45
2020-01-31,1800.863
2020-02-28,1616.116
2020-03-31,1221.094
2020-04-30,1368.452
2020-05-29,1424.693
2020-06-30,1455.677
2020-07-31,1485.698
2020-08-31,1575.374
2020-09-30,1523.697
2020-10-30,1533.491
2020-11-30,1803.24
2020-12-31,1929.799
2021-01-29,1959.188
2021-02-26,2093.292
2021-03-31,2181.41
2021-04-30,2261.661
2021-05-31,2313.155
2021-06-30,2281.537
2021-07-30,2261.771
2021-08-31,2309.714
2021-09-30,2251.449
2021-10-29,2326.638
2021-11-30,2224.541
2021-12-31,2337.291
2022-01-31,2248.713
2022-02-28,2264.446
2022-03-31,2290.667
2022-04-29,2147.568
2022-05-31,2177.02
2022-06-30,1953.922
2022-07-29,2107.503
2022-08-31,2042.569
2022-09-30,1831.204
2022-10-31,1998.831
2022-11-30,2130.654
2022-12-30,2062.542
2023-01-31,2245.351
2023-02-28,2200.663
2023-03-31,2100.294
2023-04-28,2095.174
2023-05-31,2016.122
2023-06-30,2145.501
2023-07-31,2270.735
2023-08-31,2182.346
2023-09-29,2085.356
2023-10-31,1974.156
2023-11-30,2142.166
2023-12-29,2352.563
2024-01-31,2289.601
2024-02-29,2317.809
2024-03-29,2433.514
2024-04-30,2320.924
2024-05-31,2416.095
2024-06-28,2351.956
2024-07-31,2549.837
2024-08-30,2560.031
2024-09-30,2605.647
2024-10-31,2534.17
2024-11-29,2679.918
2024-12-31,2522.119
2025-01-31,2601.432
2025-02-28,2550.805
2025-03-31,2480.453
2025-04-30,2463.297
2025-05-30,2585.417
2025-06-30,2693.854
