Date,SPAIN Standard (Large+Mid Cap)
2003-01-29,1600.587
2003-01-30,1604.486
2003-01-31,1579.736
2003-02-03,1601.96
2003-02-04,1578.474
2003-02-05,1611.912
2003-02-06,1577.598
2003-02-07,1554.047
2003-02-10,1541.52
2003-02-11,1572.676
2003-02-12,1551.917
2003-02-13,1557.192
2003-02-14,1597.102
2003-02-17,1619.796
2003-02-18,1635.595
2003-02-19,1607.958
2003-02-20,1604.888
2003-02-21,1621.63
2003-02-24,1587.991
2003-02-25,1542.321
2003-02-26,1541.828
2003-02-27,1565.315
2003-02-28,1601.893
2003-03-03,1606.616
2003-03-04,1581.429
2003-03-05,1594.093
2003-03-06,1575.333
2003-03-07,1553.647
2003-03-10,1515.288
2003-03-11,1526.985
2003-03-12,1476.881
2003-03-13,1523.508
2003-03-14,1573.276
2003-03-17,1608.931
2003-03-18,1607.087
2003-03-19,1622.332
2003-03-20,1608.872
2003-03-21,1645.241
2003-03-24,1594.614
2003-03-25,1632.06
2003-03-26,1632.175
2003-03-27,1605.265
2003-03-28,1613.029
2003-03-31,1589.655
2003-04-01,1612.958
2003-04-02,1661.318
2003-04-03,1671.511
2003-04-04,1692.078
2003-04-07,1719.273
2003-04-08,1707.128
2003-04-09,1731.723
2003-04-10,1737.501
2003-04-11,1736.957
2003-04-14,1756.414
2003-04-15,1775.081
2003-04-16,1769.439
2003-04-17,1800.394
2003-04-18,1800.394
2003-04-21,1792.633
2003-04-22,1812.395
2003-04-23,1809.492
2003-04-24,1805.989
2003-04-25,1794.781
2003-04-28,1825.375
2003-04-29,1814.233
2003-04-30,1814.162
2003-05-01,1830.824
2003-05-02,1815.249
2003-05-05,1834.383
2003-05-06,1866.635
2003-05-07,1822.416
2003-05-08,1796.361
2003-05-09,1829.446
2003-05-12,1842.23
2003-05-13,1829.723
2003-05-14,1819.749
2003-05-15,1828.242
2003-05-16,1864.357
2003-05-19,1824.482
2003-05-20,1822.331
2003-05-21,1796.944
2003-05-22,1834.051
2003-05-23,1859.726
2003-05-26,1869.487
2003-05-27,1877.421
2003-05-28,1888.767
2003-05-29,1907.139
2003-05-30,1901.163
2003-06-02,1921.525
2003-06-03,1911.624
2003-06-04,1926.565
2003-06-05,1937.769
2003-06-06,1950.9
2003-06-09,1945.151
2003-06-10,1940.248
2003-06-11,1980.992
2003-06-12,1998.173
2003-06-13,2013.463
2003-06-16,2056.797
2003-06-17,2054.509
2003-06-18,2046.919
2003-06-19,2013.48
2003-06-20,2052.3
2003-06-23,1991.143
2003-06-24,1974.343
2003-06-25,2003.903
2003-06-26,1984.68
2003-06-27,1986.704
2003-06-30,1962.393
2003-07-01,1952.979
2003-07-02,1966.603
2003-07-03,1963.236
2003-07-04,1957.635
2003-07-07,1975.767
2003-07-08,1975.489
2003-07-09,1964.847
2003-07-10,1947.044
2003-07-11,1979.1
2003-07-14,1999.704
2003-07-15,1978.565
2003-07-16,1953.535
2003-07-17,1950.52
2003-07-18,1942.507
2003-07-21,1937.86
2003-07-22,1954.434
2003-07-23,1971.659
2003-07-24,2015.427
2003-07-25,2000.87
2003-07-28,2020.349
2003-07-29,2001.616
2003-07-30,2000.51
2003-07-31,2000.62
2003-08-01,1984.524
2003-08-04,1984.259
2003-08-05,2000.414
2003-08-06,1985.934
2003-08-07,1984.166
2003-08-08,1980.244
2003-08-11,1989.903
2003-08-12,1999.742
2003-08-13,1995.388
2003-08-14,2024.366
2003-08-15,2022.928
2003-08-18,2023.853
2003-08-19,2017.281
2003-08-20,2019.092
2003-08-21,2000.411
2003-08-22,1978.308
2003-08-25,1973.696
2003-08-26,1959.6
2003-08-27,1965.633
2003-08-28,1976.185
2003-08-29,1970.769
2003-09-01,1991.483
2003-09-02,1973.701
2003-09-03,1989.11
2003-09-04,1998.346
2003-09-05,2011.853
2003-09-08,2039.798
2003-09-09,2035.565
2003-09-10,2010.493
2003-09-11,2004.512
2003-09-12,1996.094
2003-09-15,2005.964
2003-09-16,2010.311
2003-09-17,2021.757
2003-09-18,2042.446
2003-09-19,2031.128
2003-09-22,2012.138
2003-09-23,2012.268
2003-09-24,1993.247
2003-09-25,1999.268
2003-09-26,1965.036
2003-09-29,1965.12
2003-09-30,1963.18
2003-10-01,1990.272
2003-10-02,1988.668
2003-10-03,2029.162
2003-10-06,2026.926
2003-10-07,2044.857
2003-10-08,2060.912
2003-10-09,2078.545
2003-10-10,2077.64
2003-10-13,2082.249
2003-10-14,2079.064
2003-10-15,2072.739
2003-10-16,2081.081
2003-10-17,2057.419
2003-10-20,2058.934
2003-10-21,2069.854
2003-10-22,2065.79
2003-10-23,2056.456
