Date,AUSTRALIA IMI IMI (Large+Mid+Small Cap)
2003-05-23,328.979
2003-05-26,330.517
2003-05-27,328.634
2003-05-28,325.908
2003-05-29,326.246
2003-05-30,327.789
2003-06-02,333.581
2003-06-03,332.867
2003-06-04,337.001
2003-06-05,339.6
2003-06-06,337.949
2003-06-09,336.687
2003-06-10,336.923
2003-06-11,341.723
2003-06-12,343.85
2003-06-13,345.398
2003-06-16,346.24
2003-06-17,350.422
2003-06-18,349.449
2003-06-19,348.555
2003-06-20,346.942
2003-06-23,344.942
2003-06-24,342.523
2003-06-25,346.174
2003-06-26,339.802
2003-06-27,341.326
2003-06-30,341.593
2003-07-01,346.325
2003-07-02,346.612
2003-07-03,350.204
2003-07-04,346.821
2003-07-07,347.212
2003-07-08,338.981
2003-07-09,333.177
2003-07-10,335.611
2003-07-11,336.725
2003-07-14,341.13
2003-07-15,337.828
2003-07-16,341.757
2003-07-17,338.423
2003-07-18,334.086
2003-07-21,337.658
2003-07-22,335.605
2003-07-23,340.997
2003-07-24,345.669
2003-07-25,346.156
2003-07-28,348.798
2003-07-29,348.143
2003-07-30,340.208
2003-07-31,340.29
2003-08-01,345.01
2003-08-04,341.704
2003-08-05,340.116
2003-08-06,341.454
2003-08-07,343.453
2003-08-08,345.682
2003-08-11,347.716
2003-08-12,347.48
2003-08-13,349.181
2003-08-14,348.176
2003-08-15,349.431
2003-08-18,349.482
2003-08-19,349.297
2003-08-20,353.07
2003-08-21,349.913
2003-08-22,348.78
2003-08-25,349.179
2003-08-26,345.08
2003-08-27,343.072
2003-08-28,344.235
2003-08-29,348.225
2003-09-01,348.099
2003-09-02,347.782
2003-09-03,346.005
2003-09-04,347.556
2003-09-05,348.955
2003-09-08,352.421
2003-09-09,358.243
2003-09-10,357.064
2003-09-11,355.052
2003-09-12,356.877
2003-09-15,357.668
2003-09-16,357.081
2003-09-17,360.335
2003-09-18,362.339
2003-09-19,364.546
2003-09-22,367.182
2003-09-23,364.389
2003-09-24,366.842
2003-09-25,365.071
2003-09-26,361.556
2003-09-29,360.285
2003-09-30,362.379
2003-10-01,364.063
2003-10-02,369.172
2003-10-03,369.156
2003-10-06,370.478
2003-10-07,375.343
2003-10-08,378.486
2003-10-09,380.424
2003-10-10,381.103
2003-10-13,382.027
2003-10-14,382.493
2003-10-15,382.738
2003-10-16,385.589
2003-10-17,385.831
2003-10-20,385.207
2003-10-21,390.28
2003-10-22,393.082
2003-10-23,386.203
2003-10-24,386.03
2003-10-27,386.741
2003-10-28,386.569
2003-10-29,388.394
2003-10-30,391.293
2003-10-31,392.579
2003-11-03,387.613
2003-11-04,386.708
2003-11-05,389.551
2003-11-06,388.383
2003-11-07,389.215
2003-11-10,391.599
2003-11-11,387.84
2003-11-12,388.633
2003-11-13,392.193
2003-11-14,389.67
2003-11-17,383.987
2003-11-18,387.856
2003-11-19,389.42
2003-11-20,390.531
2003-11-21,388.936
2003-11-24,385.876
2003-11-25,388.84
2003-11-26,391.902
2003-11-27,390.099
2003-11-28,391.017
2003-12-01,390.728
2003-12-02,395.914
2003-12-03,401.203
2003-12-04,402.179
2003-12-05,402.829
