Date,FINLAND IMI VALUE IMI (Large+Mid+Small Cap)
2003-11-28,340.533
2003-12-31,350.01
2004-01-30,348.149
2004-02-27,367.5
2004-03-31,366.045
2004-04-30,374.654
2004-05-31,369.736
2004-06-30,386.707
2004-07-30,360.933
2004-08-31,363.392
2004-09-30,389.421
2004-10-29,418.384
2004-11-30,459.688
2004-12-31,465.311
2005-01-31,451.292
2005-02-28,485.433
2005-03-31,485.598
2005-04-29,472.184
2005-05-31,477.501
2005-06-30,489.054
2005-07-29,513.393
2005-08-31,525.756
2005-09-30,539.349
2005-10-31,502.624
2005-11-30,502.733
2005-12-30,529.81
2006-01-31,582.235
2006-02-28,614.031
2006-03-31,675.649
2006-04-28,708.809
2006-05-31,666.817
2006-06-30,666.906
2006-07-31,677.942
2006-08-31,706.129
2006-09-29,708.524
2006-10-31,763.538
2006-11-30,804.206
2006-12-29,837.43
2007-01-31,846.677
2007-02-28,856.756
2007-03-30,912.38
2007-04-30,971.692
2007-05-31,1000.0
2007-06-29,974.071
2007-07-31,954.25
2007-08-31,932.671
2007-09-28,997.299
2007-10-31,1007.7
2007-11-30,940.953
2007-12-31,905.278
2008-01-31,829.131
2008-02-29,850.86
2008-03-31,893.747
2008-04-30,916.749
2008-05-30,939.435
2008-06-30,826.213
2008-07-31,756.588
2008-08-29,758.966
2008-09-30,627.403
2008-10-31,513.09
2008-11-28,480.834
2008-12-31,489.106
2009-01-30,436.512
2009-02-27,372.405
2009-03-31,383.605
2009-04-30,508.39
2009-05-29,556.78
2009-06-30,528.891
2009-07-31,554.549
2009-08-31,615.542
2009-09-30,642.914
2009-10-30,608.776
2009-11-30,636.684
2009-12-31,640.239
2010-01-29,660.552
2010-02-26,639.924
2010-03-31,721.304
2010-04-30,655.458
2010-05-31,567.234
2010-06-30,519.893
2010-07-30,586.842
2010-08-31,556.574
2010-09-30,651.469
2010-10-29,679.595
2010-11-30,611.181
2010-12-31,691.524
2011-01-31,723.778
2011-02-28,662.843
2011-03-31,684.619
2011-04-29,731.658
2011-05-31,654.175
2011-06-30,619.457
2011-07-29,561.205
2011-08-31,543.371
2011-09-30,467.798
2011-10-31,530.804
2011-11-30,484.674
2011-12-30,444.053
2012-01-31,483.27
2012-02-29,520.152
2012-03-30,522.746
2012-04-30,468.92
2012-05-31,381.573
2012-06-29,390.062
2012-07-31,401.172
2012-08-31,423.36
2012-09-28,437.095
2012-10-31,442.993
2012-11-30,470.627
2012-12-31,499.138
2013-01-31,526.301
2013-02-28,517.448
2013-03-29,506.642
2013-04-30,528.617
2013-05-31,531.972
2013-06-28,512.566
2013-07-31,555.051
2013-08-30,556.342
2013-09-30,662.108
2013-10-31,716.1
2013-11-29,741.299
2013-12-31,759.03
2014-01-31,710.875
2014-02-28,791.043
2014-03-31,782.888
2014-04-30,812.018
2014-05-30,836.685
2014-06-30,848.42
2014-07-31,810.305
2014-08-29,792.54
2014-09-30,758.956
2014-10-31,746.69
2014-11-28,774.858
2014-12-31,737.625
2015-01-30,759.134
2015-02-27,802.532
2015-03-31,797.03
2015-04-30,819.886
2015-05-29,800.849
2015-06-30,790.058
2015-07-31,824.099
2015-08-31,773.155
2015-09-30,732.87
2015-10-30,793.058
2015-11-30,803.502
2015-12-31,804.096
2016-01-29,762.146
2016-02-29,739.926
2016-03-31,805.431
2016-04-29,819.701
2016-05-31,825.539
2016-06-30,821.452
2016-07-29,866.451
2016-08-31,860.023
2016-09-30,898.17
2016-10-31,842.894
2016-11-30,823.017
2016-12-30,873.087
2017-01-31,864.007
2017-02-28,885.344
2017-03-31,924.961
2017-04-28,994.017
2017-05-31,1069.4
2017-06-30,1066.219
2017-07-31,1094.745
2017-08-31,1087.97
2017-09-29,1102.561
2017-10-31,1077.893
2017-11-30,1088.673
2017-12-29,1116.759
2018-01-31,1198.361
2018-02-28,1193.056
2018-03-30,1205.836
2018-04-30,1261.05
2018-05-31,1235.127
2018-06-29,1227.293
2018-07-31,1207.297
2018-08-31,1238.177
2018-09-28,1234.657
2018-10-31,1147.513
2018-11-30,1098.033
2018-12-31,1088.173
2019-01-31,1178.736
2019-02-28,1179.28
2019-03-29,1142.076
2019-04-30,1135.61
2019-05-31,1068.252
2019-06-28,1138.12
2019-07-31,1135.564
2019-08-30,1094.412
2019-09-30,1134.355
2019-10-31,1101.406
2019-11-29,1088.523
2019-12-31,1148.098
2020-01-31,1133.749
2020-02-28,1035.29
2020-03-31,847.638
2020-04-30,947.368
2020-05-29,1009.592
2020-06-30,1015.628
2020-07-31,1078.975
2020-08-31,1176.86
2020-09-30,1192.799
2020-10-30,1133.719
2020-11-30,1283.223
2020-12-31,1343.378
2021-01-29,1336.434
2021-02-26,1383.868
2021-03-31,1397.366
2021-04-30,1484.677
2021-05-31,1501.301
2021-06-30,1496.656
2021-07-30,1594.638
2021-08-31,1596.523
2021-09-30,1457.354
2021-10-29,1485.585
2021-11-30,1426.436
2021-12-31,1517.233
2022-01-31,1430.954
2022-02-28,1322.043
2022-03-31,1315.734
2022-04-29,1266.056
2022-05-31,1286.505
2022-06-30,1167.686
2022-07-29,1195.463
2022-08-31,1180.224
2022-09-30,1085.832
2022-10-31,1155.251
2022-11-30,1272.459
2022-12-30,1298.912
2023-01-31,1329.549
2023-02-28,1302.73
2023-03-31,1294.031
2023-04-28,1303.261
2023-05-31,1215.947
2023-06-30,1212.162
2023-07-31,1222.013
2023-08-31,1216.294
2023-09-29,1164.46
2023-10-31,1125.235
2023-11-30,1229.335
2023-12-29,1282.945
2024-01-31,1271.497
2024-02-29,1231.697
2024-03-29,1239.662
2024-04-30,1267.923
2024-05-31,1341.498
2024-06-28,1298.788
2024-07-31,1317.992
2024-08-30,1388.171
2024-09-30,1418.338
2024-10-31,1342.389
2024-11-29,1268.663
2024-12-31,1240.19
2025-01-31,1324.169
2025-02-28,1373.888
2025-03-31,1419.087
2025-04-30,1510.65
2025-05-30,1573.707
2025-06-30,1605.85
2025-07-31,1539.159
2025-08-29,1607.388
2025-09-30,1662.302
2025-10-31,1789.246
2025-11-28,1784.685
