Date,ACWI MID CAP Mid Cap
2002-08-27,367.914
2002-08-28,361.143
2002-08-29,359.907
2002-08-30,360.097
2002-09-02,358.944
2002-09-03,349.603
2002-09-04,351.604
2002-09-05,347.989
2002-09-06,352.45
2002-09-09,353.228
2002-09-10,355.409
2002-09-11,356.652
2002-09-12,350.43
2002-09-13,349.374
2002-09-16,347.102
2002-09-17,343.365
2002-09-18,340.725
2002-09-19,334.61
2002-09-20,334.255
2002-09-23,328.382
2002-09-24,322.534
2002-09-25,328.151
2002-09-26,334.382
2002-09-27,330.862
2002-09-30,326.703
2002-10-01,330.781
2002-10-02,326.301
2002-10-03,322.535
2002-10-04,316.875
2002-10-07,309.76
2002-10-08,311.198
2002-10-09,304.586
2002-10-10,311.563
2002-10-11,321.989
2002-10-14,322.974
2002-10-15,335.577
2002-10-16,330.026
2002-10-17,337.972
2002-10-18,338.632
2002-10-21,344.175
2002-10-22,339.04
2002-10-23,340.129
2002-10-24,338.71
2002-10-25,341.465
2002-10-28,341.404
2002-10-29,336.835
2002-10-30,340.552
2002-10-31,341.754
2002-11-01,345.501
2002-11-04,350.321
2002-11-05,351.564
2002-11-06,354.463
2002-11-07,349.151
2002-11-08,345.259
2002-11-11,339.045
2002-11-12,342.034
2002-11-13,340.43
2002-11-14,345.724
2002-11-15,348.511
2002-11-18,347.3
2002-11-19,345.017
2002-11-20,349.079
2002-11-21,357.12
2002-11-22,358.258
2002-11-25,358.534
2002-11-26,352.519
2002-11-27,359.531
2002-11-28,361.808
2002-11-29,362.254
2002-12-02,361.51
2002-12-03,357.08
2002-12-04,354.157
2002-12-05,351.545
2002-12-06,352.233
2002-12-09,346.004
2002-12-10,349.115
2002-12-11,350.429
2002-12-12,350.516
2002-12-13,347.171
2002-12-16,352.014
2002-12-17,350.849
2002-12-18,346.297
2002-12-19,345.225
2002-12-20,348.804
2002-12-23,349.374
2002-12-24,348.775
2002-12-25,348.67
2002-12-26,349.524
2002-12-27,345.434
2002-12-30,347.179
2002-12-31,348.676
2003-01-01,348.668
2003-01-02,356.237
2003-01-03,356.754
2003-01-06,362.614
2003-01-07,359.217
2003-01-08,354.363
2003-01-09,359.166
2003-01-10,360.472
2003-01-13,360.231
2003-01-14,361.727
2003-01-15,358.838
2003-01-16,358.731
2003-01-17,355.234
2003-01-20,354.387
2003-01-21,350.155
2003-01-22,347.407
2003-01-23,350.625
2003-01-24,345.851
2003-01-27,338.709
2003-01-28,341.248
2003-01-29,341.592
2003-01-30,339.223
2003-01-31,341.266
2003-02-03,343.661
2003-02-04,340.296
2003-02-05,340.104
2003-02-06,337.394
2003-02-07,334.594
2003-02-10,334.805
2003-02-11,334.281
2003-02-12,330.684
2003-02-13,329.605
2003-02-14,333.082
2003-02-17,334.847
2003-02-18,339.3
2003-02-19,337.169
2003-02-20,336.216
2003-02-21,338.688
2003-02-24,334.898
2003-02-25,332.415
2003-02-26,330.294
2003-02-27,332.338
2003-02-28,335.196
2003-03-03,335.102
2003-03-04,330.899
2003-03-05,331.332
2003-03-06,329.924
2003-03-07,329.396
2003-03-10,323.288
2003-03-11,320.575
2003-03-12,318.643
2003-03-13,326.922
2003-03-14,328.883
2003-03-17,336.263
2003-03-18,338.592
2003-03-19,339.117
2003-03-20,341.15
2003-03-21,346.481
2003-03-24,338.447
2003-03-25,341.57
2003-03-26,341.724
2003-03-27,341.222
2003-03-28,340.193
2003-03-31,335.599
2003-04-01,337.378
2003-04-02,343.773
2003-04-03,342.979
2003-04-04,343.376
2003-04-07,346.697
2003-04-08,344.427
2003-04-09,341.797
2003-04-10,343.422
2003-04-11,342.845
2003-04-14,346.735
2003-04-15,350.194
2003-04-16,348.206
2003-04-17,352.777
2003-04-18,352.924
2003-04-21,352.716
2003-04-22,357.512
2003-04-23,359.872
2003-04-24,358.2
2003-04-25,353.81
2003-04-28,358.392
2003-04-29,360.094
2003-04-30,362.698
2003-05-01,363.449
2003-05-02,367.482
2003-05-05,369.628
2003-05-06,374.348
2003-05-07,373.275
2003-05-08,369.98
2003-05-09,374.198
2003-05-12,378.027
2003-05-13,377.975
2003-05-14,378.227
2003-05-15,380.202
2003-05-16,382.035
2003-05-19,374.507
2003-05-20,374.252
2003-05-21,375.189
2003-05-22,379.039
2003-05-23,381.505
2003-05-26,382.219
2003-05-27,386.648
2003-05-28,387.247
2003-05-29,388.068
2003-05-30,393.097
2003-06-02,395.523
2003-06-03,394.07
2003-06-04,399.21
2003-06-05,403.557
2003-06-06,404.103
2003-06-09,399.767
2003-06-10,401.427
2003-06-11,407.2
2003-06-12,408.001
2003-06-13,404.795
2003-06-16,410.922
2003-06-17,411.897
2003-06-18,409.807
2003-06-19,405.045
2003-06-20,405.291
2003-06-23,399.693
2003-06-24,397.688
2003-06-25,399.182
2003-06-26,399.781
2003-06-27,399.386
2003-06-30,398.402
2003-07-01,400.209
2003-07-02,405.498
2003-07-03,405.558
2003-07-04,405.026
2003-07-07,410.995
2003-07-08,412.73
2003-07-09,412.129
2003-07-10,407.729
2003-07-11,409.046
2003-07-14,412.908
2003-07-15,410.821
2003-07-16,407.781
2003-07-17,402.668
2003-07-18,405.513
2003-07-21,403.32
2003-07-22,405.739
2003-07-23,407.702
2003-07-24,409.035
2003-07-25,412.419
2003-07-28,413.73
2003-07-29,412.392
2003-07-30,409.969
2003-07-31,410.456
2003-08-01,409.08
2003-08-04,408.152
2003-08-05,404.343
2003-08-06,402.557
2003-08-07,404.497
2003-08-08,405.345
2003-08-11,407.556
2003-08-12,410.968
2003-08-13,412.053
2003-08-14,414.953
2003-08-15,415.111
2003-08-18,418.429
2003-08-19,420.338
2003-08-20,422.648
2003-08-21,425.478
2003-08-22,422.575
2003-08-25,421.651
2003-08-26,420.638
2003-08-27,421.902
2003-08-28,424.835
2003-08-29,428.057
2003-09-01,430.684
2003-09-02,433.262
2003-09-03,435.543
2003-09-04,435.816
2003-09-05,434.873
2003-09-08,438.633
2003-09-09,436.568
2003-09-10,430.616
2003-09-11,431.67
2003-09-12,433.965
2003-09-15,433.443
2003-09-16,437.835
2003-09-17,438.299
2003-09-18,443.282
2003-09-19,444.133
2003-09-22,440.033
2003-09-23,442.176
2003-09-24,438.359
2003-09-25,434.286
2003-09-26,430.645
2003-09-29,433.17
2003-09-30,430.98
2003-10-01,438.586
2003-10-02,442.247
2003-10-03,447.918
2003-10-06,449.826
2003-10-07,452.126
2003-10-08,451.337
2003-10-09,454.018
2003-10-10,456.29
2003-10-13,458.993
2003-10-14,460.41
2003-10-15,460.345
2003-10-16,462.784
2003-10-17,458.777
2003-10-20,460.218
2003-10-21,460.957
2003-10-22,456.607
2003-10-23,452.841
2003-10-24,453.01
2003-10-27,456.065
2003-10-28,460.988
2003-10-29,463.898
2003-10-30,465.369
2003-10-31,464.304
2003-11-03,466.527
2003-11-04,467.702
2003-11-05,467.403
2003-11-06,467.404
2003-11-07,469.083
2003-11-10,466.421
2003-11-11,463.237
2003-11-12,468.011
2003-11-13,470.703
2003-11-14,468.272
2003-11-17,461.163
