Date,ACWI MID CAP Mid Cap
2002-10-18,344.846
2002-10-21,350.491
2002-10-22,345.261
2002-10-23,346.367
2002-10-24,344.92
2002-10-25,347.725
2002-10-28,347.66
2002-10-29,343.003
2002-10-30,346.767
2002-10-31,347.988
2002-11-01,351.804
2002-11-04,356.706
2002-11-05,357.967
2002-11-06,360.908
2002-11-07,355.486
2002-11-08,351.517
2002-11-11,345.185
2002-11-12,348.224
2002-11-13,346.59
2002-11-14,351.97
2002-11-15,354.806
2002-11-18,353.563
2002-11-19,351.238
2002-11-20,355.36
2002-11-21,363.547
2002-11-22,364.703
2002-11-25,364.976
2002-11-26,358.844
2002-11-27,365.973
2002-11-28,368.292
2002-11-29,368.745
2002-12-02,367.985
2002-12-03,363.476
2002-12-04,360.483
2002-12-05,357.819
2002-12-06,358.511
2002-12-09,352.165
2002-12-10,355.328
2002-12-11,356.651
2002-12-12,356.731
2002-12-13,353.325
2002-12-16,358.25
2002-12-17,357.059
2002-12-18,352.413
2002-12-19,351.314
2002-12-20,354.955
2002-12-23,355.528
2002-12-24,354.916
2002-12-25,354.806
2002-12-26,355.672
2002-12-27,351.498
2002-12-30,353.272
2002-12-31,354.791
2003-01-01,354.783
2003-01-02,362.483
2003-01-03,363.008
2003-01-06,368.971
2003-01-07,365.514
2003-01-08,360.565
2003-01-09,365.449
2003-01-10,366.778
2003-01-13,366.529
2003-01-14,368.049
2003-01-15,365.109
2003-01-16,365.0
2003-01-17,361.441
2003-01-20,360.579
2003-01-21,356.273
2003-01-22,353.471
2003-01-23,356.744
2003-01-24,351.887
2003-01-27,344.616
2003-01-28,347.198
2003-01-29,347.542
2003-01-30,345.123
2003-01-31,347.201
2003-02-03,349.637
2003-02-04,346.209
2003-02-05,345.998
2003-02-06,343.239
2003-02-07,340.383
2003-02-10,340.58
2003-02-11,340.045
2003-02-12,336.37
2003-02-13,335.262
2003-02-14,338.794
2003-02-17,340.589
2003-02-18,345.114
2003-02-19,342.937
2003-02-20,341.963
2003-02-21,344.475
2003-02-24,340.615
2003-02-25,338.087
2003-02-26,335.919
2003-02-27,337.989
2003-02-28,340.895
2003-03-03,340.791
2003-03-04,336.512
2003-03-05,336.927
2003-03-06,335.475
2003-03-07,334.931
2003-03-10,328.715
2003-03-11,325.947
2003-03-12,323.967
2003-03-13,332.375
2003-03-14,334.365
2003-03-17,341.863
2003-03-18,344.222
2003-03-19,344.755
2003-03-20,346.798
2003-03-21,352.217
2003-03-24,344.045
2003-03-25,347.218
2003-03-26,347.327
2003-03-27,346.807
2003-03-28,345.757
2003-03-31,341.085
2003-04-01,342.885
2003-04-02,349.384
2003-04-03,348.572
2003-04-04,348.961
2003-04-07,352.331
2003-04-08,350.019
2003-04-09,347.341
2003-04-10,348.955
2003-04-11,348.362
2003-04-14,352.31
2003-04-15,355.825
2003-04-16,353.801
2003-04-17,358.441
2003-04-18,358.59
2003-04-21,358.378
2003-04-22,363.246
2003-04-23,365.631
2003-04-24,363.933
2003-04-25,359.467
2003-04-28,364.107
2003-04-29,365.824
2003-04-30,368.458
2003-05-01,369.216
2003-05-02,373.307
2003-05-05,375.478
2003-05-06,380.261
2003-05-07,379.163
2003-05-08,375.809
2003-05-09,380.078
2003-05-12,383.955
2003-05-13,383.892
2003-05-14,384.134
2003-05-15,386.134
2003-05-16,387.996
2003-05-19,380.297
2003-05-20,380.026
2003-05-21,380.964
2003-05-22,384.867
2003-05-23,387.361
2003-05-26,388.083
2003-05-27,392.577
2003-05-28,393.172
2003-05-29,393.997
2003-05-30,399.1
2003-06-02,401.546
2003-06-03,400.068
2003-06-04,405.274
2003-06-05,409.675
2003-06-06,410.212
2003-06-09,405.805
2003-06-10,407.482
2003-06-11,413.326
