Date,USA LARGE VALUE Large Cap
2003-05-23,548.08
2003-05-26,548.08
2003-05-27,557.751
2003-05-28,558.101
2003-05-29,553.934
2003-05-30,562.831
2003-06-02,567.921
2003-06-03,570.293
2003-06-04,578.532
2003-06-05,581.316
2003-06-06,581.782
2003-06-09,573.969
2003-06-10,578.983
2003-06-11,587.334
2003-06-12,587.863
2003-06-13,582.866
2003-06-16,594.325
2003-06-17,594.174
2003-06-18,592.003
2003-06-19,582.685
2003-06-20,585.143
2003-06-23,577.896
2003-06-24,579.875
2003-06-25,574.553
2003-06-26,579.55
2003-06-27,573.506
2003-06-30,572.54
2003-07-01,576.942
2003-07-02,582.199
2003-07-03,577.649
2003-07-04,577.649
2003-07-07,586.242
2003-07-08,586.123
2003-07-09,583.249
2003-07-10,575.159
2003-07-11,580.257
2003-07-14,583.377
2003-07-15,579.449
2003-07-16,573.86
2003-07-17,568.126
2003-07-18,576.953
2003-07-21,567.802
2003-07-22,573.084
2003-07-23,571.716
2003-07-24,567.959
2003-07-25,578.0
2003-07-28,577.303
2003-07-29,572.811
2003-07-30,571.252
2003-07-31,572.816
2003-08-01,566.56
2003-08-04,568.458
2003-08-05,559.01
2003-08-06,562.598
2003-08-07,566.23
2003-08-08,569.259
2003-08-11,570.309
2003-08-12,575.549
2003-08-13,571.626
2003-08-14,576.221
2003-08-15,575.985
2003-08-18,579.861
2003-08-19,580.853
2003-08-20,579.906
2003-08-21,581.398
2003-08-22,572.986
2003-08-25,572.405
2003-08-26,573.947
2003-08-27,573.311
2003-08-28,576.519
2003-08-29,579.329
2003-09-01,579.329
2003-09-02,587.725
2003-09-03,590.805
2003-09-04,590.612
2003-09-05,587.225
2003-09-08,592.318
2003-09-09,587.742
2003-09-10,582.019
2003-09-11,583.92
2003-09-12,584.823
2003-09-15,582.21
2003-09-16,589.137
2003-09-17,587.997
2003-09-18,596.929
2003-09-19,595.129
2003-09-22,587.817
2003-09-23,589.07
2003-09-24,580.182
2003-09-25,576.993
2003-09-26,574.033
2003-09-29,578.341
2003-09-30,573.926
2003-10-01,585.913
2003-10-02,587.12
2003-10-03,589.991
2003-10-06,593.494
2003-10-07,595.789
2003-10-08,592.62
2003-10-09,594.674
2003-10-10,594.024
2003-10-13,597.625
2003-10-14,599.849
2003-10-15,597.853
2003-10-16,599.417
2003-10-17,594.706
2003-10-20,596.494
2003-10-21,594.986
2003-10-22,586.719
2003-10-23,590.381
2003-10-24,589.121
2003-10-27,589.012
2003-10-28,595.148
2003-10-29,597.074
2003-10-30,596.373
2003-10-31,598.567
2003-11-03,602.332
2003-11-04,599.753
2003-11-05,598.156
2003-11-06,600.39
2003-11-07,598.585
2003-11-10,596.915
2003-11-11,596.605
2003-11-12,602.066
2003-11-13,602.028
2003-11-14,598.06
2003-11-17,595.438
2003-11-18,590.862
2003-11-19,595.527
2003-11-20,591.357
2003-11-21,591.704
