Date,SWITZERLAND VALUE Standard (Large+Mid Cap)
2003-07-29,3035.803
2003-07-30,3028.456
2003-07-31,3022.876
2003-08-01,3040.073
2003-08-04,3039.137
2003-08-05,3084.318
2003-08-06,3054.507
2003-08-07,3039.693
2003-08-08,3026.442
2003-08-11,3019.599
2003-08-12,3043.654
2003-08-13,3048.938
2003-08-14,3083.211
2003-08-15,3129.382
2003-08-18,3105.527
2003-08-19,3109.676
2003-08-20,3122.02
2003-08-21,3139.67
2003-08-22,3148.327
2003-08-25,3116.618
2003-08-26,3123.683
2003-08-27,3142.084
2003-08-28,3162.669
2003-08-29,3142.755
2003-09-01,3191.976
2003-09-02,3144.486
2003-09-03,3192.361
2003-09-04,3200.47
2003-09-05,3242.336
2003-09-08,3276.802
2003-09-09,3258.963
2003-09-10,3262.857
2003-09-11,3270.888
2003-09-12,3283.447
2003-09-15,3295.512
2003-09-16,3282.874
2003-09-17,3314.79
2003-09-18,3312.34
2003-09-19,3333.779
2003-09-22,3290.543
2003-09-23,3252.462
2003-09-24,3278.215
2003-09-25,3263.528
2003-09-26,3244.567
2003-09-29,3254.727
2003-09-30,3261.222
2003-10-01,3280.547
2003-10-02,3283.549
2003-10-03,3331.044
2003-10-06,3311.823
2003-10-07,3316.296
2003-10-08,3330.614
2003-10-09,3346.161
2003-10-10,3357.289
2003-10-13,3361.924
2003-10-14,3357.174
2003-10-15,3340.201
2003-10-16,3362.894
2003-10-17,3329.433
2003-10-20,3331.939
2003-10-21,3330.772
2003-10-22,3307.898
2003-10-23,3290.385
2003-10-24,3299.354
2003-10-27,3300.31
2003-10-28,3287.447
2003-10-29,3283.968
2003-10-30,3306.658
2003-10-31,3258.515
2003-11-03,3275.949
2003-11-04,3242.98
2003-11-05,3208.198
2003-11-06,3211.08
2003-11-07,3252.73
2003-11-10,3226.441
2003-11-11,3230.211
2003-11-12,3258.242
2003-11-13,3294.039
2003-11-14,3337.947
2003-11-17,3307.779
2003-11-18,3314.734
2003-11-19,3303.187
2003-11-20,3305.202
2003-11-21,3320.352
2003-11-24,3324.463
2003-11-25,3337.4
2003-11-26,3381.086
2003-11-27,3388.35
2003-11-28,3411.351
2003-12-01,3444.343
2003-12-02,3490.63
2003-12-03,3530.175
2003-12-04,3500.622
2003-12-05,3492.987
2003-12-08,3520.972
2003-12-09,3534.01
2003-12-10,3514.562
2003-12-11,3509.335
2003-12-12,3543.004
2003-12-15,3567.281
2003-12-16,3552.64
2003-12-17,3537.509
2003-12-18,3557.962
2003-12-19,3551.743
2003-12-22,3551.624
2003-12-23,3563.751
2003-12-24,3587.16
2003-12-25,3587.16
2003-12-26,3580.277
2003-12-29,3600.349
2003-12-30,3651.498
2003-12-31,3675.265
2004-01-01,3675.265
2004-01-02,3667.555
2004-01-05,3749.069
2004-01-06,3773.321
2004-01-07,3747.618
2004-01-08,3783.448
2004-01-09,3800.123
2004-01-12,3768.312
2004-01-13,3806.919
2004-01-14,3823.01
2004-01-15,3802.208
2004-01-16,3777.095
2004-01-19,3764.73
2004-01-20,3803.49
2004-01-21,3831.549
2004-01-22,3873.523
2004-01-23,3913.13
2004-01-26,3857.518
2004-01-27,3892.4
2004-01-28,3891.229
2004-01-29,3810.426
2004-01-30,3808.23
2004-02-02,3829.647
2004-02-03,3835.926
2004-02-04,3842.992
2004-02-05,3853.621
2004-02-06,3937.496
2004-02-09,3965.6
2004-02-10,3980.146
2004-02-11,3971.081
2004-02-12,3977.866
2004-02-13,3947.511
2004-02-16,3974.279
2004-02-17,4002.026
2004-02-18,3977.05
2004-02-19,3976.9
2004-02-20,3938.593
2004-02-23,3948.415
2004-02-24,3936.846
2004-02-25,3902.049
2004-02-26,3844.847
2004-02-27,3839.02
