Date,ITALY SMALL VALUE Small Cap
2004-03-31,387.965
2004-04-30,395.171
2004-05-31,406.698
2004-06-30,423.641
2004-07-30,412.827
2004-08-31,414.381
2004-09-30,446.093
2004-10-29,467.503
2004-11-30,499.66
2004-12-31,544.256
2005-01-31,554.333
2005-02-28,566.207
2005-03-31,556.297
2005-04-29,550.682
2005-05-31,559.922
2005-06-30,561.605
2005-07-29,581.329
2005-08-31,594.756
2005-09-30,603.078
2005-10-31,553.7
2005-11-30,572.106
2005-12-30,588.86
2006-01-31,643.734
2006-02-28,676.163
2006-03-31,694.185
2006-04-28,727.639
2006-05-31,702.215
2006-06-30,713.342
2006-07-31,726.567
2006-08-31,749.779
2006-09-29,756.897
2006-10-31,796.41
2006-11-30,832.976
2006-12-29,856.982
2007-01-31,875.398
2007-02-28,887.093
2007-03-30,926.051
2007-04-30,1004.571
2007-05-31,1000.0
2007-06-29,970.697
2007-07-31,942.099
2007-08-31,907.293
2007-09-28,905.802
2007-10-31,946.531
2007-11-30,860.442
2007-12-31,841.595
2008-01-31,742.557
2008-02-29,771.991
2008-03-31,775.508
2008-04-30,773.325
2008-05-30,795.503
2008-06-30,704.703
2008-07-31,674.706
2008-08-29,672.214
2008-09-30,543.783
2008-10-31,422.009
2008-11-28,387.487
2008-12-31,428.896
2009-01-30,379.616
2009-02-27,326.76
2009-03-31,347.888
2009-04-30,408.304
2009-05-29,465.588
2009-06-30,455.892
2009-07-31,480.69
2009-08-31,517.643
2009-09-30,550.694
2009-10-30,531.899
2009-11-30,533.628
2009-12-31,527.003
2010-01-29,502.252
2010-02-26,470.658
2010-03-31,501.315
2010-04-30,489.479
2010-05-31,410.539
2010-06-30,391.931
2010-07-30,430.037
2010-08-31,400.018
2010-09-30,450.686
2010-10-29,483.694
2010-11-30,396.097
2010-12-31,440.028
2011-01-31,469.146
2011-02-28,478.506
2011-03-31,490.993
2011-04-29,525.042
2011-05-31,488.365
2011-06-30,461.493
2011-07-29,418.569
2011-08-31,386.03
2011-09-30,337.514
2011-10-31,347.021
2011-11-30,294.626
2011-12-30,278.581
2012-01-31,303.587
2012-02-29,332.604
2012-03-30,312.784
2012-04-30,289.233
2012-05-31,237.226
2012-06-29,260.336
2012-07-31,238.83
2012-08-31,266.407
2012-09-28,279.312
2012-10-31,284.268
2012-11-30,282.847
2012-12-31,308.449
2013-01-31,358.007
2013-02-28,326.729
2013-03-29,319.446
2013-04-30,360.179
2013-05-31,373.325
2013-06-28,340.46
2013-07-31,371.076
2013-08-30,375.012
2013-09-30,403.631
2013-10-31,471.391
2013-11-29,475.135
2013-12-31,492.239
2014-01-31,484.463
2014-02-28,558.094
2014-03-31,614.114
2014-04-30,609.222
2014-05-30,585.81
2014-06-30,561.955
2014-07-31,526.748
2014-08-29,512.983
2014-09-30,471.665
2014-10-31,447.278
2014-11-28,448.823
2014-12-31,425.253
2015-01-30,445.086
2015-02-27,492.054
2015-03-31,507.672
2015-04-30,519.012
2015-05-29,522.035
2015-06-30,514.083
2015-07-31,552.296
2015-08-31,533.589
2015-09-30,510.813
2015-10-30,530.085
2015-11-30,521.354
2015-12-31,528.546
2016-01-29,458.648
2016-02-29,434.13
2016-03-31,462.647
2016-04-29,490.059
2016-05-31,466.719
2016-06-30,387.793
2016-07-29,423.032
2016-08-31,405.265
2016-09-30,396.538
2016-10-31,420.94
2016-11-30,373.685
2016-12-30,419.595
2017-01-31,446.126
2017-02-28,434.828
2017-03-31,486.99
2017-04-28,512.986
2017-05-31,534.514
2017-06-30,544.69
2017-07-31,594.486
2017-08-31,592.739
2017-09-29,622.262
2017-10-31,604.953
2017-11-30,616.477
2017-12-29,606.789
2018-01-31,664.172
2018-02-28,617.508
2018-03-30,613.31
2018-04-30,635.49
2018-05-31,544.132
2018-06-29,555.374
2018-07-31,589.533
2018-08-31,537.257
2018-09-28,550.881
2018-10-31,477.939
2018-11-30,478.279
2018-12-31,472.102
2019-01-31,499.107
2019-02-28,527.137
2019-03-29,527.427
2019-04-30,545.485
2019-05-31,517.097
2019-06-28,556.257
2019-07-31,551.178
2019-08-30,544.602
2019-09-30,565.213
2019-10-31,596.151
2019-11-29,620.66
2019-12-31,616.488
2020-01-31,601.145
2020-02-28,572.482
2020-03-31,426.682
2020-04-30,446.879
2020-05-29,468.7
2020-06-30,496.514
2020-07-31,522.345
2020-08-31,541.221
2020-09-30,520.337
2020-10-30,471.629
2020-11-30,584.001
2020-12-31,595.288
2021-01-29,576.052
2021-02-26,627.141
2021-03-31,658.58
2021-04-30,682.407
2021-05-31,753.462
2021-06-30,721.729
2021-07-30,730.437
2021-08-31,751.393
2021-09-30,731.936
2021-10-29,738.615
2021-11-30,680.03
2021-12-31,719.459
2022-01-31,694.432
2022-02-28,674.706
2022-03-31,662.586
2022-04-29,652.532
2022-05-31,689.96
2022-06-30,572.74
2022-07-29,557.634
2022-08-31,516.978
2022-09-30,476.011
2022-10-31,540.177
2022-11-30,603.869
2022-12-30,615.02
2023-01-31,717.599
2023-02-28,732.243
2023-03-31,713.193
2023-04-28,745.615
2023-05-31,702.555
2023-06-30,761.297
2023-07-31,819.361
2023-08-31,804.127
2023-09-29,766.412
2023-10-31,761.326
2023-11-30,841.137
2023-12-29,868.84
2024-01-31,905.268
2024-02-29,932.424
2024-03-29,998.62
2024-04-30,1019.951
2024-05-31,1075.507
2024-06-28,1015.853
2024-07-31,1091.598
2024-08-30,1115.462
2024-09-30,1136.579
2024-10-31,1105.2
2024-11-29,1119.802
2024-12-31,1127.696
2025-01-31,1158.55
2025-02-28,1239.231
2025-03-31,1296.935
2025-04-30,1389.427
2025-05-30,1508.465
2025-06-30,1558.996
2025-07-31,1549.145
2025-08-29,1640.26
2025-09-30,1657.207
2025-10-31,1704.902
2025-11-28,1770.773
2025-12-31,1801.355
