Date,ITALY SMALL VALUE Small Cap
2003-05-30,315.982
2003-06-30,315.347
2003-07-31,316.374
2003-08-29,322.052
2003-09-30,345.314
2003-10-31,362.865
2003-11-28,393.9
2003-12-31,397.849
2004-01-30,402.582
2004-02-27,409.456
2004-03-31,398.04
2004-04-30,405.285
2004-05-31,414.586
2004-06-30,431.614
2004-07-30,420.597
2004-08-31,422.18
2004-09-30,454.49
2004-10-29,476.302
2004-11-30,509.064
2004-12-31,554.478
2005-01-31,564.744
2005-02-28,576.84
2005-03-31,566.744
2005-04-29,560.817
2005-05-31,566.916
2005-06-30,568.368
2005-07-29,588.33
2005-08-31,601.918
2005-09-30,610.34
2005-10-31,560.351
2005-11-30,578.972
2005-12-30,595.815
2006-01-31,651.336
2006-02-28,684.148
2006-03-31,702.383
2006-04-28,735.815
2006-05-31,706.701
2006-06-30,717.393
2006-07-31,730.659
2006-08-31,754.002
2006-09-29,761.048
2006-10-31,800.777
2006-11-30,837.437
2006-12-29,861.555
2007-01-31,880.07
2007-02-28,891.827
2007-03-30,930.993
2007-04-30,1008.521
2007-05-31,1000.0
2007-06-29,970.275
2007-07-31,941.611
2007-08-31,906.823
2007-09-28,905.333
2007-10-31,946.041
2007-11-30,859.864
2007-12-31,840.816
2008-01-31,741.87
2008-02-29,771.221
2008-03-31,774.734
2008-04-30,770.537
2008-05-30,787.925
2008-06-30,697.217
2008-07-31,667.446
2008-08-29,664.981
2008-09-30,537.932
2008-10-31,417.468
2008-11-28,383.202
2008-12-31,424.152
2009-01-30,375.418
2009-02-27,323.146
2009-03-31,344.04
2009-04-30,402.571
2009-05-29,457.93
2009-06-30,447.596
2009-07-31,471.919
2009-08-31,508.199
2009-09-30,540.647
2009-10-30,522.194
2009-11-30,523.797
2009-12-31,517.251
2010-01-29,492.959
2010-02-26,461.949
2010-03-31,492.039
2010-04-30,479.77
2010-05-31,400.805
2010-06-30,382.18
2010-07-30,419.339
2010-08-31,390.067
2010-09-30,439.474
2010-10-29,471.661
2010-11-30,386.13
2010-12-31,428.956
2011-01-31,457.34
2011-02-28,466.465
2011-03-31,478.638
2011-04-29,511.243
2011-05-31,473.286
2011-06-30,446.97
2011-07-29,405.398
2011-08-31,373.883
2011-09-30,326.893
2011-10-31,336.05
2011-11-30,285.106
2011-12-30,269.487
2012-01-31,293.677
2012-02-29,321.747
2012-03-30,302.574
2012-04-30,279.528
2012-05-31,228.35
2012-06-29,250.426
2012-07-31,229.718
2012-08-31,256.19
2012-09-28,268.6
2012-10-31,273.362
2012-11-30,271.921
2012-12-31,296.494
2013-01-31,344.131
2013-02-28,314.065
2013-03-29,307.064
2013-04-30,346.074
2013-05-31,357.746
2013-06-28,326.019
2013-07-31,355.251
2013-08-30,359.019
2013-09-30,386.388
2013-10-31,451.254
2013-11-29,454.697
2013-12-31,471.02
2014-01-31,463.579
2014-02-28,534.036
2014-03-31,587.642
2014-04-30,582.826
2014-05-30,558.909
2014-06-30,535.669
2014-07-31,502.078
2014-08-29,488.957
2014-09-30,449.574
2014-10-31,426.329
2014-11-28,427.608
2014-12-31,405.126
2015-01-30,423.827
2015-02-27,468.551
2015-03-31,483.423
2015-04-30,494.008
2015-05-29,495.35
2015-06-30,486.984
2015-07-31,523.158
2015-08-31,505.437
2015-09-30,483.863
2015-10-30,502.118
2015-11-30,493.556
2015-12-31,500.364
2016-01-29,434.193
2016-02-29,410.982
2016-03-31,437.939
2016-04-29,463.74
2016-05-31,439.083
2016-06-30,364.25
2016-07-29,397.345
2016-08-31,380.657
2016-09-30,372.461
2016-10-31,395.381
2016-11-30,350.764
2016-12-30,393.858
2017-01-31,418.761
2017-02-28,408.156
2017-03-31,457.119
2017-04-28,481.297
2017-05-31,498.727
2017-06-30,507.795
2017-07-31,554.214
2017-08-31,552.585
2017-09-29,580.109
2017-10-31,563.972
2017-11-30,574.546
2017-12-29,565.453
2018-01-31,618.928
2018-02-28,575.443
2018-03-30,571.398
2018-04-30,591.453
2018-05-31,503.601
2018-06-29,513.46
2018-07-31,545.035
2018-08-31,496.706
2018-09-28,509.288
2018-10-31,441.853
2018-11-30,441.927
2018-12-31,436.157
2019-01-31,461.105
2019-02-28,487.002
2019-03-29,487.269
2019-04-30,503.395
2019-05-31,473.635
2019-06-28,508.901
2019-07-31,504.248
2019-08-30,498.231
2019-09-30,517.039
2019-10-31,545.34
2019-11-29,567.62
2019-12-31,563.805
2020-01-31,549.773
2020-02-28,523.559
2020-03-31,390.219
2020-04-30,408.659
2020-05-29,426.911
2020-06-30,451.833
2020-07-31,474.986
2020-08-31,492.15
2020-09-30,473.159
2020-10-30,428.868
2020-11-30,530.999
2020-12-31,541.262
2021-01-29,523.772
2021-02-26,570.223
2021-03-31,598.803
2021-04-30,620.092
2021-05-31,681.669
2021-06-30,652.509
2021-07-30,659.68
2021-08-31,678.606
2021-09-30,660.984
2021-10-29,665.665
2021-11-30,612.666
2021-12-31,648.189
2022-01-31,625.641
2022-02-28,607.869
2022-03-31,596.95
2022-04-29,586.573
2022-05-31,616.638
2022-06-30,511.228
2022-07-29,497.5
2022-08-31,461.229
2022-09-30,424.559
2022-10-31,481.789
2022-11-30,538.294
2022-12-30,548.233
2023-01-31,639.673
2023-02-28,652.579
2023-03-31,635.603
2023-04-28,662.873
2023-05-31,620.862
2023-06-30,672.008
2023-07-31,722.93
2023-08-31,709.489
2023-09-29,675.907
2023-10-31,671.249
2023-11-30,741.278
2023-12-29,765.693
2024-01-31,797.701
2024-02-29,821.406
2024-03-29,879.721
2024-04-30,897.307
2024-05-31,938.351
2024-06-28,885.655
2024-07-31,951.18
2024-08-30,971.974
2024-09-30,990.276
2024-10-31,962.851
2024-11-29,975.324
2024-12-31,982.2
2025-01-31,1009.073
2025-02-28,1079.129
2025-03-31,1129.379
2025-04-30,1209.599
2025-05-30,1299.649
2025-06-30,1339.525
2025-07-31,1331.06
2025-08-29,1409.348
