Date,DENMARK VALUE Standard (Large+Mid Cap)
2000-03-31,1777.866
2000-04-28,1773.301
2000-05-31,2050.168
2000-06-30,2108.814
2000-07-31,2268.911
2000-08-31,2316.261
2000-09-29,2365.273
2000-10-31,2296.369
2000-11-30,2269.284
2000-12-29,2351.898
2001-01-31,2564.313
2001-02-28,2286.337
2001-03-30,2132.509
2001-04-30,2285.686
2001-05-31,2330.026
2001-06-29,2303.454
2001-07-31,2294.967
2001-08-31,2268.444
2001-09-28,2135.477
2001-10-31,2062.856
2001-11-30,2124.705
2001-12-31,2142.163
2002-01-31,2035.332
2002-02-28,2017.724
2002-03-29,2092.498
2002-04-30,2235.723
2002-05-31,2276.662
2002-06-28,2277.684
2002-07-31,2121.774
2002-08-30,2124.574
2002-09-30,1842.058
2002-10-31,1861.177
2002-11-29,2003.459
2002-12-31,1977.829
2003-01-31,1941.4
2003-02-28,1833.239
2003-03-31,1967.023
2003-04-30,2249.256
2003-05-30,2494.497
2003-06-30,2444.042
2003-07-31,2348.914
2003-08-29,2521.171
2003-09-30,2602.216
2003-10-31,2802.564
2003-11-28,2854.868
2003-12-31,3073.994
2004-01-30,3221.049
2004-02-27,3274.076
2004-03-31,3169.536
2004-04-30,3073.231
2004-05-31,3115.875
2004-06-30,3237.38
2004-07-30,3190.408
2004-08-31,3264.276
2004-09-30,3487.059
2004-10-29,3610.877
2004-11-30,3926.49
2004-12-31,4056.299
2005-01-31,3936.108
2005-02-28,4306.137
2005-03-31,4281.47
2005-04-29,4221.978
2005-05-31,4343.69
2005-06-30,4412.004
2005-07-29,4583.249
2005-08-31,4843.307
2005-09-30,4965.161
2005-10-31,4890.182
2005-11-30,4952.936
2005-12-30,5235.688
2006-01-31,5224.909
2006-02-28,5193.085
2006-03-31,5502.394
2006-04-28,5814.829
2006-05-31,5591.276
2006-06-30,5410.596
2006-07-31,5389.392
2006-08-31,5617.184
2006-09-29,5774.139
2006-10-31,6106.292
2006-11-30,6501.052
2006-12-29,6672.429
2007-01-31,6883.24
2007-02-28,6905.226
2007-03-30,7147.678
2007-04-30,7460.965
2007-05-31,7420.863
2007-06-29,7056.563
2007-07-31,7481.811
2007-08-31,7295.03
2007-09-28,7442.568
2007-10-31,7747.257
2007-11-30,7091.731
2007-12-31,6886.054
2008-01-31,6211.822
2008-02-29,6739.89
2008-03-31,6902.667
2008-04-30,6537.274
2008-05-30,6558.373
2008-06-30,5548.766
2008-07-31,5586.337
2008-08-29,5503.723
2008-09-30,4615.041
2008-10-31,3176.012
2008-11-28,2821.209
2008-12-31,2582.936
2009-01-30,2630.484
2009-02-27,2101.244
2009-03-31,2465.881
2009-04-30,3042.429
2009-05-29,4168.788
2009-06-30,4166.092
2009-07-31,4724.014
2009-08-31,5508.626
2009-09-30,5488.472
2009-10-30,5081.726
2009-11-30,4890.001
2009-12-31,4969.651
2010-01-29,5129.246
2010-02-26,5171.243
2010-03-31,5583.273
2010-04-30,5476.449
2010-05-31,5049.843
2010-06-30,5078.377
2010-07-30,5861.022
2010-08-31,6191.092
2010-09-30,6845.105
2010-10-29,7094.236
2010-11-30,6146.244
2010-12-31,6853.639
2011-01-31,7374.79
2011-02-28,7501.449
2011-03-31,7213.266
2011-04-29,7914.288
2011-05-31,7485.796
2011-06-30,6705.059
2011-07-29,5984.305
2011-08-31,5460.616
2011-09-30,4608.817
2011-10-31,5332.363
2011-11-30,5306.154
2011-12-30,5128.373
2012-01-31,5726.196
2012-02-29,6285.586
2012-03-30,5984.36
2012-04-30,6218.809
2012-05-31,4931.771
2012-06-29,5262.315
2012-07-31,5473.877
2012-08-31,5264.271
2012-09-28,5757.592
2012-10-31,5572.49
2012-11-30,5662.137
2012-12-31,5939.14
2013-01-31,6334.183
2013-02-28,6355.33
2013-03-29,6353.345
2013-04-30,6155.672
2013-05-31,6116.094
2013-06-28,6148.302
2013-07-31,6704.99
2013-08-30,7022.373
2013-09-30,7505.077
2013-10-31,7932.58
2013-11-29,8232.857
2013-12-31,8855.621
2014-01-31,8926.809
2014-02-28,9676.056
2014-03-31,9469.876
2014-04-30,9580.646
2014-05-30,10301.812
2014-06-30,10217.492
2014-07-31,9792.36
2014-08-29,9871.241
2014-09-30,9298.516
2014-10-31,9214.726
2014-11-28,8783.618
2014-12-31,8380.851
2015-01-30,8377.572
2015-02-27,9283.56
2015-03-31,9211.871
2015-04-30,9019.612
2015-05-29,8735.055
2015-06-30,8472.077
2015-07-31,8418.27
2015-08-31,8076.062
2015-09-30,7463.454
2015-10-30,7184.002
2015-11-30,7290.618
2015-12-31,6742.134
2016-01-29,6383.854
2016-02-29,6496.228
2016-03-31,6855.296
2016-04-29,7295.6
2016-05-31,6955.873
2016-06-30,6610.694
2016-07-29,6918.29
2016-08-31,7359.975
2016-09-30,7374.594
2016-10-31,7549.103
2016-11-30,6937.348
2016-12-30,7428.025
2017-01-31,7910.029
2017-02-28,7863.974
2017-03-31,8256.898
2017-04-28,8675.259
2017-05-31,9284.8
2017-06-30,9494.909
2017-07-31,10033.369
2017-08-31,9841.709
2017-09-29,10121.266
2017-10-31,9840.801
2017-11-30,9793.408
2017-12-29,10050.177
2018-01-31,10485.312
2018-02-28,10539.583
2018-03-30,10205.084
2018-04-30,9853.152
2018-05-31,9310.859
2018-06-29,8876.454
2018-07-31,8595.488
2018-08-31,8763.744
2018-09-28,8208.262
2018-10-31,6663.819
2018-11-30,6934.444
2018-12-31,6630.685
2019-01-31,6716.308
2019-02-28,6990.326
2019-03-29,6768.796
2019-04-30,7270.013
2019-05-31,6682.115
2019-06-28,6717.248
2019-07-31,6429.146
2019-08-30,6010.597
2019-09-30,6234.931
2019-10-31,6761.912
2019-11-29,6491.061
2019-12-31,7194.235
2020-01-31,6869.271
2020-02-28,5892.979
2020-03-31,4695.445
2020-04-30,5055.808
2020-05-29,5226.894
2020-06-30,5458.762
2020-07-31,6615.219
2020-08-31,6641.507
2020-09-30,6206.903
2020-10-30,6602.599
2020-11-30,7945.495
2020-12-31,8395.075
2021-01-29,8077.998
2021-02-26,8620.385
2021-03-31,8802.165
2021-04-30,9378.216
2021-05-31,9722.587
2021-06-30,9585.082
2021-07-30,9661.074
2021-08-31,9590.126
2021-09-30,8851.453
2021-10-29,9147.929
2021-11-30,8755.501
2021-12-31,9436.271
2022-01-31,9041.409
2022-02-28,8779.523
2022-03-31,8707.155
2022-04-29,8366.072
2022-05-31,8366.061
2022-06-30,7399.31
2022-07-29,7982.938
2022-08-31,7331.247
2022-09-30,6185.612
2022-10-31,6887.191
2022-11-30,7236.936
2022-12-30,7666.608
2023-01-31,7906.023
2023-02-28,8460.69
2023-03-31,8302.679
2023-04-28,8465.979
2023-05-31,7951.489
2023-06-30,8839.029
2023-07-31,8999.058
2023-08-31,7962.195
2023-09-29,7671.114
2023-10-31,7278.311
2023-11-30,7646.151
2023-12-29,8224.551
2024-01-31,8352.839
2024-02-29,8214.462
2024-03-29,8327.961
2024-04-30,8402.845
2024-05-31,9247.184
2024-06-28,8821.747
2024-07-31,9146.696
2024-08-30,8924.689
2024-09-30,9450.285
2024-10-31,8865.104
2024-11-29,8834.234
2024-12-31,8548.59
2025-01-31,8589.222
2025-02-28,9587.811
2025-03-31,9938.129
2025-04-30,10264.037
2025-05-30,11106.413
2025-06-30,11536.04
2025-07-31,11599.852
2025-08-29,11429.268
