Date,WORLD SMALL GROWTH Small Cap
2019-05-31,2023.696
2019-06-28,2155.289
2019-07-31,2181.262
2019-08-30,2115.511
2019-09-30,2121.975
2019-10-31,2175.655
2019-11-29,2271.623
2019-12-31,2340.393
2020-01-31,2301.935
2020-02-28,2113.947
2020-03-31,1747.454
2020-04-30,2002.677
2020-05-29,2193.963
2020-06-30,2258.985
2020-07-31,2387.526
2020-08-31,2516.291
2020-09-30,2488.061
2020-10-30,2472.54
2020-11-30,2801.785
2020-12-31,3018.183
2021-01-29,3097.306
2021-02-26,3194.077
2021-03-31,3191.281
2021-04-30,3322.178
2021-05-31,3298.52
2021-06-30,3358.588
2021-07-30,3342.022
2021-08-31,3433.397
2021-09-30,3306.974
2021-10-29,3435.137
2021-11-30,3252.699
2021-12-31,3328.558
2022-01-31,2949.052
2022-02-28,2939.563
2022-03-31,2959.221
2022-04-29,2677.674
2022-05-31,2623.993
2022-06-30,2369.493
2022-07-29,2616.671
2022-08-31,2526.688
2022-09-30,2269.663
2022-10-31,2426.041
2022-11-30,2564.252
2022-12-30,2470.156
2023-01-31,2709.371
2023-02-28,2652.865
2023-03-31,2638.873
2023-04-28,2639.743
2023-05-31,2591.961
2023-06-30,2751.295
2023-07-31,2861.31
2023-08-31,2754.554
2023-09-29,2587.696
2023-10-31,2407.619
2023-11-30,2651.889
2023-12-29,2901.674
2024-01-31,2818.678
2024-02-29,2971.718
2024-03-29,3056.161
2024-04-30,2882.365
2024-05-31,3026.369
2024-06-28,2988.743
2024-07-31,3148.088
2024-08-30,3166.547
2024-09-30,3228.622
2024-10-31,3143.514
2024-11-29,3368.755
2024-12-31,3165.215
2025-01-31,3284.873
2025-02-28,3132.217
2025-03-31,2981.85
2025-04-30,3046.172
2025-05-30,3249.216
2025-06-30,3419.826
2025-07-31,3468.317
2025-08-29,3599.529
2025-09-30,3705.198
2025-10-31,3750.721
2025-11-28,3763.163
