Date,SWITZERLAND LARGE GROWTH Large Cap
2002-07-17,472.676
2002-07-18,468.682
2002-07-19,445.954
2002-07-22,426.037
2002-07-23,416.149
2002-07-24,424.548
2002-07-25,452.124
2002-07-26,457.152
2002-07-29,468.43
2002-07-30,469.507
2002-07-31,467.054
2002-08-01,463.637
2002-08-02,462.663
2002-08-05,447.534
2002-08-06,460.223
2002-08-07,457.55
2002-08-08,473.556
2002-08-09,480.432
2002-08-12,474.864
2002-08-13,480.628
2002-08-14,484.074
2002-08-15,491.91
2002-08-16,488.434
2002-08-19,493.341
2002-08-20,475.268
2002-08-21,486.251
2002-08-22,479.215
2002-08-23,478.684
2002-08-26,472.856
2002-08-27,481.622
2002-08-28,463.332
2002-08-29,453.122
2002-08-30,461.437
2002-09-02,451.255
2002-09-03,443.23
2002-09-04,448.168
2002-09-05,449.352
2002-09-06,459.33
2002-09-09,451.491
2002-09-10,454.422
2002-09-11,460.929
2002-09-12,448.945
2002-09-13,441.774
2002-09-16,436.069
2002-09-17,429.037
2002-09-18,430.876
2002-09-19,427.52
2002-09-20,430.067
2002-09-23,416.149
2002-09-24,414.092
2002-09-25,419.331
2002-09-26,440.058
2002-09-27,438.997
2002-09-30,438.864
2002-10-01,431.53
2002-10-02,443.508
2002-10-03,442.709
2002-10-04,434.99
2002-10-07,428.349
2002-10-08,418.254
2002-10-09,413.769
2002-10-10,420.074
2002-10-11,437.875
2002-10-14,435.156
2002-10-15,450.621
2002-10-16,443.539
2002-10-17,441.314
2002-10-18,437.44
2002-10-21,432.825
2002-10-22,433.865
2002-10-23,425.217
2002-10-24,433.308
2002-10-25,439.099
2002-10-28,435.304
2002-10-29,426.118
2002-10-30,433.763
2002-10-31,441.85
2002-11-01,438.389
2002-11-04,445.935
2002-11-05,449.518
2002-11-06,448.028
2002-11-07,443.055
2002-11-08,440.759
2002-11-11,437.713
2002-11-12,443.284
2002-11-13,439.74
2002-11-14,446.054
2002-11-15,454.96
2002-11-18,454.844
2002-11-19,452.757
2002-11-20,451.066
2002-11-21,454.715
2002-11-22,451.936
2002-11-25,447.402
2002-11-26,445.948
2002-11-27,449.45
2002-11-28,446.495
2002-11-29,442.111
2002-12-02,444.93
2002-12-03,435.267
2002-12-04,437.976
2002-12-05,432.964
2002-12-06,434.965
2002-12-09,428.921
2002-12-10,433.287
2002-12-11,431.637
2002-12-12,431.518
2002-12-13,433.009
2002-12-16,439.732
2002-12-17,442.802
2002-12-18,434.35
2002-12-19,434.35
2002-12-20,434.117
2002-12-23,431.966
2002-12-24,434.987
2002-12-25,434.987
2002-12-26,435.683
2002-12-27,424.701
2002-12-30,431.28
2002-12-31,434.368
2003-01-01,434.368
2003-01-02,428.633
2003-01-03,454.516
2003-01-06,458.184
2003-01-07,453.064
2003-01-08,450.802
2003-01-09,451.893
2003-01-10,451.89
2003-01-13,455.45
2003-01-14,463.442
2003-01-15,453.474
2003-01-16,449.987
2003-01-17,447.891
2003-01-20,440.496
2003-01-21,439.122
2003-01-22,428.86
2003-01-23,431.624
2003-01-24,428.43
2003-01-27,413.054
2003-01-28,412.2
2003-01-29,417.477
2003-01-30,419.944
2003-01-31,421.064
2003-02-03,425.425
2003-02-04,419.679
2003-02-05,421.561
2003-02-06,409.417
2003-02-07,406.928
2003-02-10,399.278
2003-02-11,405.779
2003-02-12,395.47
2003-02-13,399.424
2003-02-14,408.696
2003-02-17,414.505
2003-02-18,407.755
2003-02-19,398.596
2003-02-20,403.168
2003-02-21,405.767
2003-02-24,400.492
2003-02-25,394.745
2003-02-26,394.485
2003-02-27,394.159
2003-02-28,401.596
2003-03-03,408.698
2003-03-04,397.988
2003-03-05,393.327
2003-03-06,391.082
2003-03-07,386.822
2003-03-10,374.682
2003-03-11,371.779
2003-03-12,367.782
2003-03-13,373.21
2003-03-14,389.223
2003-03-17,396.356
2003-03-18,396.334
2003-03-19,404.289
2003-03-20,409.089
2003-03-21,420.517
2003-03-24,404.206
2003-03-25,409.485
2003-03-26,405.594
2003-03-27,401.165
2003-03-28,403.87
2003-03-31,398.181
2003-04-01,402.363
2003-04-02,408.398
2003-04-03,411.165
2003-04-04,415.265
2003-04-07,420.32
2003-04-08,421.114
2003-04-09,423.777
2003-04-10,416.832
2003-04-11,419.763
2003-04-14,425.259
2003-04-15,433.915
2003-04-16,431.665
2003-04-17,431.352
2003-04-18,431.352
2003-04-21,427.147
2003-04-22,432.822
2003-04-23,435.788
2003-04-24,434.288
2003-04-25,431.352
2003-04-28,437.161
2003-04-29,432.84
2003-04-30,439.321
2003-05-01,444.482
2003-05-02,439.83
2003-05-05,447.035
2003-05-06,454.681
2003-05-07,455.918
2003-05-08,449.771
2003-05-09,450.757
2003-05-12,447.525
2003-05-13,451.726
2003-05-14,452.665
2003-05-15,452.927
2003-05-16,458.524
2003-05-19,454.025
2003-05-20,456.218
2003-05-21,453.736
2003-05-22,462.802
2003-05-23,464.932
2003-05-26,462.323
2003-05-27,467.05
2003-05-28,470.853
2003-05-29,473.678
2003-05-30,464.605
2003-06-02,477.015
2003-06-03,470.297
2003-06-04,470.575
2003-06-05,470.857
2003-06-06,470.283
2003-06-09,475.02
2003-06-10,472.409
2003-06-11,480.643
2003-06-12,481.298
2003-06-13,475.223
2003-06-16,490.181
2003-06-17,493.451
2003-06-18,491.672
2003-06-19,483.107
2003-06-20,484.411
2003-06-23,473.086
2003-06-24,474.126
2003-06-25,474.278
2003-06-26,470.694
2003-06-27,467.296
2003-06-30,463.84
2003-07-01,457.395
2003-07-02,462.883
2003-07-03,468.067
2003-07-04,466.855
2003-07-07,469.043
2003-07-08,463.822
2003-07-09,463.594
2003-07-10,463.127
2003-07-11,465.935
2003-07-14,471.519
2003-07-15,467.163
2003-07-16,465.252
2003-07-17,462.812
2003-07-18,463.853
2003-07-21,465.619
2003-07-22,464.693
2003-07-23,473.089
2003-07-24,479.853
2003-07-25,480.174
2003-07-28,482.432
2003-07-29,482.035
2003-07-30,480.922
2003-07-31,478.441
2003-08-01,476.79
2003-08-04,477.185
2003-08-05,482.585
2003-08-06,479.288
2003-08-07,478.68
2003-08-08,476.703
2003-08-11,476.072
2003-08-12,477.413
2003-08-13,475.407
2003-08-14,478.505
2003-08-15,484.715
2003-08-18,479.765
2003-08-19,476.888
2003-08-20,479.005
2003-08-21,477.55
2003-08-22,476.3
2003-08-25,471.993
2003-08-26,471.469
2003-08-27,473.118
2003-08-28,474.115
2003-08-29,470.219
2003-09-01,478.62
2003-09-02,471.161
2003-09-03,478.748
2003-09-04,481.624
2003-09-05,489.737
2003-09-08,495.015
2003-09-09,492.441
2003-09-10,493.574
2003-09-11,494.584
2003-09-12,496.978
2003-09-15,499.668
2003-09-16,498.861
2003-09-17,504.102
2003-09-18,504.612
2003-09-19,507.545
2003-09-22,500.847
2003-09-23,497.56
2003-09-24,498.352
2003-09-25,497.31
2003-09-26,493.93
2003-09-29,494.229
2003-09-30,494.547
2003-10-01,498.213
2003-10-02,498.333
2003-10-03,504.799
2003-10-06,501.461
2003-10-07,502.955
2003-10-08,505.883
2003-10-09,509.379
2003-10-10,511.234
2003-10-13,511.915
2003-10-14,511.668
2003-10-15,508.581
2003-10-16,512.588
2003-10-17,506.493
2003-10-20,510.24
2003-10-21,510.161
2003-10-22,505.885
2003-10-23,501.489
2003-10-24,504.003
2003-10-27,504.409
2003-10-28,500.445
2003-10-29,500.116
2003-10-30,503.995
2003-10-31,499.805
2003-11-03,501.551
2003-11-04,493.758
2003-11-05,487.378
2003-11-06,488.624
2003-11-07,495.066
2003-11-10,489.747
2003-11-11,494.392
2003-11-12,500.199
2003-11-13,507.765
2003-11-14,517.818
2003-11-17,513.38
2003-11-18,515.322
2003-11-19,513.336
2003-11-20,515.438
2003-11-21,517.337
2003-11-24,517.376
2003-11-25,517.491
2003-11-26,523.645
2003-11-27,524.876
2003-11-28,528.183
2003-12-01,530.571
2003-12-02,534.627
2003-12-03,538.919
2003-12-04,535.182
2003-12-05,534.559
2003-12-08,540.177
2003-12-09,544.045
2003-12-10,541.991
2003-12-11,541.648
2003-12-12,545.98
2003-12-15,548.715
2003-12-16,547.331
2003-12-17,548.349
2003-12-18,555.29
2003-12-19,552.971
2003-12-22,551.995
2003-12-23,553.05
2003-12-24,556.683
2003-12-25,556.683
2003-12-26,555.615
