Date,HONG KONG IMI GROWTH IMI (Large+Mid+Small Cap)
2001-12-31,437.717
2002-01-01,437.887
2002-01-02,439.024
2002-01-03,441.551
2002-01-04,451.196
2002-01-07,464.132
2002-01-08,461.568
2002-01-09,456.925
2002-01-10,454.505
2002-01-11,447.349
2002-01-14,447.735
2002-01-15,441.004
2002-01-16,437.239
2002-01-17,439.959
2002-01-18,436.113
2002-01-21,440.911
2002-01-22,433.79
2002-01-23,432.791
2002-01-24,431.574
2002-01-25,434.028
2002-01-28,434.209
2002-01-29,443.069
2002-01-30,433.107
2002-01-31,431.147
2002-02-01,426.319
2002-02-04,426.566
2002-02-05,422.0
2002-02-06,422.463
2002-02-07,414.723
2002-02-08,415.536
2002-02-11,426.469
2002-02-12,426.463
2002-02-13,426.469
2002-02-14,426.469
2002-02-15,429.878
2002-02-18,434.721
2002-02-19,427.622
2002-02-20,428.443
2002-02-21,429.31
2002-02-22,423.119
2002-02-25,414.456
2002-02-26,410.727
2002-02-27,413.154
2002-02-28,405.985
2002-03-01,406.634
2002-03-04,417.131
2002-03-05,428.172
2002-03-06,428.03
2002-03-07,435.915
2002-03-08,437.37
2002-03-11,441.58
2002-03-12,439.803
2002-03-13,436.467
2002-03-14,438.589
2002-03-15,435.916
2002-03-18,438.124
2002-03-19,437.177
2002-03-20,432.443
2002-03-21,425.197
2002-03-22,427.819
2002-03-25,427.628
2002-03-26,426.967
2002-03-27,436.391
2002-03-28,435.948
2002-03-29,435.948
2002-04-01,436.111
2002-04-02,428.726
2002-04-03,426.086
2002-04-04,427.881
2002-04-05,427.881
2002-04-08,424.225
2002-04-09,424.4
2002-04-10,420.953
2002-04-11,426.23
2002-04-12,426.602
2002-04-15,428.139
2002-04-16,429.462
2002-04-17,442.569
2002-04-18,449.156
2002-04-19,451.68
2002-04-22,450.41
2002-04-23,457.318
2002-04-24,460.547
2002-04-25,456.522
2002-04-26,455.405
2002-04-29,454.121
2002-04-30,460.96
2002-05-01,461.2
2002-05-02,472.48
2002-05-03,472.441
2002-05-06,470.862
2002-05-07,474.284
2002-05-08,469.975
2002-05-09,467.377
2002-05-10,467.011
2002-05-13,469.951
2002-05-14,467.429
2002-05-15,475.083
2002-05-16,475.397
2002-05-17,478.967
2002-05-20,478.958
2002-05-21,471.523
2002-05-22,472.332
2002-05-23,464.355
2002-05-24,461.987
2002-05-27,460.262
2002-05-28,459.392
2002-05-29,453.872
2002-05-30,450.268
2002-05-31,448.261
2002-06-03,448.613
2002-06-04,448.009
2002-06-05,451.894
2002-06-06,450.623
2002-06-07,448.814
2002-06-10,451.749
2002-06-11,447.448
2002-06-12,443.963
2002-06-13,443.797
2002-06-14,437.399
2002-06-17,430.969
2002-06-18,430.584
2002-06-19,422.12
2002-06-20,427.148
2002-06-21,422.818
2002-06-24,423.983
2002-06-25,424.345
2002-06-26,413.504
2002-06-27,421.275
2002-06-28,424.926
2002-07-01,424.935
2002-07-02,421.108
2002-07-03,426.202
2002-07-04,435.063
2002-07-05,436.755
2002-07-08,433.512
2002-07-09,433.413
2002-07-10,433.697
2002-07-11,422.224
2002-07-12,425.257
2002-07-15,424.815
2002-07-16,417.003
2002-07-17,412.485
2002-07-18,415.17
2002-07-19,409.559
2002-07-22,400.612
2002-07-23,412.283
2002-07-24,400.639
2002-07-25,394.397
2002-07-26,385.793
2002-07-29,393.862
2002-07-30,402.39
2002-07-31,406.014
2002-08-01,400.899
2002-08-02,393.692
2002-08-05,385.363
2002-08-06,376.641
2002-08-07,386.943
2002-08-08,385.812
2002-08-09,385.002
2002-08-12,378.568
2002-08-13,382.967
2002-08-14,377.928
2002-08-15,385.554
2002-08-16,389.186
2002-08-19,388.353
2002-08-20,393.921
2002-08-21,396.66
2002-08-22,398.067
2002-08-23,395.495
2002-08-26,393.403
2002-08-27,389.163
2002-08-28,386.118
2002-08-29,383.008
2002-08-30,382.791
2002-09-02,377.468
2002-09-03,374.204
2002-09-04,377.66
2002-09-05,373.58
2002-09-06,372.686
2002-09-09,372.531
2002-09-10,378.514
2002-09-11,377.896
2002-09-12,381.034
2002-09-13,371.582
2002-09-16,363.858
2002-09-17,371.438
2002-09-18,364.822
2002-09-19,362.341
2002-09-20,358.099
2002-09-23,356.423
2002-09-24,354.066
2002-09-25,352.896
2002-09-26,359.326
2002-09-27,361.131
2002-09-30,352.472
2002-10-01,352.481
2002-10-02,350.432
2002-10-03,344.905
2002-10-04,347.096
2002-10-07,345.438
2002-10-08,346.982
2002-10-09,348.475
2002-10-10,341.683
2002-10-11,343.983
2002-10-14,343.987
2002-10-15,357.0
2002-10-16,361.283
2002-10-17,366.556
2002-10-18,369.487
2002-10-21,365.202
2002-10-22,365.338
2002-10-23,374.201
2002-10-24,374.583
2002-10-25,376.018
2002-10-28,379.127
2002-10-29,371.317
2002-10-30,369.258
2002-10-31,364.843
2002-11-01,362.738
2002-11-04,375.221
2002-11-05,372.496
2002-11-06,375.682
2002-11-07,379.59
2002-11-08,375.023
2002-11-11,369.517
2002-11-12,370.997
2002-11-13,371.299
2002-11-14,376.376
2002-11-15,385.093
2002-11-18,382.079
2002-11-19,385.647
2002-11-20,386.287
2002-11-21,386.796
2002-11-22,389.417
2002-11-25,391.464
2002-11-26,389.54
2002-11-27,388.923
2002-11-28,394.391
2002-11-29,391.727
2002-12-02,396.543
2002-12-03,396.191
2002-12-04,387.807
2002-12-05,387.775
2002-12-06,386.49
2002-12-09,380.278
2002-12-10,380.679
2002-12-11,378.488
2002-12-12,379.276
2002-12-13,378.852
2002-12-16,378.438
2002-12-17,377.941
2002-12-18,371.718
2002-12-19,372.006
2002-12-20,374.431
2002-12-23,374.015
2002-12-24,373.624
2002-12-25,373.624
2002-12-26,373.629
2002-12-27,369.528
2002-12-30,363.063
2002-12-31,365.664
2003-01-01,365.664
2003-01-02,366.096
2003-01-03,374.008
2003-01-06,375.568
2003-01-07,373.995
2003-01-08,375.476
2003-01-09,375.81
2003-01-10,378.736
2003-01-13,382.802
2003-01-14,382.737
2003-01-15,386.572
2003-01-16,382.475
2003-01-17,377.085
2003-01-20,374.423
2003-01-21,374.958
2003-01-22,374.599
2003-01-23,375.24
2003-01-24,371.658
2003-01-27,366.291
2003-01-28,368.913
2003-01-29,365.275
2003-01-30,367.274
2003-01-31,367.278
2003-02-03,367.274
2003-02-04,366.105
2003-02-05,363.553
2003-02-06,362.022
2003-02-07,363.742
2003-02-10,365.86
2003-02-11,364.698
2003-02-12,370.109
2003-02-13,364.374
2003-02-14,363.707
2003-02-17,370.471
2003-02-18,370.26
2003-02-19,371.569
2003-02-20,369.454
2003-02-21,364.852
2003-02-24,364.533
2003-02-25,361.713
2003-02-26,361.133
2003-02-27,360.933
2003-02-28,361.718
2003-03-03,366.016
2003-03-04,363.549
2003-03-05,362.425
2003-03-06,357.344
2003-03-07,354.143
2003-03-10,350.867
2003-03-11,351.303
2003-03-12,351.81
2003-03-13,349.58
2003-03-14,354.969
2003-03-17,350.693
2003-03-18,355.918
2003-03-19,364.033
2003-03-20,365.242
2003-03-21,364.295
2003-03-24,360.863
2003-03-25,360.184
2003-03-26,361.006
2003-03-27,354.859
2003-03-28,354.802
2003-03-31,344.549
2003-04-01,343.602
2003-04-02,347.442
2003-04-03,345.024
2003-04-04,352.232
2003-04-07,356.085
2003-04-08,350.433
2003-04-09,342.205
2003-04-10,340.776
2003-04-11,342.238
2003-04-14,336.192
2003-04-15,339.376
2003-04-16,341.048
2003-04-17,337.36
2003-04-18,337.36
2003-04-21,337.356
2003-04-22,336.195
2003-04-23,333.407
2003-04-24,332.225
2003-04-25,332.401
2003-04-28,335.193
2003-04-29,348.883
2003-04-30,345.204
2003-05-01,345.208
2003-05-02,350.785
2003-05-05,355.371
2003-05-06,355.077
2003-05-07,353.575
2003-05-08,353.575
2003-05-09,357.085
2003-05-12,361.718
2003-05-13,362.858
2003-05-14,361.655
2003-05-15,361.964
2003-05-16,361.612
2003-05-19,361.375
2003-05-20,360.403
2003-05-21,360.899
2003-05-22,363.142
2003-05-23,369.405
2003-05-26,376.365
2003-05-27,373.287
2003-05-28,375.342
2003-05-29,374.438
2003-05-30,374.684
2003-06-02,379.987
2003-06-03,379.08
2003-06-04,379.071
2003-06-05,376.942
2003-06-06,379.288
2003-06-09,382.35
2003-06-10,385.586
2003-06-11,385.873
2003-06-12,386.355
2003-06-13,388.918
2003-06-16,386.653
2003-06-17,390.691
2003-06-18,389.135
2003-06-19,389.819
2003-06-20,390.226
2003-06-23,383.948
2003-06-24,379.641
2003-06-25,381.511
2003-06-26,382.305
2003-06-27,385.565
2003-06-30,384.019
2003-07-01,384.005
2003-07-02,387.22
2003-07-03,387.122
2003-07-04,386.854
2003-07-07,394.5
2003-07-08,395.238
2003-07-09,397.868
2003-07-10,395.863
2003-07-11,392.876
2003-07-14,399.483
2003-07-15,396.503
2003-07-16,397.585
2003-07-17,395.231
2003-07-18,395.957
2003-07-21,395.014
2003-07-22,393.692
2003-07-23,391.485
2003-07-24,391.668
2003-07-25,392.344
2003-07-28,396.839
2003-07-29,397.081
2003-07-30,397.211
2003-07-31,397.983
2003-08-01,399.56
2003-08-04,397.145
2003-08-05,398.26
2003-08-06,392.157
2003-08-07,392.643
2003-08-08,393.694
2003-08-11,397.633
2003-08-12,401.852
2003-08-13,406.822
2003-08-14,408.575
2003-08-15,406.989
2003-08-18,411.191
2003-08-19,412.708
2003-08-20,414.488
2003-08-21,420.552
2003-08-22,422.458
2003-08-25,421.49
2003-08-26,422.622
2003-08-27,422.828
2003-08-28,425.303
2003-08-29,430.114
2003-09-01,431.828
2003-09-02,434.163
2003-09-03,439.369
2003-09-04,440.528
2003-09-05,440.06
2003-09-08,438.652
2003-09-09,435.049
2003-09-10,429.0
2003-09-11,433.16
2003-09-12,433.154
2003-09-15,437.538
2003-09-16,438.433
2003-09-17,439.891
2003-09-18,437.925
2003-09-19,435.361
2003-09-22,435.05
2003-09-23,442.857
2003-09-24,453.749
2003-09-25,453.284
2003-09-26,454.625
2003-09-29,450.41
2003-09-30,454.523
2003-10-01,454.867
2003-10-02,464.692
2003-10-03,467.489
2003-10-06,472.841
2003-10-07,471.202
2003-10-08,465.533
2003-10-09,467.019
2003-10-10,468.502
2003-10-13,471.19
2003-10-14,467.73
2003-10-15,475.114
2003-10-16,477.653
2003-10-17,477.933
2003-10-20,481.711
2003-10-21,484.715
2003-10-22,481.491
2003-10-23,464.71
2003-10-24,464.897
2003-10-27,470.16
2003-10-28,478.944
2003-10-29,478.583
2003-10-30,477.054
2003-10-31,477.156
2003-11-03,480.848
2003-11-04,486.804
2003-11-05,487.571
2003-11-06,482.342
2003-11-07,485.164
2003-11-10,482.856
2003-11-11,478.611
2003-11-12,474.039
2003-11-13,481.422
2003-11-14,482.167
2003-11-17,474.986
2003-11-18,479.615
2003-11-19,475.302
2003-11-20,475.494
2003-11-21,475.169
2003-11-24,474.832
2003-11-25,479.649
2003-11-26,483.479
2003-11-27,484.199
2003-11-28,491.154
2003-12-01,499.544
2003-12-02,500.575
2003-12-03,500.068
2003-12-04,501.817
2003-12-05,500.312
2003-12-08,496.12
2003-12-09,502.892
2003-12-10,503.067
2003-12-11,510.798
2003-12-12,510.55
2003-12-15,507.112
2003-12-16,492.995
2003-12-17,487.755
2003-12-18,487.045
2003-12-19,491.853
2003-12-22,495.002
2003-12-23,494.226
2003-12-24,494.734
2003-12-25,494.734
2003-12-26,494.705
2003-12-29,493.804
2003-12-30,498.845
2003-12-31,501.913
2004-01-01,501.913
2004-01-02,509.929
2004-01-05,518.743
2004-01-06,525.995
2004-01-07,524.914
2004-01-08,521.331
2004-01-09,529.547
2004-01-12,530.804
2004-01-13,531.25
2004-01-14,531.894
2004-01-15,528.06
2004-01-16,526.302
2004-01-19,529.986
2004-01-20,542.834
2004-01-21,551.275
2004-01-22,551.318
2004-01-23,551.332
2004-01-26,559.425
2004-01-27,560.56
2004-01-28,545.888
2004-01-29,537.022
2004-01-30,539.754
2004-02-02,528.229
2004-02-03,532.941
2004-02-04,534.528
2004-02-05,531.916
2004-02-06,544.203
2004-02-09,556.781
2004-02-10,554.583
2004-02-11,551.719
2004-02-12,555.341
2004-02-13,560.466
2004-02-16,564.378
2004-02-17,564.103
2004-02-18,566.149
2004-02-19,563.313
2004-02-20,560.118
2004-02-23,555.558
2004-02-24,556.108
2004-02-25,549.201
2004-02-26,551.818
2004-02-27,560.618
2004-03-01,561.932
2004-03-02,554.43
2004-03-03,547.097
2004-03-04,548.253
2004-03-05,550.98
2004-03-08,554.201
2004-03-09,546.864
2004-03-10,541.083
2004-03-11,531.564
2004-03-12,527.822
2004-03-15,528.683
2004-03-16,529.295
2004-03-17,533.817
2004-03-18,530.845
2004-03-19,532.263
2004-03-22,524.95
2004-03-23,527.81
2004-03-24,531.304
2004-03-25,522.3
2004-03-26,523.186
2004-03-29,521.265
2004-03-30,530.54
2004-03-31,530.448
2004-04-01,533.092
2004-04-02,539.667
2004-04-05,539.573
2004-04-06,547.225
2004-04-07,547.586
2004-04-08,549.477
2004-04-09,549.477
2004-04-12,549.459
2004-04-13,555.502
2004-04-14,541.065
2004-04-15,529.453
2004-04-16,531.154
2004-04-19,531.368
2004-04-20,528.481
2004-04-21,519.328
2004-04-22,517.112
2004-04-23,528.32
2004-04-26,517.361
2004-04-27,517.718
2004-04-28,516.427
2004-04-29,507.291
2004-04-30,506.895
2004-05-03,506.616
2004-05-04,515.775
2004-05-05,509.529
2004-05-06,509.479
2004-05-07,504.196
2004-05-10,482.385
2004-05-11,486.009
2004-05-12,489.709
2004-05-13,479.888
2004-05-14,472.364
2004-05-17,450.937
2004-05-18,453.973
2004-05-19,477.722
2004-05-20,471.384
2004-05-21,485.886
2004-05-24,488.762
2004-05-25,489.427
2004-05-26,489.396
2004-05-27,500.132
2004-05-28,505.811
2004-05-31,508.293
2004-06-01,504.679
2004-06-02,506.446
2004-06-03,494.827
2004-06-04,497.388
2004-06-07,511.019
2004-06-08,512.02
2004-06-09,510.673
2004-06-10,514.003
2004-06-11,512.59
2004-06-14,500.727
2004-06-15,498.787
2004-06-16,502.64
2004-06-17,499.113
2004-06-18,490.194
2004-06-21,488.229
2004-06-22,488.211
2004-06-23,487.363
2004-06-24,497.986
2004-06-25,500.11
2004-06-28,501.508
2004-06-29,498.908
2004-06-30,507.362
2004-07-01,507.372
2004-07-02,506.607
2004-07-05,508.148
2004-07-06,511.123
2004-07-07,513.038
2004-07-08,506.524
2004-07-09,508.495
2004-07-12,509.98
2004-07-13,503.998
2004-07-14,499.274
2004-07-15,498.822
2004-07-16,503.76
2004-07-19,507.097
2004-07-20,506.585
2004-07-21,517.337
2004-07-22,514.405
2004-07-23,515.542
2004-07-26,513.729
2004-07-27,512.962
2004-07-28,513.887
2004-07-29,509.258
2004-07-30,511.822
2004-08-02,508.941
2004-08-03,510.497
2004-08-04,508.759
2004-08-05,518.367
2004-08-06,516.053
2004-08-09,514.982
2004-08-10,513.032
2004-08-11,508.317
2004-08-12,510.509
2004-08-13,507.559
2004-08-16,500.448
2004-08-17,502.07
2004-08-18,504.562
2004-08-19,513.673
2004-08-20,513.171
2004-08-23,517.089
2004-08-24,522.595
2004-08-25,532.132
2004-08-26,534.725
2004-08-27,530.867
2004-08-30,533.506
2004-08-31,535.425
2004-09-01,543.891
2004-09-02,544.84
2004-09-03,540.248
2004-09-06,547.264
2004-09-07,551.251
2004-09-08,549.035
2004-09-09,546.252
2004-09-10,545.655
2004-09-13,553.237
2004-09-14,554.28
2004-09-15,552.144
2004-09-16,558.88
2004-09-17,560.158
2004-09-20,560.272
2004-09-21,563.161
2004-09-22,561.6
2004-09-23,559.072
2004-09-24,548.002
2004-09-27,546.052
2004-09-28,544.361
2004-09-29,544.4
2004-09-30,551.404
2004-10-01,551.457
2004-10-04,563.018
2004-10-05,565.259
2004-10-06,561.595
2004-10-07,563.239
2004-10-08,559.742
2004-10-11,559.103
2004-10-12,557.272
2004-10-13,555.178
2004-10-14,550.578
2004-10-15,552.813
2004-10-18,552.362
2004-10-19,556.95
2004-10-20,550.154
2004-10-21,548.638
2004-10-22,548.536
2004-10-25,542.491
2004-10-26,543.253
2004-10-27,543.919
2004-10-28,557.078
2004-10-29,555.534
2004-11-01,556.843
2004-11-02,566.944
2004-11-03,573.874
2004-11-04,571.953
2004-11-05,578.128
2004-11-08,578.403
2004-11-09,579.082
2004-11-10,583.159
2004-11-11,579.299
2004-11-12,584.318
2004-11-15,589.729
2004-11-16,584.132
2004-11-17,588.14
2004-11-18,590.281
2004-11-19,592.269
2004-11-22,591.795
2004-11-23,599.829
2004-11-24,598.858
2004-11-25,597.277
2004-11-26,598.049
2004-11-29,601.709
2004-11-30,600.739
2004-12-01,603.279
2004-12-02,606.86
2004-12-03,606.052
2004-12-06,607.874
2004-12-07,609.133
2004-12-08,602.419
2004-12-09,599.569
2004-12-10,595.151
2004-12-13,595.567
2004-12-14,601.495
2004-12-15,603.726
2004-12-16,603.663
2004-12-17,606.743
2004-12-20,613.523
2004-12-21,609.63
2004-12-22,607.185
2004-12-23,612.438
2004-12-24,611.397
2004-12-27,611.397
2004-12-28,614.069
2004-12-29,615.287
2004-12-30,612.955
2004-12-31,615.67
2005-01-03,617.252
2005-01-04,609.78
2005-01-05,595.77
2005-01-06,594.523
2005-01-07,588.459
2005-01-10,588.286
2005-01-11,585.255
2005-01-12,588.591
2005-01-13,590.552
2005-01-14,586.709
2005-01-17,592.806
2005-01-18,594.254
2005-01-19,595.838
2005-01-20,589.532
2005-01-21,586.687
2005-01-24,582.46
2005-01-25,587.621
2005-01-26,591.818
2005-01-27,589.687
2005-01-28,591.899
2005-01-31,594.984
2005-02-01,589.183
2005-02-02,589.664
2005-02-03,590.068
2005-02-04,592.048
2005-02-07,600.163
2005-02-08,600.878
2005-02-09,600.878
2005-02-10,600.878
2005-02-11,600.858
2005-02-14,604.435
2005-02-15,604.399
2005-02-16,606.192
2005-02-17,602.428
2005-02-18,607.824
2005-02-21,610.189
2005-02-22,608.879
2005-02-23,604.84
2005-02-24,614.26
2005-02-25,619.633
2005-02-28,618.907
2005-03-01,617.636
2005-03-02,611.569
2005-03-03,612.867
2005-03-04,604.7
2005-03-07,606.836
2005-03-08,610.838
2005-03-09,615.614
2005-03-10,612.429
2005-03-11,613.066
2005-03-14,611.05
2005-03-15,605.085
2005-03-16,609.933
2005-03-17,608.588
2005-03-18,608.649
2005-03-21,609.792
2005-03-22,607.586
2005-03-23,600.662
2005-03-24,600.875
2005-03-25,600.875
2005-03-28,600.875
2005-03-29,594.659
2005-03-30,594.56
2005-03-31,598.798
2005-04-01,601.258
2005-04-04,604.166
2005-04-05,604.143
2005-04-06,605.282
2005-04-07,607.555
2005-04-08,611.116
2005-04-11,609.51
2005-04-12,609.889
2005-04-13,614.968
2005-04-14,615.042
2005-04-15,607.811
2005-04-18,596.077
2005-04-19,600.831
2005-04-20,602.492
2005-04-21,607.226
2005-04-22,611.216
2005-04-25,614.256
2005-04-26,620.516
2005-04-27,619.242
2005-04-28,620.907
2005-04-29,620.946
2005-05-02,620.866
2005-05-03,621.126
2005-05-04,623.461
2005-05-05,627.542
2005-05-06,625.953
2005-05-09,628.469
2005-05-10,626.122
2005-05-11,621.393
2005-05-12,623.741
2005-05-13,620.864
2005-05-16,620.785
2005-05-17,612.949
2005-05-18,612.582
2005-05-19,614.243
2005-05-20,614.535
2005-05-23,614.137
2005-05-24,616.959
2005-05-25,611.45
2005-05-26,610.718
2005-05-27,617.649
2005-05-30,620.082
2005-05-31,618.922
2005-06-01,619.616
2005-06-02,617.073
2005-06-03,617.882
2005-06-06,619.366
2005-06-07,618.856
2005-06-08,620.44
2005-06-09,621.513
2005-06-10,622.585
2005-06-13,622.909
2005-06-14,621.322
2005-06-15,619.791
2005-06-16,618.652
2005-06-17,623.566
2005-06-20,624.091
2005-06-21,625.782
2005-06-22,632.678
2005-06-23,635.054
2005-06-24,636.82
2005-06-27,635.783
2005-06-28,638.368
2005-06-29,640.555
2005-06-30,639.379
2005-07-01,639.448
2005-07-04,639.175
2005-07-05,637.513
2005-07-06,639.371
2005-07-07,635.732
2005-07-08,634.652
2005-07-11,642.108
2005-07-12,642.602
2005-07-13,648.089
2005-07-14,656.593
2005-07-15,658.466
2005-07-18,663.856
2005-07-19,662.169
2005-07-20,665.343
2005-07-21,664.224
2005-07-22,667.795
2005-07-25,668.78
2005-07-26,667.306
2005-07-27,669.062
2005-07-28,670.183
2005-07-29,672.723
2005-08-01,674.208
2005-08-02,677.746
2005-08-03,679.779
2005-08-04,680.728
2005-08-05,677.905
2005-08-08,677.589
2005-08-09,674.281
2005-08-10,682.012
2005-08-11,686.191
2005-08-12,685.781
2005-08-15,685.303
2005-08-16,686.246
2005-08-17,688.843
2005-08-18,676.74
2005-08-19,673.367
2005-08-22,678.586
2005-08-23,667.07
2005-08-24,663.916
2005-08-25,664.926
2005-08-26,668.298
2005-08-29,661.641
2005-08-30,665.719
2005-08-31,665.817
2005-09-01,676.582
2005-09-02,680.611
2005-09-05,680.489
2005-09-06,679.188
2005-09-07,682.139
2005-09-08,681.191
2005-09-09,680.823
2005-09-12,683.111
2005-09-13,681.034
2005-09-14,681.216
2005-09-15,679.178
2005-09-16,676.37
2005-09-19,676.292
2005-09-20,683.734
2005-09-21,682.313
2005-09-22,680.881
2005-09-23,678.412
2005-09-26,683.717
2005-09-27,681.611
2005-09-28,686.156
2005-09-29,692.366
2005-09-30,692.824
2005-10-03,694.366
2005-10-04,694.955
2005-10-05,686.558
2005-10-06,674.277
2005-10-07,675.315
2005-10-10,675.373
2005-10-11,675.264
2005-10-12,662.573
2005-10-13,663.887
2005-10-14,659.054
2005-10-17,658.432
2005-10-18,661.853
2005-10-19,649.897
2005-10-20,649.742
2005-10-21,653.117
2005-10-24,648.039
2005-10-25,648.911
2005-10-26,647.319
2005-10-27,642.177
2005-10-28,636.394
2005-10-31,645.907
2005-11-01,658.212
2005-11-02,658.295
2005-11-03,661.624
2005-11-04,659.5
2005-11-07,649.575
