Date,FRANCE SMALL VALUE Small Cap
2002-05-01,277.006
2002-05-02,275.995
2002-05-03,279.259
2002-05-06,280.144
2002-05-07,279.076
2002-05-08,278.684
2002-05-09,279.312
2002-05-10,280.792
2002-05-13,280.082
2002-05-14,278.594
2002-05-15,281.032
2002-05-16,282.219
2002-05-17,287.338
2002-05-20,287.404
2002-05-21,286.574
2002-05-22,288.523
2002-05-23,286.571
2002-05-24,287.378
2002-05-27,286.501
2002-05-28,288.622
2002-05-29,289.343
2002-05-30,290.255
2002-05-31,291.326
2002-06-03,291.639
2002-06-04,287.981
2002-06-05,287.095
2002-06-06,288.118
2002-06-07,285.052
2002-06-10,286.017
2002-06-11,285.07
2002-06-12,282.982
2002-06-13,278.588
2002-06-14,274.562
2002-06-17,276.548
2002-06-18,279.664
2002-06-19,279.786
2002-06-20,278.554
2002-06-21,278.149
2002-06-24,275.722
2002-06-25,272.414
2002-06-26,271.055
2002-06-27,274.049
2002-06-28,279.615
2002-07-01,281.374
2002-07-02,276.53
2002-07-03,271.894
2002-07-04,271.501
2002-07-05,274.301
2002-07-08,278.894
2002-07-09,281.015
2002-07-10,277.013
2002-07-11,274.101
2002-07-12,273.818
2002-07-15,274.139
2002-07-16,270.592
2002-07-17,273.561
2002-07-18,274.692
2002-07-19,274.876
2002-07-22,267.337
2002-07-23,259.406
2002-07-24,248.649
2002-07-25,255.476
2002-07-26,253.533
2002-07-29,252.638
2002-07-30,256.48
2002-07-31,254.683
2002-08-01,252.636
2002-08-02,252.11
2002-08-05,251.95
2002-08-06,244.793
2002-08-07,245.793
2002-08-08,247.004
2002-08-09,248.385
2002-08-12,248.714
2002-08-13,250.012
2002-08-14,250.437
2002-08-15,250.3
2002-08-16,250.672
2002-08-19,250.448
2002-08-20,251.888
2002-08-21,256.105
2002-08-22,256.778
2002-08-23,256.221
2002-08-26,255.518
2002-08-27,258.013
2002-08-28,255.828
2002-08-29,254.98
2002-08-30,253.413
2002-09-02,253.544
2002-09-03,252.495
2002-09-04,250.567
2002-09-05,248.457
2002-09-06,248.076
2002-09-09,246.781
2002-09-10,246.444
2002-09-11,248.836
2002-09-12,245.534
2002-09-13,244.406
2002-09-16,239.612
2002-09-17,237.838
2002-09-18,233.329
2002-09-19,232.634
2002-09-20,233.095
2002-09-23,226.738
2002-09-24,222.506
2002-09-25,221.632
2002-09-26,224.997
2002-09-27,224.323
2002-09-30,221.583
2002-10-01,220.207
2002-10-02,221.509
2002-10-03,220.001
2002-10-04,216.791
2002-10-07,213.597
2002-10-08,212.797
2002-10-09,211.624
2002-10-10,211.667
2002-10-11,216.455
2002-10-14,215.781
2002-10-15,221.179
2002-10-16,222.837
2002-10-17,225.608
2002-10-18,227.669
2002-10-21,227.14
2002-10-22,228.686
2002-10-23,225.24
2002-10-24,226.029
2002-10-25,225.5
2002-10-28,230.804
2002-10-29,228.404
2002-10-30,228.046
2002-10-31,232.789
2002-11-01,234.044
2002-11-04,239.078
2002-11-05,238.789
2002-11-06,237.28
2002-11-07,237.888
2002-11-08,238.963
2002-11-11,237.563
2002-11-12,237.396
2002-11-13,236.394
2002-11-14,236.961
2002-11-15,238.34
2002-11-18,240.844
2002-11-19,240.319
2002-11-20,237.322
2002-11-21,247.589
2002-11-22,248.182
2002-11-25,246.834
2002-11-26,244.822
2002-11-27,247.606
2002-11-28,251.547
2002-11-29,252.863
2002-12-02,254.999
2002-12-03,252.741
2002-12-04,250.972
2002-12-05,251.292
2002-12-06,251.373
2002-12-09,248.629
2002-12-10,250.512
2002-12-11,251.984
2002-12-12,252.501
2002-12-13,251.174
2002-12-16,251.392
2002-12-17,252.978
2002-12-18,247.635
2002-12-19,245.228
2002-12-20,247.384
2002-12-23,247.061
2002-12-24,248.552
2002-12-25,248.552
2002-12-26,249.178
2002-12-27,248.976
2002-12-30,249.993
2002-12-31,252.739
2003-01-01,252.739
2003-01-02,252.585
2003-01-03,256.547
2003-01-06,258.188
2003-01-07,254.977
2003-01-08,252.238
2003-01-09,253.285
2003-01-10,255.122
2003-01-13,256.589
2003-01-14,258.949
2003-01-15,258.358
2003-01-16,256.938
2003-01-17,255.68
2003-01-20,254.539
2003-01-21,253.295
2003-01-22,250.907
2003-01-23,251.855
2003-01-24,252.852
2003-01-27,248.782
2003-01-28,248.474
2003-01-29,248.416
2003-01-30,249.305
2003-01-31,248.715
2003-02-03,249.431
2003-02-04,250.231
2003-02-05,248.856
2003-02-06,246.506
2003-02-07,244.865
2003-02-10,241.489
2003-02-11,241.722
2003-02-12,239.676
2003-02-13,238.334
2003-02-14,237.856
2003-02-17,239.278
2003-02-18,237.748
2003-02-19,237.722
2003-02-20,237.044
2003-02-21,235.949
2003-02-24,235.864
2003-02-25,231.317
2003-02-26,229.169
2003-02-27,229.94
2003-02-28,231.564
2003-03-03,232.595
2003-03-04,229.888
2003-03-05,229.023
2003-03-06,229.79
2003-03-07,228.946
2003-03-10,226.62
2003-03-11,224.825
2003-03-12,220.671
2003-03-13,221.886
2003-03-14,225.283
2003-03-17,226.359
2003-03-18,227.723
2003-03-19,227.968
2003-03-20,228.845
2003-03-21,230.174
2003-03-24,227.495
2003-03-25,228.204
2003-03-26,228.801
2003-03-27,225.979
2003-03-28,226.625
2003-03-31,226.712
2003-04-01,228.269
2003-04-02,227.773
2003-04-03,227.144
2003-04-04,226.826
2003-04-07,230.772
2003-04-08,231.004
2003-04-09,231.463
2003-04-10,233.073
2003-04-11,232.147
2003-04-14,233.024
2003-04-15,233.589
2003-04-16,235.386
2003-04-17,237.747
2003-04-18,237.747
2003-04-21,236.722
2003-04-22,242.429
2003-04-23,247.186
2003-04-24,249.382
2003-04-25,249.756
2003-04-28,252.29
2003-04-29,252.715
2003-04-30,257.128
2003-05-01,259.49
2003-05-02,258.182
2003-05-05,262.462
2003-05-06,268.593
2003-05-07,270.661
2003-05-08,270.591
2003-05-09,271.122
2003-05-12,272.32
2003-05-13,273.163
2003-05-14,276.262
2003-05-15,276.194
2003-05-16,279.798
2003-05-19,277.026
2003-05-20,276.532
2003-05-21,276.447
2003-05-22,279.226
