Date,WORLD ex USA SMID CAP SMID (Small+Mid Cap)
2014-07-31,1104.25
2014-08-29,1106.904
2014-09-30,1044.921
2014-10-31,1024.755
2014-11-28,1033.783
2014-12-31,1021.512
2015-01-30,1020.101
2015-02-27,1083.17
2015-03-31,1064.964
2015-04-30,1114.609
2015-05-29,1115.775
2015-06-30,1092.382
2015-07-31,1098.524
2015-08-31,1040.231
2015-09-30,999.921
2015-10-30,1067.262
2015-11-30,1060.646
2015-12-31,1053.661
2016-01-29,977.829
2016-02-29,980.327
2016-03-31,1059.503
2016-04-29,1092.257
2016-05-31,1084.839
2016-06-30,1041.111
2016-07-29,1103.36
2016-08-31,1096.257
2016-09-30,1120.215
2016-10-31,1086.808
2016-11-30,1063.852
2016-12-30,1091.319
2017-01-31,1132.529
2017-02-28,1148.999
2017-03-31,1172.646
2017-04-28,1210.839
2017-05-31,1252.124
2017-06-30,1254.46
2017-07-31,1296.436
2017-08-31,1305.372
2017-09-29,1337.718
2017-10-31,1359.639
2017-11-30,1375.649
2017-12-29,1411.089
2018-01-31,1475.794
2018-02-28,1414.711
2018-03-30,1394.525
2018-04-30,1419.632
2018-05-31,1409.542
2018-06-29,1385.446
2018-07-31,1401.512
2018-08-31,1389.462
2018-09-28,1384.083
2018-10-31,1252.27
2018-11-30,1238.508
2018-12-31,1166.458
2019-01-31,1262.198
2019-02-28,1291.89
2019-03-29,1294.218
2019-04-30,1329.748
2019-05-31,1260.393
2019-06-28,1327.512
2019-07-31,1316.907
2019-08-30,1288.13
2019-09-30,1320.376
2019-10-31,1374.667
2019-11-29,1403.162
2019-12-31,1456.031
2020-01-31,1418.832
2020-02-28,1284.112
2020-03-31,1060.9
2020-04-30,1171.676
2020-05-29,1246.907
2020-06-30,1272.957
2020-07-31,1316.306
2020-08-31,1407.429
2020-09-30,1384.942
2020-10-30,1341.121
2020-11-30,1531.593
2020-12-31,1620.147
2021-01-29,1614.215
2021-02-26,1645.911
2021-03-31,1683.064
2021-04-30,1745.358
2021-05-31,1786.464
2021-06-30,1762.669
2021-07-30,1784.101
2021-08-31,1823.403
2021-09-30,1760.02
2021-10-29,1795.065
2021-11-30,1702.829
2021-12-31,1774.395
2022-01-31,1650.657
2022-02-28,1636.356
2022-03-31,1644.257
2022-04-29,1528.902
2022-05-31,1522.594
2022-06-30,1361.49
2022-07-29,1447.282
2022-08-31,1382.548
2022-09-30,1229.216
2022-10-31,1287.199
2022-11-30,1412.856
2022-12-30,1415.368
2023-01-31,1530.79
2023-02-28,1496.83
2023-03-31,1505.94
2023-04-28,1538.441
2023-05-31,1471.657
2023-06-30,1517.923
2023-07-31,1590.57
2023-08-31,1535.288
2023-09-29,1472.396
2023-10-31,1387.696
2023-11-30,1522.971
2023-12-29,1623.719
2024-01-31,1606.352
2024-02-29,1616.878
2024-03-29,1676.166
2024-04-30,1627.505
2024-05-31,1693.791
2024-06-28,1646.978
2024-07-31,1725.302
2024-08-30,1770.388
2024-09-30,1814.256
2024-10-31,1712.646
2024-11-29,1729.326
2024-12-31,1681.823
2025-01-31,1740.006
2025-02-28,1750.938
2025-03-31,1757.129
2025-04-30,1854.827
2025-05-30,1960.384
2025-06-30,2038.048
2025-07-31,2028.951
2025-08-29,2123.466
2025-09-30,2164.399
2025-10-31,2162.843
2025-11-28,2192.327
2025-12-31,2242.853
2026-01-30,2367.715
