Date,ACWI LARGE CAP Large Cap
2014-08-29,1308.407
2014-09-30,1269.925
2014-10-31,1278.493
2014-11-28,1300.519
2014-12-31,1273.606
2015-01-30,1251.929
2015-02-27,1321.922
2015-03-31,1300.317
2015-04-30,1339.947
2015-05-29,1338.738
2015-06-30,1308.0
2015-07-31,1321.195
2015-08-31,1228.479
2015-09-30,1185.134
2015-10-30,1280.917
2015-11-30,1270.059
2015-12-31,1248.541
2016-01-29,1176.272
2016-02-29,1165.951
2016-03-31,1250.532
2016-04-29,1268.583
2016-05-31,1272.186
2016-06-30,1267.686
2016-07-29,1319.779
2016-08-31,1326.612
2016-09-30,1334.315
2016-10-31,1314.559
2016-11-30,1324.47
2016-12-30,1356.604
2017-01-31,1391.646
2017-02-28,1432.767
2017-03-31,1451.792
2017-04-28,1473.995
2017-05-31,1508.466
2017-06-30,1515.527
2017-07-31,1559.013
2017-08-31,1566.534
2017-09-29,1597.148
2017-10-31,1632.101
2017-11-30,1663.679
2017-12-29,1689.628
2018-01-31,1788.275
2018-02-28,1714.235
2018-03-30,1673.805
2018-04-30,1691.244
2018-05-31,1694.196
2018-06-29,1687.067
2018-07-31,1742.206
2018-08-31,1757.291
2018-09-28,1768.965
2018-10-31,1642.77
2018-11-30,1669.264
2018-12-31,1552.407
2019-01-31,1671.693
2019-02-28,1716.353
2019-03-29,1741.203
2019-04-30,1801.747
2019-05-31,1695.204
2019-06-28,1807.45
2019-07-31,1814.27
2019-08-30,1773.838
2019-09-30,1811.442
2019-10-31,1861.583
2019-11-29,1907.831
2019-12-31,1978.372
2020-01-31,1958.496
2020-02-28,1804.825
2020-03-31,1578.795
2020-04-30,1744.407
2020-05-29,1814.382
2020-06-30,1874.674
2020-07-31,1974.927
2020-08-31,2103.104
2020-09-30,2031.201
2020-10-30,1977.34
2020-11-30,2215.206
2020-12-31,2315.597
2021-01-29,2305.728
2021-02-26,2354.137
2021-03-31,2420.462
2021-04-30,2526.276
2021-05-31,2566.131
2021-06-30,2605.37
2021-07-30,2625.191
2021-08-31,2690.998
2021-09-30,2579.756
2021-10-29,2717.512
2021-11-30,2658.313
2021-12-31,2766.456
2022-01-31,2641.737
2022-02-28,2565.378
2022-03-31,2627.289
2022-04-29,2415.448
2022-05-31,2420.561
2022-06-30,2223.774
2022-07-29,2378.656
2022-08-31,2288.867
2022-09-30,2074.115
2022-10-31,2198.665
2022-11-30,2369.072
2022-12-30,2271.804
2023-01-31,2431.497
2023-02-28,2362.193
2023-03-31,2453.592
2023-04-28,2494.096
2023-05-31,2478.214
2023-06-30,2622.886
2023-07-31,2715.488
2023-08-31,2645.239
2023-09-29,2537.558
2023-10-31,2471.714
2023-11-30,2697.754
2023-12-29,2818.456
2024-01-31,2847.337
2024-02-29,2972.738
2024-03-29,3065.22
2024-04-30,2968.601
2024-05-31,3098.915
2024-06-28,3187.516
2024-07-31,3225.737
2024-08-30,3308.802
2024-09-30,3383.598
2024-10-31,3313.265
2024-11-29,3432.06
2024-12-31,3369.019
2025-01-31,3480.026
2025-02-28,3463.363
2025-03-31,3319.28
2025-04-30,3348.421
2025-05-30,3544.965
2025-06-30,3707.791
2025-07-31,3761.808
2025-08-29,3855.131
2025-09-30,4013.101
2025-10-31,4118.258
