Date,ISRAEL LARGE CAP Large Cap
2013-11-29,1021.007
2013-12-31,1010.807
2014-01-31,1089.326
2014-02-28,1181.559
2014-03-31,1255.25
2014-04-30,1220.005
2014-05-30,1235.971
2014-06-30,1288.532
2014-07-31,1306.875
2014-08-29,1268.002
2014-09-30,1296.766
2014-10-31,1307.599
2014-11-28,1340.094
2014-12-31,1343.468
2015-01-30,1335.72
2015-02-27,1320.578
2015-03-31,1465.4
2015-04-30,1435.122
2015-05-29,1440.288
2015-06-30,1405.7
2015-07-31,1651.941
2015-08-31,1530.168
2015-09-30,1342.775
2015-10-30,1441.436
2015-11-30,1438.117
2015-12-31,1508.936
2016-01-29,1380.561
2016-02-29,1319.996
2016-03-31,1283.549
2016-04-29,1326.001
2016-05-31,1246.792
2016-06-30,1230.828
2016-07-29,1316.856
2016-08-31,1244.523
2016-09-30,1177.473
2016-10-31,1069.407
2016-11-30,976.96
2016-12-30,964.468
2017-01-31,966.654
2017-02-28,1007.627
2017-03-31,1019.089
2017-04-28,1015.333
2017-05-31,970.692
2017-06-30,1061.909
2017-07-31,1037.917
2017-08-31,764.431
2017-09-29,813.533
2017-10-31,735.094
2017-11-30,715.0
2017-12-29,811.972
2018-01-31,846.345
2018-02-28,807.372
2018-03-30,752.538
2018-04-30,764.197
2018-05-31,851.735
2018-06-29,922.061
2018-07-31,962.561
2018-08-31,948.965
2018-09-28,919.761
2018-10-31,859.201
2018-11-30,900.61
2018-12-31,755.686
2019-01-31,872.629
2019-02-28,846.998
2019-03-29,830.683
2019-04-30,831.751
2019-05-31,693.618
2019-06-28,731.926
2019-07-31,707.552
2019-08-30,662.487
2019-09-30,683.856
2019-10-31,722.963
2019-11-29,777.472
2019-12-31,757.272
2020-01-31,780.604
2020-02-28,745.392
2020-03-31,635.88
2020-04-30,686.13
2020-05-29,717.579
2020-06-30,702.578
2020-07-31,728.957
2020-08-31,694.889
2020-09-30,642.26
2020-10-30,631.333
2020-11-30,677.136
2020-12-31,705.158
2021-01-29,733.785
2021-02-26,778.959
2021-03-31,728.704
2021-04-30,760.421
2021-05-31,697.141
2021-06-30,715.901
2021-07-30,741.32
2021-08-31,657.682
2021-09-30,612.924
2021-10-29,595.977
2021-11-30,536.559
2021-12-31,558.597
2022-01-31,532.08
2022-02-28,540.149
2022-03-31,519.581
2022-04-29,480.417
2022-05-31,472.968
2022-06-30,440.468
2022-07-29,456.619
2022-08-31,469.134
2022-09-30,418.163
2022-10-31,452.442
2022-11-30,447.624
2022-12-30,433.267
2023-01-31,453.475
2023-02-28,443.385
2023-03-31,463.047
2023-04-28,436.043
2023-05-31,422.617
2023-06-30,427.22
2023-07-31,452.094
2023-08-31,435.475
2023-09-29,431.236
2023-10-31,434.374
2023-11-30,472.392
2023-12-29,494.362
2024-01-31,514.228
2024-02-29,519.049
2024-03-29,530.665
2024-04-30,483.458
2024-05-31,486.952
2024-06-28,533.868
2024-07-31,593.564
2024-08-30,622.846
2024-09-30,623.849
2024-10-31,560.432
2024-11-29,588.873
2024-12-31,604.08
2025-01-31,705.418
2025-02-28,712.665
2025-03-31,737.45
2025-04-30,710.4
2025-05-30,740.556
2025-06-30,715.869
2025-07-31,602.462
2025-08-29,624.917
2025-09-30,669.471
2025-10-31,633.135
