Date,FINLAND LARGE CAP Large Cap
2023-09-29,636.547
2023-10-31,615.023
2023-11-30,667.267
2023-12-29,690.528
2024-01-31,693.323
2024-02-29,671.304
2024-03-29,668.861
2024-04-30,675.993
2024-05-31,700.967
2024-06-28,679.149
2024-07-31,692.631
2024-08-30,731.069
2024-09-30,751.273
2024-10-31,739.203
2024-11-29,699.965
2024-12-31,683.645
2025-01-31,729.339
2025-02-28,782.59
2025-03-31,825.649
2025-04-30,876.542
2025-05-30,914.928
2025-06-30,930.998
2025-07-31,877.153
2025-08-29,915.848
