Date,AUSTRIA IMI IMI (Large+Mid+Small Cap)
2023-10-31,664.486
2023-11-30,733.312
2023-12-29,770.873
2024-01-31,766.378
2024-02-29,738.496
2024-03-29,784.105
2024-04-30,791.903
2024-05-31,847.702
2024-06-28,821.622
2024-07-31,860.293
2024-08-30,888.734
2024-09-30,882.269
2024-10-31,841.108
2024-11-29,823.181
2024-12-31,848.111
2025-01-31,890.735
2025-02-28,960.202
2025-03-31,985.675
2025-04-30,1039.286
2025-05-30,1157.178
