Date,HONG KONG MID CAP Mid Cap
2015-09-30,1273.465
2015-10-30,1374.094
2015-11-30,1352.452
2015-12-31,1346.315
2016-01-29,1238.907
2016-02-29,1269.055
2016-03-31,1383.549
2016-04-29,1389.034
2016-05-31,1385.645
2016-06-30,1427.142
2016-07-29,1544.232
2016-08-31,1532.677
2016-09-30,1574.495
2016-10-31,1552.058
2016-11-30,1549.651
2016-12-30,1458.696
2017-01-31,1561.948
2017-02-28,1599.506
2017-03-31,1676.141
2017-04-28,1728.628
2017-05-31,1782.341
2017-06-30,1783.253
2017-07-31,1779.736
2017-08-31,1839.341
2017-09-29,1888.312
2017-10-31,1931.548
2017-11-30,1973.269
2017-12-29,2050.908
2018-01-31,2094.55
2018-02-28,2009.821
2018-03-30,1923.82
2018-04-30,1992.011
2018-05-31,2007.658
2018-06-29,1904.462
2018-07-31,1910.887
2018-08-31,1842.625
2018-09-28,1807.997
2018-10-31,1612.862
2018-11-30,1746.633
2018-12-31,1741.679
2019-01-31,1896.59
2019-02-28,1987.985
2019-03-29,2009.325
2019-04-30,2007.684
2019-05-31,1871.966
2019-06-28,1967.653
2019-07-31,1916.922
2019-08-30,1795.32
2019-09-30,1769.213
2019-10-31,1845.367
2019-11-29,1816.438
2019-12-31,1856.25
2020-01-31,1761.355
2020-02-28,1750.661
2020-03-31,1473.561
2020-04-30,1653.355
2020-05-29,1580.241
2020-06-30,1745.329
2020-07-31,1778.948
2020-08-31,1956.571
2020-09-30,1908.466
2020-10-30,1887.233
2020-11-30,1968.088
2020-12-31,2032.072
2021-01-29,2031.714
2021-02-26,2185.168
2021-03-31,2179.313
2021-04-30,2271.283
2021-05-31,2241.623
2021-06-30,2294.325
2021-07-30,2114.684
2021-08-31,2069.987
2021-09-30,1892.799
2021-10-29,1918.377
2021-11-30,1816.775
2021-12-31,1822.584
2022-01-31,1847.02
2022-02-28,1844.07
2022-03-31,1803.683
2022-04-29,1779.017
2022-05-31,1832.016
2022-06-30,1811.097
2022-07-29,1780.677
2022-08-31,1751.447
2022-09-30,1574.189
2022-10-31,1344.334
2022-11-30,1617.714
2022-12-30,1696.73
2023-01-31,1764.816
2023-02-28,1664.358
2023-03-31,1689.221
2023-04-28,1681.561
2023-05-31,1550.654
2023-06-30,1567.103
2023-07-31,1632.989
2023-08-31,1491.974
2023-09-29,1447.668
2023-10-31,1382.462
2023-11-30,1425.938
2023-12-29,1567.81
2024-01-31,1440.594
2024-02-29,1523.941
2024-03-29,1461.765
2024-04-30,1507.168
2024-05-31,1517.148
2024-06-28,1466.05
2024-07-31,1514.419
2024-08-30,1637.18
2024-09-30,1769.306
2024-10-31,1729.292
2024-11-29,1717.453
2024-12-31,1722.157
2025-01-31,1670.322
2025-02-28,1718.949
2025-03-31,1740.235
2025-04-30,1770.071
2025-05-30,1875.857
2025-06-30,1993.711
2025-07-31,2132.322
2025-08-29,2192.1
2025-09-30,2217.617
2025-10-31,2185.803
2025-11-28,2239.478
2025-12-31,2221.394
2026-01-30,2439.964
