Date,AUSTRALIA LARGE GROWTH Large Cap
2019-01-31,1445.445
2019-02-28,1482.707
2019-03-29,1517.427
2019-04-30,1528.198
2019-05-31,1514.273
2019-06-28,1620.58
2019-07-31,1657.733
2019-08-30,1617.806
2019-09-30,1622.219
2019-10-31,1689.878
2019-11-29,1752.114
2019-12-31,1754.634
2020-01-31,1812.724
2020-02-28,1649.008
2020-03-31,1351.108
2020-04-30,1545.815
2020-05-29,1572.018
2020-06-30,1680.427
2020-07-31,1753.297
2020-08-31,1848.982
2020-09-30,1757.838
2020-10-30,1720.351
2020-11-30,1866.955
2020-12-31,1961.022
2021-01-29,1934.42
2021-02-26,1879.292
2021-03-31,1911.29
2021-04-30,2002.703
2021-05-31,2044.035
2021-06-30,2046.881
2021-07-30,2052.725
2021-08-31,2115.745
2021-09-30,2000.332
2021-10-29,2112.949
2021-11-30,2039.784
2021-12-31,2092.075
2022-01-31,1833.711
2022-02-28,1906.377
2022-03-31,2096.329
2022-04-29,2011.515
2022-05-31,1964.553
2022-06-30,1745.342
2022-07-29,1920.569
2022-08-31,1867.76
2022-09-30,1620.387
2022-10-31,1707.885
2022-11-30,1879.158
2022-12-30,1816.115
2023-01-31,2005.99
2023-02-28,1879.812
2023-03-31,1832.731
2023-04-28,1864.789
2023-05-31,1780.138
2023-06-30,1835.644
2023-07-31,1876.764
2023-08-31,1826.101
2023-09-29,1752.855
2023-10-31,1649.571
2023-11-30,1857.547
2023-12-29,2062.29
2024-01-31,2042.521
2024-02-29,2024.215
2024-03-29,2086.155
2024-04-30,1988.076
2024-05-31,2088.761
2024-06-28,2212.039
2024-07-31,2299.789
2024-08-30,2411.045
2024-09-30,2450.057
2024-10-31,2338.854
2024-11-29,2454.592
2024-12-31,2289.814
2025-01-31,2403.743
2025-02-28,2285.767
2025-03-31,2172.025
2025-04-30,2367.327
2025-05-30,2492.754
2025-06-30,2598.815
2025-07-31,2592.794
2025-08-29,2511.859
2025-09-30,2466.543
2025-10-31,2383.874
2025-11-28,2267.507
