Date,HONG KONG LARGE VALUE Large Cap
2015-07-31,2072.153
2015-08-31,1809.532
2015-09-30,1799.522
2015-10-30,1893.087
2015-11-30,1793.791
2015-12-31,1820.476
2016-01-29,1658.124
2016-02-29,1685.554
2016-03-31,1830.366
2016-04-29,1802.41
2016-05-31,1802.389
2016-06-30,1785.238
2016-07-29,1935.205
2016-08-31,1979.715
2016-09-30,2039.77
2016-10-31,2026.523
2016-11-30,1996.337
2016-12-30,1891.221
2017-01-31,2061.662
2017-02-28,2108.26
2017-03-31,2160.569
2017-04-28,2196.39
2017-05-31,2265.289
2017-06-30,2244.75
2017-07-31,2333.318
2017-08-31,2408.544
2017-09-29,2370.244
2017-10-31,2361.154
2017-11-30,2392.809
2017-12-29,2410.745
2018-01-31,2522.015
2018-02-28,2436.672
2018-03-30,2375.361
2018-04-30,2443.708
2018-05-31,2444.719
2018-06-29,2347.495
2018-07-31,2421.978
2018-08-31,2387.63
2018-09-28,2376.771
2018-10-31,2124.71
2018-11-30,2246.142
2018-12-31,2221.959
2019-01-31,2378.192
2019-02-28,2452.518
2019-03-29,2489.836
2019-04-30,2518.402
2019-05-31,2357.36
2019-06-28,2439.782
2019-07-31,2349.877
2019-08-30,2120.351
2019-09-30,2140.847
2019-10-31,2221.39
2019-11-29,2165.963
2019-12-31,2262.73
2020-01-31,2149.196
2020-02-28,2119.882
2020-03-31,1818.357
2020-04-30,1953.846
2020-05-29,1730.997
2020-06-30,1853.554
2020-07-31,1775.212
2020-08-31,1849.551
2020-09-30,1732.938
2020-10-30,1734.288
2020-11-30,1957.567
2020-12-31,1938.331
2021-01-29,1940.236
2021-02-26,2095.162
2021-03-31,2174.73
2021-04-30,2201.549
2021-05-31,2253.084
2021-06-30,2221.95
2021-07-30,2158.621
2021-08-31,2085.927
2021-09-30,1933.077
2021-10-29,2031.01
2021-11-30,1953.765
2021-12-31,2018.228
2022-01-31,2102.136
2022-02-28,2036.723
2022-03-31,2048.117
2022-04-29,1984.067
2022-05-31,2040.062
2022-06-30,1956.046
2022-07-29,1929.312
2022-08-31,1873.501
2022-09-30,1712.726
2022-10-31,1560.351
2022-11-30,1740.782
2022-12-30,1875.87
2023-01-31,1954.096
2023-02-28,1841.784
2023-03-31,1812.174
2023-04-28,1844.563
2023-05-31,1734.856
2023-06-30,1766.183
2023-07-31,1809.87
2023-08-31,1644.005
2023-09-29,1586.961
2023-10-31,1507.753
2023-11-30,1488.784
2023-12-29,1598.179
2024-01-31,1450.467
2024-02-29,1524.918
2024-03-29,1472.592
2024-04-30,1509.228
2024-05-31,1548.221
2024-06-28,1447.947
2024-07-31,1469.813
2024-08-30,1560.162
2024-09-30,1746.524
2024-10-31,1639.46
2024-11-29,1574.571
2024-12-31,1575.3
2025-01-31,1527.384
2025-02-28,1617.429
2025-03-31,1655.568
2025-04-30,1681.278
2025-05-30,1808.718
2025-06-30,1936.304
2025-07-31,1998.613
2025-08-29,2000.294
2025-09-30,2066.584
2025-10-31,2172.908
