Date,BELGIUM IMI GROWTH IMI (Large+Mid+Small Cap)
2003-03-31,289.728
2003-04-30,335.51
2003-05-30,357.947
2003-06-30,356.499
2003-07-31,350.093
2003-08-29,370.399
2003-09-30,396.63
2003-10-31,397.638
2003-11-28,411.74
2003-12-31,450.403
2004-01-30,474.337
2004-02-27,499.503
2004-03-31,476.569
2004-04-30,483.219
2004-05-31,501.109
2004-06-30,516.191
2004-07-30,507.984
2004-08-31,533.94
2004-09-30,571.54
2004-10-29,597.929
2004-11-30,622.098
2004-12-31,653.166
2005-01-31,639.874
2005-02-28,671.37
2005-03-31,643.638
2005-04-29,624.757
2005-05-31,595.368
2005-06-30,604.069
2005-07-29,635.776
2005-08-31,649.776
2005-09-30,650.651
2005-10-31,624.401
2005-11-30,628.732
2005-12-30,642.965
2006-01-31,685.719
2006-02-28,689.485
2006-03-31,705.874
2006-04-28,770.952
2006-05-31,746.008
2006-06-30,744.248
2006-07-31,752.112
2006-08-31,761.647
2006-09-29,773.38
2006-10-31,796.757
2006-11-30,838.861
2006-12-29,881.131
2007-01-31,877.437
2007-02-28,873.014
2007-03-30,896.386
2007-04-30,964.512
2007-05-31,1000.0
2007-06-29,978.992
2007-07-31,976.69
2007-08-31,964.88
2007-09-28,1019.139
2007-10-31,1042.162
2007-11-30,1010.431
2007-12-31,1004.947
2008-01-31,927.742
2008-02-29,984.438
2008-03-31,991.835
2008-04-30,1002.844
2008-05-30,983.399
2008-06-30,902.018
2008-07-31,871.541
2008-08-29,864.886
2008-09-30,718.629
2008-10-31,508.43
2008-11-28,414.937
2008-12-31,492.284
2009-01-30,510.531
2009-02-27,526.856
2009-03-31,526.015
2009-04-30,588.433
2009-05-29,656.154
2009-06-30,660.312
2009-07-31,712.298
2009-08-31,775.484
2009-09-30,821.972
2009-10-30,840.546
2009-11-30,883.482
2009-12-31,903.111
2010-01-29,879.818
2010-02-26,871.884
2010-03-31,894.781
2010-04-30,876.8
2010-05-31,835.534
2010-06-30,839.515
2010-07-30,918.618
2010-08-31,909.428
2010-09-30,1032.077
2010-10-29,1104.662
2010-11-30,982.077
2010-12-31,1048.891
2011-01-31,1022.347
2011-02-28,1039.79
2011-03-31,1059.237
2011-04-29,1189.109
2011-05-31,1126.791
2011-06-30,1070.674
2011-07-29,1045.826
2011-08-31,1005.854
2011-09-30,927.679
2011-10-31,984.076
2011-11-30,1010.414
2011-12-30,1026.087
2012-01-31,1037.59
2012-02-29,1136.171
2012-03-30,1215.483
2012-04-30,1224.404
2012-05-31,1144.892
2012-06-29,1286.915
2012-07-31,1303.084
2012-08-31,1379.35
2012-09-28,1414.867
2012-10-31,1400.229
2012-11-30,1454.366
2012-12-31,1461.943
2013-01-31,1471.029
2013-02-28,1555.967
2013-03-29,1613.772
2013-04-30,1602.123
2013-05-31,1565.486
2013-06-28,1496.765
2013-07-31,1608.944
2013-08-30,1583.966
2013-09-30,1698.852
2013-10-31,1784.968
2013-11-29,1772.384
2013-12-31,1849.68
2014-01-31,1696.035
2014-02-28,1861.174
2014-03-31,1867.42
2014-04-30,1920.453
2014-05-30,1952.408
2014-06-30,1989.271
2014-07-31,1915.631
2014-08-29,1965.706
2014-09-30,1922.951
2014-10-31,1869.943
2014-11-28,1983.384
2014-12-31,1930.088
2015-01-30,2014.441
2015-02-27,2117.515
2015-03-31,2044.433
2015-04-30,2088.941
2015-05-29,2107.216
2015-06-30,2101.871
2015-07-31,2139.841
2015-08-31,1980.048
2015-09-30,1907.852
2015-10-30,2100.457
2015-11-30,2209.521
2015-12-31,2169.644
2016-01-29,2141.004
2016-02-29,1964.374
2016-03-31,2140.122
2016-04-29,2154.178
2016-05-31,2202.774
2016-06-30,2239.394
2016-07-29,2245.851
2016-08-31,2179.381
2016-09-30,2290.375
2016-10-31,2041.862
2016-11-30,1905.572
2016-12-30,1944.383
2017-01-31,1928.831
2017-02-28,2014.438
2017-03-31,2067.067
2017-04-28,2117.523
2017-05-31,2217.704
2017-06-30,2123.34
2017-07-31,2287.961
2017-08-31,2248.977
2017-09-29,2301.264
2017-10-31,2357.622
2017-11-30,2304.645
2017-12-29,2277.212
2018-01-31,2403.387
2018-02-28,2289.236
2018-03-30,2286.475
2018-04-30,2177.817
2018-05-31,2091.017
2018-06-29,2169.566
2018-07-31,2220.674
2018-08-31,2120.085
2018-09-28,2023.831
2018-10-31,1757.657
2018-11-30,1791.81
2018-12-31,1617.59
2019-01-31,1809.064
2019-02-28,1834.55
2019-03-29,1920.166
2019-04-30,1987.975
2019-05-31,1828.598
2019-06-28,1961.304
2019-07-31,2133.888
2019-08-30,2036.975
2019-09-30,2048.605
2019-10-31,1928.757
2019-11-29,1945.985
2019-12-31,2016.529
2020-01-31,1970.152
2020-02-28,1636.344
2020-03-31,1423.425
2020-04-30,1529.579
2020-05-29,1603.765
2020-06-30,1652.29
2020-07-31,1707.125
2020-08-31,1656.775
2020-09-30,1629.152
2020-10-30,1474.052
2020-11-30,1662.691
2020-12-31,1669.693
2021-01-29,1726.805
2021-02-26,1756.577
2021-03-31,1627.553
2021-04-30,1709.431
2021-05-31,1727.879
2021-06-30,1748.042
2021-07-30,1803.712
2021-08-31,1882.13
2021-09-30,1711.475
2021-10-29,1753.01
2021-11-30,1655.055
2021-12-31,1726.549
2022-01-31,1540.873
2022-02-28,1595.095
2022-03-31,1664.498
2022-04-29,1548.008
2022-05-31,1488.593
2022-06-30,1393.375
2022-07-29,1426.302
2022-08-31,1333.07
2022-09-30,1218.099
2022-10-31,1314.365
2022-11-30,1423.897
2022-12-30,1443.037
2023-01-31,1461.697
2023-02-28,1466.834
2023-03-31,1517.626
2023-04-28,1526.253
2023-05-31,1384.391
2023-06-30,1433.632
2023-07-31,1540.834
2023-08-31,1518.967
2023-09-29,1460.327
2023-10-31,1424.279
2023-11-30,1520.604
2023-12-29,1537.289
2024-01-31,1514.953
2024-02-29,1514.827
2024-03-29,1569.298
2024-04-30,1555.593
2024-05-31,1620.328
2024-06-28,1621.775
2024-07-31,1746.143
2024-08-30,1818.54
2024-09-30,1893.9
2024-10-31,1847.12
2024-11-29,1805.689
2024-12-31,1776.797
2025-01-31,1813.364
2025-02-28,1813.661
2025-03-31,1763.251
2025-04-30,1905.946
2025-05-30,1898.108
