Date,WORLD ex USA IMI VALUE IMI (Large+Mid+Small Cap)
2004-06-30,516.28
2004-07-30,504.727
2004-08-31,508.151
2004-09-30,523.639
2004-10-29,542.668
2004-11-30,579.058
2004-12-31,605.425
2005-01-31,597.329
2005-02-28,625.054
2005-03-31,611.661
2005-04-29,594.465
2005-05-31,594.593
2005-06-30,606.462
2005-07-29,625.992
2005-08-31,641.641
2005-09-30,670.095
2005-10-31,650.443
2005-11-30,667.588
2005-12-30,695.825
2006-01-31,736.76
2006-02-28,742.443
2006-03-31,763.533
2006-04-28,799.906
2006-05-31,775.097
2006-06-30,772.878
2006-07-31,782.304
2006-08-31,806.528
2006-09-29,810.716
2006-10-31,845.55
2006-11-30,871.371
2006-12-29,901.121
2007-01-31,905.114
2007-02-28,913.347
2007-03-30,934.546
2007-04-30,978.933
2007-05-31,1000.0
2007-06-29,997.187
2007-07-31,976.239
2007-08-31,953.958
2007-09-28,995.421
2007-10-31,1036.98
2007-11-30,983.764
2007-12-31,960.817
2008-01-31,876.087
2008-02-29,881.888
2008-03-31,874.338
2008-04-30,923.061
2008-05-30,926.959
2008-06-30,841.032
2008-07-31,816.138
2008-08-29,791.003
2008-09-30,684.197
2008-10-31,538.585
2008-11-28,513.031
2008-12-31,538.275
2009-01-30,482.604
2009-02-27,430.277
2009-03-31,462.23
2009-04-30,543.337
2009-05-29,612.912
2009-06-30,607.63
2009-07-31,669.244
2009-08-31,717.441
2009-09-30,745.866
2009-10-30,726.483
2009-11-30,740.839
2009-12-31,749.366
2010-01-29,717.216
2010-02-26,712.47
2010-03-31,759.365
2010-04-30,749.458
2010-05-31,664.147
2010-06-30,649.983
2010-07-30,716.108
2010-08-31,690.845
2010-09-30,754.192
2010-10-29,782.804
2010-11-30,739.572
2010-12-31,803.115
2011-01-31,833.536
2011-02-28,864.611
2011-03-31,843.817
2011-04-29,888.595
2011-05-31,859.644
2011-06-30,849.43
2011-07-29,829.096
2011-08-31,755.664
2011-09-30,689.122
2011-10-31,750.837
2011-11-30,712.259
2011-12-30,708.297
2012-01-31,748.576
2012-02-29,790.011
2012-03-30,782.087
2012-04-30,763.572
2012-05-31,674.389
2012-06-29,725.609
2012-07-31,731.573
2012-08-31,756.193
2012-09-28,782.878
2012-10-31,791.71
2012-11-30,806.23
2012-12-31,838.201
2013-01-31,884.93
2013-02-28,867.899
2013-03-29,870.739
2013-04-30,918.503
2013-05-31,896.383
2013-06-28,860.25
2013-07-31,912.049
2013-08-30,902.452
2013-09-30,971.339
2013-10-31,1010.715
2013-11-29,1015.175
2013-12-31,1030.119
2014-01-31,994.576
2014-02-28,1049.548
2014-03-31,1046.381
2014-04-30,1068.171
2014-05-30,1082.289
2014-06-30,1101.632
2014-07-31,1084.526
2014-08-29,1080.871
2014-09-30,1030.159
2014-10-31,1006.756
2014-11-28,1010.578
2014-12-31,978.979
2015-01-30,967.904
2015-02-27,1028.316
2015-03-31,1007.075
2015-04-30,1056.418
2015-05-29,1044.645
2015-06-30,1014.645
2015-07-31,1022.053
2015-08-31,951.11
2015-09-30,897.464
2015-10-30,961.987
2015-11-30,939.645
2015-12-31,919.449
2016-01-29,849.155
2016-02-29,839.862
2016-03-31,901.793
2016-04-29,942.746
2016-05-31,927.547
2016-06-30,885.517
2016-07-29,931.944
2016-08-31,944.702
2016-09-30,955.882
2016-10-31,955.757
2016-11-30,952.936
2016-12-30,994.192
2017-01-31,1022.184
2017-02-28,1029.09
2017-03-31,1053.73
2017-04-28,1073.091
2017-05-31,1097.247
2017-06-30,1105.694
2017-07-31,1144.821
2017-08-31,1139.869
2017-09-29,1175.924
2017-10-31,1184.699
2017-11-30,1196.551
2017-12-29,1219.915
2018-01-31,1279.345
2018-02-28,1216.47
2018-03-30,1192.369
2018-04-30,1228.185
2018-05-31,1185.627
2018-06-29,1171.166
2018-07-31,1201.16
2018-08-31,1164.064
2018-09-28,1183.197
2018-10-31,1101.301
2018-11-30,1094.908
2018-12-31,1036.625
2019-01-31,1113.686
2019-02-28,1133.356
2019-03-29,1127.399
2019-04-30,1155.468
2019-05-31,1091.293
2019-06-28,1149.427
2019-07-31,1126.858
2019-08-30,1085.932
2019-09-30,1136.978
2019-10-31,1176.276
2019-11-29,1184.866
2019-12-31,1229.74
2020-01-31,1186.412
2020-02-28,1074.975
2020-03-31,872.351
2020-04-30,926.862
2020-05-29,956.601
2020-06-30,987.412
2020-07-31,994.63
2020-08-31,1056.794
2020-09-30,1009.929
2020-10-30,973.163
2020-11-30,1153.379
2020-12-31,1207.317
2021-01-29,1200.946
2021-02-26,1260.685
2021-03-31,1308.693
2021-04-30,1341.925
2021-05-31,1392.364
2021-06-30,1361.59
2021-07-30,1359.06
2021-08-31,1375.467
2021-09-30,1351.692
2021-10-29,1380.906
2021-11-30,1298.686
2021-12-31,1376.238
2022-01-31,1388.056
2022-02-28,1375.774
2022-03-31,1390.533
2022-04-29,1321.279
2022-05-31,1353.905
2022-06-30,1215.705
2022-07-29,1248.68
2022-08-31,1204.551
2022-09-30,1092.93
2022-10-31,1160.789
2022-11-30,1279.573
2022-12-30,1289.832
2023-01-31,1392.96
2023-02-28,1368.493
2023-03-31,1363.13
2023-04-28,1407.076
2023-05-31,1333.893
2023-06-30,1405.975
2023-07-31,1471.429
2023-08-31,1425.341
2023-09-29,1408.0
2023-10-31,1343.792
2023-11-30,1452.587
2023-12-29,1532.702
2024-01-31,1526.203
2024-02-29,1526.221
2024-03-29,1597.969
2024-04-30,1577.936
2024-05-31,1643.927
2024-06-28,1596.807
2024-07-31,1676.953
2024-08-30,1722.555
2024-09-30,1756.214
2024-10-31,1674.56
2024-11-29,1675.381
2024-12-31,1638.923
2025-01-31,1712.955
2025-02-28,1764.529
2025-03-31,1800.929
2025-04-30,1879.684
2025-05-30,1963.262
2025-06-30,2008.066
2025-07-31,2015.31
2025-08-29,2131.473
2025-09-30,2170.864
2025-10-31,2181.441
2025-11-28,2248.62
2025-12-31,2340.167
2026-01-30,2467.8
