Date,WORLD ex USA IMI VALUE IMI (Large+Mid+Small Cap)
2011-08-31,736.17
2011-09-30,670.952
2011-10-31,730.922
2011-11-30,693.077
2011-12-30,689.005
2012-01-31,728.017
2012-02-29,767.965
2012-03-30,759.821
2012-04-30,740.965
2012-05-31,653.312
2012-06-29,702.492
2012-07-31,708.063
2012-08-31,731.739
2012-09-28,757.148
2012-10-31,765.538
2012-11-30,779.456
2012-12-31,810.107
2013-01-31,854.975
2013-02-28,838.162
2013-03-29,840.416
2013-04-30,885.675
2013-05-31,863.135
2013-06-28,827.986
2013-07-31,877.708
2013-08-30,868.287
2013-09-30,934.246
2013-10-31,972.034
2013-11-29,976.08
2013-12-31,990.159
2014-01-31,955.794
2014-02-28,1008.345
2014-03-31,1004.537
2014-04-30,1024.685
2014-05-30,1036.772
2014-06-30,1054.808
2014-07-31,1038.298
2014-08-29,1034.649
2014-09-30,985.618
2014-10-31,963.077
2014-11-28,966.574
2014-12-31,936.056
2015-01-30,925.273
2015-02-27,982.88
2015-03-31,961.806
2015-04-30,1008.127
2015-05-29,995.574
2015-06-30,966.557
2015-07-31,973.462
2015-08-31,905.719
2015-09-30,854.183
2015-10-30,915.449
2015-11-30,894.032
2015-12-31,874.578
2016-01-29,807.518
2016-02-29,798.419
2016-03-31,856.592
2016-04-29,894.409
2016-05-31,878.724
2016-06-30,838.327
2016-07-29,882.112
2016-08-31,894.043
2016-09-30,904.044
2016-10-31,903.792
2016-11-30,900.98
2016-12-30,939.734
2017-01-31,966.04
2017-02-28,972.374
2017-03-31,994.472
2017-04-28,1012.096
2017-05-31,1033.271
2017-06-30,1040.738
2017-07-31,1077.394
2017-08-31,1072.545
2017-09-29,1105.894
2017-10-31,1113.951
2017-11-30,1124.927
2017-12-29,1146.541
2018-01-31,1202.246
2018-02-28,1142.885
2018-03-30,1118.91
2018-04-30,1151.348
2018-05-31,1109.764
2018-06-29,1095.718
2018-07-31,1123.602
2018-08-31,1088.683
2018-09-28,1105.933
2018-10-31,1029.234
2018-11-30,1023.007
2018-12-31,968.179
2019-01-31,1039.995
2019-02-28,1058.171
2019-03-29,1051.347
2019-04-30,1076.625
2019-05-31,1014.912
2019-06-28,1068.414
2019-07-31,1047.236
2019-08-30,1008.972
2019-09-30,1055.639
2019-10-31,1091.943
2019-11-29,1099.624
2019-12-31,1140.989
2020-01-31,1100.556
2020-02-28,996.929
2020-03-31,808.005
2020-04-30,857.801
2020-05-29,884.579
2020-06-30,912.505
2020-07-31,918.865
2020-08-31,976.08
2020-09-30,932.128
2020-10-30,898.0
2020-11-30,1064.099
2020-12-31,1113.547
2021-01-29,1107.42
2021-02-26,1162.199
2021-03-31,1205.191
2021-04-30,1234.816
2021-05-31,1279.841
2021-06-30,1251.044
2021-07-30,1248.417
2021-08-31,1263.259
2021-09-30,1239.955
2021-10-29,1266.214
2021-11-30,1190.518
2021-12-31,1261.256
2022-01-31,1271.833
2022-02-28,1260.332
2022-03-31,1272.141
2022-04-29,1207.593
2022-05-31,1235.196
2022-06-30,1108.635
2022-07-29,1138.444
2022-08-31,1097.945
2022-09-30,995.491
2022-10-31,1057.085
2022-11-30,1164.966
2022-12-30,1173.742
2023-01-31,1267.258
2023-02-28,1244.716
2023-03-31,1237.995
2023-04-28,1276.487
2023-05-31,1207.794
2023-06-30,1272.397
2023-07-31,1331.269
2023-08-31,1289.253
2023-09-29,1272.723
2023-10-31,1214.448
2023-11-30,1312.349
2023-12-29,1384.354
2024-01-31,1378.107
2024-02-29,1377.78
2024-03-29,1440.21
2024-04-30,1420.476
2024-05-31,1477.414
2024-06-28,1434.409
2024-07-31,1505.986
2024-08-30,1546.589
2024-09-30,1575.863
2024-10-31,1502.185
2024-11-29,1502.464
2024-12-31,1469.243
2025-01-31,1535.227
2025-02-28,1581.141
2025-03-31,1611.385
2025-04-30,1679.609
2025-05-30,1751.177
2025-06-30,1790.382
2025-07-31,1796.384
2025-08-29,1899.569
2025-09-30,1933.429
2025-10-31,1942.424
2025-11-28,2001.632
