Date,ISRAEL MID VALUE Mid Cap
2012-01-31,724.942
2012-02-29,649.948
2012-03-30,669.139
2012-04-30,657.615
2012-05-31,476.495
2012-06-29,437.124
2012-07-31,414.921
2012-08-31,436.313
2012-09-28,509.4
2012-10-31,561.795
2012-11-30,593.491
2012-12-31,587.282
2013-01-31,591.861
2013-02-28,632.809
2013-03-29,651.524
2013-04-30,646.137
2013-05-31,632.147
2013-06-28,646.874
2013-07-31,726.972
2013-08-30,725.292
2013-09-30,874.346
2013-10-31,848.412
2013-11-29,843.159
2013-12-31,856.109
2014-01-31,779.344
2014-02-28,824.867
2014-03-31,899.683
2014-04-30,944.104
2014-05-30,940.278
2014-06-30,949.203
2014-07-31,955.067
2014-08-29,947.833
2014-09-30,936.216
2014-10-31,867.631
2014-11-28,883.866
2014-12-31,851.94
2015-01-30,812.865
2015-02-27,819.525
2015-03-31,898.132
2015-04-30,937.22
2015-05-29,907.232
2015-06-30,940.164
2015-07-31,976.643
2015-08-31,875.072
2015-09-30,877.436
2015-10-30,941.719
2015-11-30,919.438
2015-12-31,887.743
2016-01-29,830.402
2016-02-29,851.516
2016-03-31,901.034
2016-04-29,911.487
2016-05-31,882.72
2016-06-30,863.324
2016-07-29,879.309
2016-08-31,910.959
2016-09-30,920.736
2016-10-31,910.9
2016-11-30,962.904
2016-12-30,977.15
2017-01-31,980.758
2017-02-28,1004.928
2017-03-31,1005.622
2017-04-28,1026.899
2017-05-31,1073.96
2017-06-30,1091.368
2017-07-31,1079.261
2017-08-31,1069.749
2017-09-29,1088.144
2017-10-31,1109.609
2017-11-30,1086.986
2017-12-29,1144.297
2018-01-31,1180.929
2018-02-28,1128.27
2018-03-30,1080.756
2018-04-30,1081.671
2018-05-31,1109.218
2018-06-29,1074.533
2018-07-31,1112.632
2018-08-31,1233.423
2018-09-28,1223.016
2018-10-31,1153.57
2018-11-30,1177.838
2019-05-31,986.33
2019-06-28,1059.475
2019-07-31,1114.441
