Date,SWEDEN GROWTH Standard (Large+Mid Cap)
2002-04-09,3554.222
2002-04-10,3556.996
2002-04-11,3468.653
2002-04-12,3498.347
2002-04-15,3545.069
2002-04-16,3643.055
2002-04-17,3708.301
2002-04-18,3558.733
2002-04-19,3449.902
2002-04-22,3051.818
2002-04-23,3013.93
2002-04-24,2869.393
2002-04-25,2975.304
2002-04-26,3032.812
2002-04-29,2981.835
2002-04-30,3015.436
2002-05-01,3033.147
2002-05-02,3019.006
2002-05-03,2927.395
2002-05-06,2917.376
2002-05-07,2898.757
2002-05-08,3008.895
2002-05-09,3003.719
2002-05-10,2886.161
2002-05-13,2920.757
2002-05-14,2976.361
2002-05-15,3034.657
2002-05-16,2980.542
2002-05-17,3100.025
2002-05-20,3108.867
2002-05-21,3057.677
2002-05-22,2980.428
2002-05-23,2970.324
2002-05-24,2979.311
2002-05-27,2942.634
2002-05-28,2946.076
2002-05-29,2894.453
2002-05-30,2834.192
2002-05-31,2841.774
2002-06-03,2850.89
2002-06-04,2788.713
2002-06-05,2817.625
2002-06-06,2784.143
2002-06-07,2688.384
2002-06-10,2711.422
2002-06-11,2676.761
2002-06-12,2586.166
2002-06-13,2609.591
2002-06-14,2594.385
2002-06-17,2617.763
2002-06-18,2653.268
2002-06-19,2635.148
2002-06-20,2526.561
2002-06-21,2542.178
2002-06-24,2448.177
2002-06-25,2519.64
2002-06-26,2509.619
2002-06-27,2553.07
2002-06-28,2614.595
2002-07-01,2652.638
2002-07-02,2605.738
2002-07-03,2507.325
2002-07-04,2542.334
2002-07-05,2661.708
2002-07-08,2664.353
2002-07-09,2632.676
2002-07-10,2535.704
2002-07-11,2420.672
2002-07-12,2419.235
2002-07-15,2392.641
2002-07-16,2385.143
2002-07-17,2472.306
2002-07-18,2451.104
2002-07-19,2300.59
2002-07-22,2166.611
2002-07-23,2032.803
2002-07-24,1919.853
2002-07-25,2011.169
2002-07-26,1895.303
2002-07-29,2048.961
2002-07-30,2094.597
2002-07-31,2114.768
2002-08-01,2072.228
2002-08-02,2016.43
2002-08-05,1898.024
2002-08-06,1893.987
2002-08-07,1930.44
2002-08-08,1978.203
2002-08-09,1950.882
2002-08-12,1987.445
2002-08-13,2035.675
2002-08-14,1972.955
2002-08-15,1981.301
2002-08-16,1971.566
2002-08-19,1993.759
2002-08-20,2044.717
2002-08-21,2173.575
2002-08-22,2286.542
2002-08-23,2162.149
2002-08-26,2091.275
2002-08-27,2088.745
2002-08-28,2059.234
2002-08-29,2093.606
2002-08-30,2082.627
2002-09-02,2053.919
2002-09-03,1981.809
2002-09-04,1972.885
2002-09-05,1955.242
2002-09-06,2027.045
2002-09-09,1992.126
2002-09-10,1962.947
2002-09-11,2045.979
2002-09-12,1978.853
2002-09-13,1951.003
2002-09-16,1918.535
2002-09-17,1881.694
2002-09-18,1834.527
2002-09-19,1828.984
2002-09-20,1816.581
2002-09-23,1730.138
2002-09-24,1723.965
2002-09-25,1722.196
2002-09-26,1769.937
2002-09-27,1735.305
2002-09-30,1619.964
2002-10-01,1644.36
2002-10-02,1703.913
2002-10-03,1673.185
2002-10-04,1640.417
2002-10-07,1579.294
2002-10-08,1528.276
2002-10-09,1514.243
2002-10-10,1570.341
2002-10-11,1686.609
2002-10-14,1650.978
2002-10-15,1804.715
2002-10-16,1751.068
2002-10-17,1817.537
2002-10-18,1885.475
2002-10-21,1932.967
2002-10-22,1910.22
2002-10-23,1844.774
2002-10-24,1925.233
2002-10-25,1943.323
2002-10-28,2043.576
2002-10-29,1954.942
2002-10-30,2044.579
2002-10-31,2102.001
2002-11-01,2107.416
2002-11-04,2216.983
2002-11-05,2274.732
2002-11-06,2192.163
2002-11-07,2129.809
2002-11-08,2161.844
2002-11-11,2153.877
2002-11-12,2288.512
2002-11-13,2303.341
2002-11-14,2375.92
2002-11-15,2319.549
2002-11-18,2398.685
2002-11-19,2343.1
2002-11-20,2337.49
2002-11-21,2456.432
2002-11-22,2464.823
2002-11-25,2400.237
2002-11-26,2305.747
2002-11-27,2392.757
2002-11-28,2417.175
2002-11-29,2383.568
2002-12-02,2370.618
2002-12-03,2338.816
2002-12-04,2354.627
2002-12-05,2329.903
2002-12-06,2332.059
2002-12-09,2294.091
2002-12-10,2301.465
2002-12-11,2313.332
2002-12-12,2293.588
2002-12-13,2293.547
2002-12-16,2293.391
2002-12-17,2251.119
2002-12-18,2206.584
2002-12-19,2221.102
2002-12-20,2216.35
2002-12-23,2186.05
2002-12-24,2197.089
2002-12-25,2197.089
2002-12-26,2201.366
2002-12-27,2165.48
2002-12-30,2193.303
2002-12-31,2205.159
2003-01-01,2205.159
2003-01-02,2283.079
2003-01-03,2307.485
2003-01-06,2320.385
2003-01-07,2303.383
2003-01-08,2215.896
2003-01-09,2235.72
2003-01-10,2246.096
2003-01-13,2257.473
2003-01-14,2263.135
2003-01-15,2247.383
2003-01-16,2245.899
2003-01-17,2216.023
2003-01-20,2271.315
2003-01-21,2243.317
2003-01-22,2198.894
