Date,SWEDEN SMID GROWTH SMID (Small+Mid Cap)
2005-11-30,545.111
2005-12-30,583.736
2006-01-31,628.966
2006-02-28,637.803
2006-03-31,693.788
2006-04-28,760.508
2006-05-31,721.083
2006-06-30,716.984
2006-07-31,709.611
2006-08-31,726.515
2006-09-29,740.342
2006-10-31,775.687
2006-11-30,836.059
2006-12-29,915.294
2007-01-31,895.667
2007-02-28,870.649
2007-03-30,918.771
2007-04-30,997.769
2007-05-31,1000.0
2007-06-29,989.168
2007-07-31,996.469
2007-08-31,946.435
2007-09-28,994.856
2007-10-31,1025.734
2007-11-30,966.913
2007-12-31,942.477
2008-01-31,851.975
2008-02-29,923.223
2008-03-31,937.596
2008-04-30,962.169
2008-05-30,1010.396
2008-06-30,914.041
2008-07-31,831.93
2008-08-29,792.29
2008-09-30,611.541
2008-10-31,431.0
2008-11-28,401.362
2008-12-31,418.303
2009-01-30,395.323
2009-02-27,365.154
2009-03-31,387.553
2009-04-30,480.091
2009-05-29,542.8
2009-06-30,532.85
2009-07-31,633.199
2009-08-31,674.897
2009-09-30,694.954
2009-10-30,716.264
2009-11-30,741.347
2009-12-31,749.374
2010-01-29,735.849
2010-02-26,761.054
2010-03-31,816.052
2010-04-30,839.237
2010-05-31,723.382
2010-06-30,726.221
2010-07-30,806.802
2010-08-31,762.369
2010-09-30,917.031
2010-10-29,916.444
2010-11-30,897.98
2010-12-31,993.676
2011-01-31,1015.725
2011-02-28,1013.736
2011-03-31,1056.794
2011-04-29,1131.524
2011-05-31,1104.919
2011-06-30,1051.142
2011-07-29,1021.342
2011-08-31,932.203
2011-09-30,798.262
2011-10-31,933.719
2011-11-30,892.786
2011-12-30,892.654
2012-01-31,933.701
2012-02-29,1006.525
2012-03-30,1002.355
2012-04-30,976.041
2012-05-31,853.892
2012-06-29,890.455
2012-07-31,941.846
2012-08-31,954.338
2012-09-28,993.814
2012-10-31,970.676
2012-11-30,1011.145
2012-12-31,1046.155
2013-01-31,1077.738
2013-02-28,1077.102
2013-03-29,1080.713
2013-04-30,1099.863
2013-05-31,1087.28
2013-06-28,1041.134
2013-07-31,1177.356
2013-08-30,1129.175
2013-09-30,1202.622
2013-10-31,1187.424
2013-11-29,1203.967
2013-12-31,1238.594
2014-01-31,1185.155
2014-02-28,1273.321
2014-03-31,1246.89
2014-04-30,1275.681
2014-05-30,1260.321
2014-06-30,1262.949
2014-07-31,1178.262
2014-08-29,1186.93
2014-09-30,1112.284
2014-10-31,1119.733
2014-11-28,1128.38
2014-12-31,1095.771
2015-01-30,1102.618
2015-02-27,1195.827
2015-03-31,1152.336
2015-04-30,1212.232
2015-05-29,1195.906
2015-06-30,1150.015
2015-07-31,1153.833
2015-08-31,1097.801
2015-09-30,1091.003
2015-10-30,1174.925
2015-11-30,1212.912
2015-12-31,1219.649
2016-01-29,1079.079
2016-02-29,1094.277
2016-03-31,1188.94
2016-04-29,1198.8
2016-05-31,1206.269
2016-06-30,1147.53
2016-07-29,1211.726
2016-08-31,1212.558
2016-09-30,1251.561
2016-10-31,1136.645
2016-11-30,1101.315
2016-12-30,1157.387
2017-01-31,1207.415
2017-02-28,1222.866
2017-03-31,1231.035
2017-04-28,1300.444
2017-05-31,1343.496
2017-06-30,1349.959
2017-07-31,1387.415
2017-08-31,1398.544
2017-09-29,1409.353
2017-10-31,1418.227
2017-11-30,1372.363
2017-12-29,1399.544
2018-01-31,1504.101
2018-02-28,1431.68
2018-03-30,1405.049
2018-04-30,1419.732
2018-05-31,1429.953
2018-06-29,1408.867
2018-07-31,1493.677
2018-08-31,1445.267
2018-09-28,1454.073
2018-10-31,1296.215
2018-11-30,1251.169
2018-12-31,1218.162
2019-01-31,1303.995
2019-02-28,1348.128
2019-03-29,1374.068
2019-04-30,1408.067
2019-05-31,1304.322
2019-06-28,1424.186
2019-07-31,1371.142
2019-08-30,1315.354
2019-09-30,1344.626
2019-10-31,1424.502
2019-11-29,1477.986
2019-12-31,1554.204
2020-01-31,1530.747
2020-02-28,1423.246
2020-03-31,1210.991
2020-04-30,1362.649
2020-05-29,1535.513
2020-06-30,1585.005
2020-07-31,1776.957
2020-08-31,1890.189
2020-09-30,1922.653
2020-10-30,1821.388
2020-11-30,2087.015
2020-12-31,2281.663
2021-01-29,2248.869
2021-02-26,2322.899
2021-03-31,2409.937
2021-04-30,2655.049
2021-05-31,2751.469
2021-06-30,2684.791
2021-07-30,2916.124
2021-08-31,2927.681
2021-09-30,2682.515
2021-10-29,2897.577
2021-11-30,2749.491
2021-12-31,2845.093
2022-01-31,2353.304
2022-02-28,2184.531
2022-03-31,2339.439
2022-04-29,2076.483
2022-05-31,2076.733
2022-06-30,1716.892
2022-07-29,1957.774
2022-08-31,1716.074
2022-09-30,1515.514
2022-10-31,1565.174
2022-11-30,1747.404
2022-12-30,1751.754
2023-01-31,1891.793
2023-02-28,1938.833
2023-03-31,1978.286
2023-04-28,2049.414
2023-05-31,1866.098
2023-06-30,1844.572
2023-07-31,1867.858
2023-08-31,1693.612
2023-09-29,1606.933
2023-10-31,1503.34
2023-11-30,1772.57
2023-12-29,2026.605
2024-01-31,1941.334
2024-02-29,1975.907
2024-03-29,2027.61
2024-04-30,1973.056
2024-05-31,2168.878
2024-06-28,2112.027
2024-07-31,2187.748
2024-08-30,2310.755
2024-09-30,2339.657
2024-10-31,2096.123
2024-11-29,2025.81
2024-12-31,2024.575
2025-01-31,2161.571
2025-02-28,2204.381
2025-03-31,2199.081
2025-04-30,2331.822
2025-05-30,2380.52
2025-06-30,2444.785
2025-07-31,2413.463
2025-08-29,2462.505
2025-09-30,2408.892
2025-10-31,2449.946
2025-11-28,2410.303
