Date,EM (EMERGING MARKETS) VALUE Standard (Large+Mid Cap)
2001-09-11,90.177
2001-09-12,87.774
2001-09-13,86.871
2001-09-14,84.506
2001-09-17,82.957
2001-09-18,83.088
2001-09-19,83.936
2001-09-20,81.571
2001-09-21,79.443
2001-09-24,80.492
2001-09-25,80.618
2001-09-26,80.867
2001-09-27,81.13
2001-09-28,82.538
2001-10-01,82.275
2001-10-02,81.67
2001-10-03,81.181
2001-10-04,82.796
2001-10-05,83.019
2001-10-08,82.383
2001-10-09,83.37
2001-10-10,83.975
2001-10-11,85.779
2001-10-12,85.007
2001-10-15,84.953
2001-10-16,85.782
2001-10-17,86.502
2001-10-18,85.752
2001-10-19,85.892
2001-10-22,86.445
2001-10-23,86.756
2001-10-24,87.529
2001-10-25,87.628
2001-10-26,88.043
2001-10-29,87.571
2001-10-30,86.227
2001-10-31,86.812
2001-11-01,86.934
2001-11-02,87.498
2001-11-05,89.107
2001-11-06,89.144
2001-11-07,88.946
2001-11-08,89.834
2001-11-09,90.195
2001-11-12,90.356
2001-11-13,91.432
2001-11-14,92.782
2001-11-15,94.025
2001-11-16,93.993
2001-11-19,95.36
2001-11-20,94.72
2001-11-21,94.958
2001-11-22,95.34
2001-11-23,96.416
2001-11-26,98.447
2001-11-27,97.658
2001-11-28,95.563
2001-11-29,95.005
2001-11-30,95.661
2001-12-03,96.782
2001-12-04,97.381
2001-12-05,99.463
2001-12-06,100.845
2001-12-07,101.693
2001-12-10,101.316
2001-12-11,100.404
2001-12-12,101.065
2001-12-13,99.569
2001-12-14,99.345
2001-12-17,99.479
2001-12-18,98.88
2001-12-19,98.093
2001-12-20,98.239
2001-12-21,97.802
2001-12-24,98.387
2001-12-25,98.925
2001-12-26,99.213
2001-12-27,99.949
2001-12-28,100.72
2001-12-31,101.477
2002-01-01,101.525
2002-01-02,103.13
2002-01-03,104.884
2002-01-04,106.7
2002-01-07,107.74
2002-01-08,106.923
2002-01-09,107.288
2002-01-10,105.733
2002-01-11,105.279
2002-01-14,104.562
2002-01-15,104.06
2002-01-16,103.195
2002-01-17,104.035
2002-01-18,103.902
2002-01-21,104.649
2002-01-22,104.488
2002-01-23,105.48
2002-01-24,106.286
2002-01-25,107.288
2002-01-28,107.752
2002-01-29,106.88
2002-01-30,105.587
2002-01-31,107.274
2002-02-01,107.037
2002-02-04,106.306
2002-02-05,106.407
2002-02-06,106.959
2002-02-07,105.884
2002-02-08,106.013
2002-02-11,105.793
2002-02-12,106.201
2002-02-13,107.065
2002-02-14,109.692
2002-02-15,109.703
2002-02-18,109.542
2002-02-19,108.334
2002-02-20,107.524
2002-02-21,107.563
2002-02-22,107.606
2002-02-25,108.059
2002-02-26,108.63
2002-02-27,110.444
2002-02-28,109.707
2002-03-01,110.981
2002-03-04,112.874
2002-03-05,112.763
2002-03-06,113.174
2002-03-07,112.952
2002-03-08,113.56
2002-03-11,113.765
2002-03-12,114.12
2002-03-13,114.029
2002-03-14,113.998
2002-03-15,114.379
2002-03-18,115.203
2002-03-19,115.587
2002-03-20,115.462
2002-03-21,115.416
2002-03-22,115.587
2002-03-25,114.516
2002-03-26,114.687
2002-03-27,115.315
2002-03-28,115.425
2002-03-29,115.094
2002-04-01,114.386
2002-04-02,115.544
2002-04-03,116.114
2002-04-04,116.69
2002-04-05,117.387
2002-04-08,116.733
2002-04-09,116.073
2002-04-10,116.05
2002-04-11,116.273
2002-04-12,116.945
2002-04-15,117.289
2002-04-16,118.063
2002-04-17,120.273
2002-04-18,120.188
2002-04-19,120.564
2002-04-22,120.601
2002-04-23,119.905
2002-04-24,119.381
2002-04-25,117.319
2002-04-26,117.699
2002-04-29,116.23
2002-04-30,115.997
2002-05-01,116.004
2002-05-02,116.484
2002-05-03,117.261
2002-05-06,116.042
2002-05-07,115.687
2002-05-08,117.215
2002-05-09,116.363
2002-05-10,115.849
2002-05-13,115.895
2002-05-14,116.557
2002-05-15,118.083
2002-05-16,118.435
2002-05-17,119.101
2002-05-20,118.052
2002-05-21,116.307
2002-05-22,117.234
2002-05-23,116.427
2002-05-24,117.538
2002-05-27,117.774
2002-05-28,117.303
2002-05-29,116.85
2002-05-30,116.248
2002-05-31,115.079
2002-06-03,115.479
2002-06-04,115.599
2002-06-05,115.028
2002-06-06,114.636
2002-06-07,113.592
2002-06-10,114.648
2002-06-11,114.394
2002-06-12,113.871
2002-06-13,113.974
2002-06-14,112.543
2002-06-17,112.046
2002-06-18,112.202
2002-06-19,109.688
2002-06-20,109.338
2002-06-21,108.586
2002-06-24,107.596
2002-06-25,106.741
2002-06-26,102.953
2002-06-27,104.291
2002-06-28,106.353
2002-07-01,106.135
2002-07-02,105.591
2002-07-03,105.748
2002-07-04,107.207
2002-07-05,108.839
2002-07-08,109.094
2002-07-09,110.18
2002-07-10,109.441
2002-07-11,107.56
2002-07-12,109.517
2002-07-15,108.614
2002-07-16,107.901
2002-07-17,108.606
2002-07-18,109.315
2002-07-19,107.73
2002-07-22,104.319
2002-07-23,104.058
2002-07-24,101.376
2002-07-25,101.467
2002-07-26,98.357
2002-07-29,98.756
2002-07-30,100.393
2002-07-31,98.938
2002-08-01,98.67
2002-08-02,98.345
2002-08-05,94.297
2002-08-06,94.272
2002-08-07,96.133
2002-08-08,97.17
2002-08-09,97.582
2002-08-12,97.388
2002-08-13,97.244
2002-08-14,97.982
2002-08-15,98.318
2002-08-16,98.838
2002-08-19,98.828
2002-08-20,99.523
2002-08-21,100.384
2002-08-22,100.684
2002-08-23,100.15
2002-08-26,100.121
2002-08-27,100.327
2002-08-28,99.431
2002-08-29,98.88
2002-08-30,99.614
2002-09-02,99.487
2002-09-03,97.726
2002-09-04,96.782
2002-09-05,95.92
2002-09-06,95.531
2002-09-09,95.585
2002-09-10,97.369
2002-09-11,98.38
2002-09-12,98.268
2002-09-13,96.549
2002-09-16,94.598
2002-09-17,96.204
2002-09-18,93.904
2002-09-19,93.08
2002-09-20,92.833
2002-09-23,90.553
2002-09-24,89.546
2002-09-25,88.866
2002-09-26,89.862
2002-09-27,89.601
2002-09-30,87.907
2002-10-01,89.22
2002-10-02,89.3
2002-10-03,88.961
2002-10-04,89.031
2002-10-07,86.586
2002-10-08,86.864
2002-10-09,85.616
2002-10-10,84.203
2002-10-11,84.891
2002-10-14,85.427
2002-10-15,87.644
2002-10-16,88.305
2002-10-17,90.354
2002-10-18,91.879
2002-10-21,91.439
2002-10-22,90.852
2002-10-23,92.799
2002-10-24,92.534
2002-10-25,92.274
2002-10-28,93.31
2002-10-29,92.057
2002-10-30,91.925
2002-10-31,92.923
2002-11-01,92.473
2002-11-04,93.794
2002-11-05,93.591
2002-11-06,94.895
2002-11-07,95.586
2002-11-08,95.963
2002-11-11,94.871
2002-11-12,94.487
2002-11-13,94.35
2002-11-14,94.788
2002-11-15,96.143
2002-11-18,96.584
2002-11-19,95.878
2002-11-20,95.611
2002-11-21,96.633
2002-11-22,97.246
2002-11-25,97.818
2002-11-26,97.254
2002-11-27,97.799
2002-11-28,98.171
2002-11-29,99.378
2002-12-02,100.071
2002-12-03,100.045
2002-12-04,98.662
2002-12-05,98.734
2002-12-06,98.236
2002-12-09,98.218
2002-12-10,97.555
2002-12-11,97.299
2002-12-12,98.225
2002-12-13,98.223
2002-12-16,98.091
2002-12-17,99.007
2002-12-18,99.16
2002-12-19,99.379
2002-12-20,100.011
2002-12-23,99.131
2002-12-24,98.299
2002-12-25,98.15
2002-12-26,98.314
2002-12-27,97.953
2002-12-30,96.742
2002-12-31,96.869
2003-01-01,96.849
2003-01-02,97.699
2003-01-03,99.397
2003-01-06,100.328
2003-01-07,99.913
2003-01-08,100.159
2003-01-09,100.195
2003-01-10,100.819
2003-01-13,102.277
2003-01-14,102.752
2003-01-15,102.761
2003-01-16,102.045
2003-01-17,100.643
2003-01-20,100.451
2003-01-21,99.578
2003-01-22,99.018
2003-01-23,99.967
2003-01-24,98.426
2003-01-27,96.707
2003-01-28,97.332
2003-01-29,97.215
2003-01-30,97.556
2003-01-31,97.697
2003-02-03,98.255
2003-02-04,98.211
2003-02-05,98.286
2003-02-06,97.457
2003-02-07,96.557
2003-02-10,95.913
2003-02-11,96.035
2003-02-12,96.454
2003-02-13,94.921
2003-02-14,94.76
2003-02-17,96.874
2003-02-18,97.232
2003-02-19,96.492
2003-02-20,96.345
2003-02-21,96.587
2003-02-24,96.932
2003-02-25,95.268
2003-02-26,95.154
2003-02-27,95.212
2003-02-28,95.129
2003-03-03,96.181
2003-03-04,95.242
2003-03-05,94.303
2003-03-06,93.57
2003-03-07,92.743
2003-03-10,91.8
2003-03-11,91.095
2003-03-12,91.001
2003-03-13,92.082
2003-03-14,93.031
2003-03-17,91.099
2003-03-18,93.457
2003-03-19,93.362
2003-03-20,94.848
2003-03-21,95.199
2003-03-24,94.263
2003-03-25,93.998
2003-03-26,94.337
2003-03-27,93.902
2003-03-28,93.789
2003-03-31,92.174
2003-04-01,92.789
2003-04-02,93.864
2003-04-03,94.622
2003-04-04,95.796
2003-04-07,98.066
2003-04-08,97.531
2003-04-09,96.791
2003-04-10,97.149
2003-04-11,97.806
2003-04-14,98.648
2003-04-15,99.981
2003-04-16,100.986
2003-04-17,101.305
2003-04-18,101.943
2003-04-21,101.844
2003-04-22,100.688
2003-04-23,100.573
2003-04-24,99.149
2003-04-25,97.83
2003-04-28,98.697
2003-04-29,101.216
2003-04-30,101.47
2003-05-01,101.506
2003-05-02,101.805
2003-05-05,102.857
2003-05-06,102.771
2003-05-07,103.76
2003-05-08,103.026
2003-05-09,103.97
2003-05-12,105.189
2003-05-13,105.143
2003-05-14,105.081
2003-05-15,105.072
2003-05-16,104.51
2003-05-19,103.417
2003-05-20,103.23
2003-05-21,103.612
2003-05-22,104.481
2003-05-23,106.208
2003-05-26,107.404
2003-05-27,107.017
2003-05-28,108.43
2003-05-29,109.184
2003-05-30,109.507
2003-06-02,110.69
2003-06-03,110.341
2003-06-04,110.982
2003-06-05,112.088
2003-06-06,112.667
2003-06-09,113.019
2003-06-10,112.748
2003-06-11,112.862
2003-06-12,113.921
2003-06-13,114.33
2003-06-16,115.136
2003-06-17,116.929
2003-06-18,116.279
2003-06-19,116.606
2003-06-20,116.405
2003-06-23,114.687
2003-06-24,114.052
2003-06-25,115.115
2003-06-26,115.014
2003-06-27,115.507
2003-06-30,115.273
2003-07-01,116.504
2003-07-02,118.02
2003-07-03,118.445
2003-07-04,118.954
2003-07-07,120.722
2003-07-08,120.972
2003-07-09,120.598
2003-07-10,119.642
2003-07-11,119.447
2003-07-14,121.667
2003-07-15,121.094
2003-07-16,120.368
2003-07-17,119.006
2003-07-18,118.507
2003-07-21,118.063
2003-07-22,118.591
2003-07-23,118.536
2003-07-24,119.892
2003-07-25,121.07
2003-07-28,122.147
2003-07-29,121.813
2003-07-30,120.846
2003-07-31,121.395
2003-08-01,121.559
2003-08-04,121.103
2003-08-05,120.415
2003-08-06,119.376
2003-08-07,120.385
2003-08-08,120.614
2003-08-11,121.51
2003-08-12,121.936
2003-08-13,123.515
2003-08-14,124.512
2003-08-15,124.872
2003-08-18,126.046
2003-08-19,126.312
2003-08-20,126.35
2003-08-21,128.204
2003-08-22,128.726
2003-08-25,128.253
2003-08-26,127.323
2003-08-27,127.81
2003-08-28,127.668
2003-08-29,129.096
2003-09-01,130.339
2003-09-02,130.445
2003-09-03,131.677
2003-09-04,131.873
2003-09-05,132.016
2003-09-08,132.158
2003-09-09,131.369
2003-09-10,131.039
2003-09-11,131.214
2003-09-12,131.285
2003-09-15,130.621
2003-09-16,131.396
2003-09-17,131.288
2003-09-18,131.058
2003-09-19,130.736
2003-09-22,129.863
2003-09-23,130.781
2003-09-24,131.806
2003-09-25,130.642
2003-09-26,129.834
2003-09-29,129.974
2003-09-30,130.057
2003-10-01,131.436
2003-10-02,133.348
2003-10-03,134.591
2003-10-06,135.898
2003-10-07,136.611
2003-10-08,137.59
2003-10-09,139.571
2003-10-10,140.915
2003-10-13,142.021
2003-10-14,141.356
2003-10-15,141.001
2003-10-16,142.255
2003-10-17,141.896
2003-10-20,142.589
2003-10-21,142.132
2003-10-22,141.518
2003-10-23,138.976
2003-10-24,139.055
2003-10-27,139.105
2003-10-28,141.013
2003-10-29,141.398
2003-10-30,141.84
2003-10-31,141.915
2003-11-03,144.203
2003-11-04,145.03
2003-11-05,145.49
2003-11-06,144.209
2003-11-07,145.069
2003-11-10,144.501
2003-11-11,143.011
2003-11-12,143.967
2003-11-13,145.832
2003-11-14,146.041
2003-11-17,143.505
2003-11-18,143.54
2003-11-19,140.87
2003-11-20,139.85
2003-11-21,140.711
2003-11-24,139.973
2003-11-25,141.502
2003-11-26,142.907
2003-11-27,142.935
2003-11-28,144.561
2003-12-01,147.636
2003-12-02,147.785
2003-12-03,148.075
2003-12-04,147.352
2003-12-05,147.05
2003-12-08,146.837
2003-12-09,148.734
2003-12-10,148.586
2003-12-11,149.54
2003-12-12,150.39
2003-12-15,151.352
2003-12-16,150.101
2003-12-17,148.983
2003-12-18,150.859
2003-12-19,151.633
2003-12-22,152.44
2003-12-23,152.579
2003-12-24,153.241
2003-12-25,153.224
2003-12-26,153.55
2003-12-29,154.652
2003-12-30,156.721
2003-12-31,157.183
2004-01-01,157.339
2004-01-02,160.645
2004-01-05,164.671
2004-01-06,164.145
2004-01-07,163.563
2004-01-08,163.79
2004-01-09,165.255
2004-01-12,165.314
2004-01-13,165.293
2004-01-14,164.627
2004-01-15,162.806
2004-01-16,162.747
2004-01-19,164.075
2004-01-20,165.608
2004-01-21,165.001
2004-01-22,164.959
2004-01-23,165.785
2004-01-26,166.121
2004-01-27,166.644
2004-01-28,165.904
2004-01-29,162.454
2004-01-30,161.986
2004-02-02,161.706
2004-02-03,161.809
2004-02-04,161.227
2004-02-05,160.823
2004-02-06,163.18
2004-02-09,165.972
2004-02-10,166.56
2004-02-11,167.586
2004-02-12,169.36
2004-02-13,170.706
2004-02-16,170.592
2004-02-17,171.992
2004-02-18,171.914
2004-02-19,170.287
2004-02-20,169.26
2004-02-23,168.626
2004-02-24,167.965
2004-02-25,168.477
2004-02-26,169.002
2004-02-27,170.638
2004-03-01,173.391
2004-03-02,174.637
2004-03-03,172.578
2004-03-04,173.444
2004-03-05,174.491
2004-03-08,174.574
2004-03-09,174.74
2004-03-10,171.376
2004-03-11,168.661
2004-03-12,167.823
2004-03-15,166.825
2004-03-16,167.18
2004-03-17,169.068
2004-03-18,170.711
2004-03-19,171.223
2004-03-22,168.258
2004-03-23,167.368
2004-03-24,167.385
2004-03-25,166.242
2004-03-26,167.286
2004-03-29,169.826
2004-03-30,171.063
2004-03-31,173.16
2004-04-01,174.169
2004-04-02,175.433
2004-04-05,176.561
2004-04-06,176.91
2004-04-07,177.525
2004-04-08,178.182
2004-04-09,177.603
2004-04-12,178.726
2004-04-13,177.665
2004-04-14,175.377
2004-04-15,174.114
2004-04-16,173.715
2004-04-19,173.419
2004-04-20,173.529
2004-04-21,171.589
2004-04-22,169.989
2004-04-23,171.688
2004-04-26,170.302
2004-04-27,169.233
2004-04-28,166.87
2004-04-29,162.187
2004-04-30,159.373
2004-05-03,159.08
2004-05-04,161.886
2004-05-05,161.73
2004-05-06,159.483
2004-05-07,157.658
2004-05-10,150.244
2004-05-11,151.366
2004-05-12,153.214
2004-05-13,151.417
2004-05-14,148.28
2004-05-17,143.44
2004-05-18,145.821
2004-05-19,151.758
2004-05-20,149.851
2004-05-21,151.741
2004-05-24,153.067
2004-05-25,152.869
2004-05-26,154.173
2004-05-27,156.695
2004-05-28,156.832
2004-05-31,155.961
2004-06-01,156.13
2004-06-02,156.0
2004-06-03,152.904
2004-06-04,153.695
2004-06-07,158.176
2004-06-08,158.033
2004-06-09,156.851
2004-06-10,155.711
2004-06-11,153.464
2004-06-14,151.034
2004-06-15,152.408
2004-06-16,152.383
2004-06-17,153.711
2004-06-18,152.942
2004-06-21,153.758
2004-06-22,153.195
2004-06-23,154.109
2004-06-24,156.424
2004-06-25,157.624
2004-06-28,156.956
2004-06-29,156.865
2004-06-30,158.228
2004-07-01,158.913
2004-07-02,157.978
2004-07-05,157.792
2004-07-06,157.896
2004-07-07,159.138
2004-07-08,157.261
2004-07-09,157.778
2004-07-12,158.395
2004-07-13,158.321
2004-07-14,157.23
2004-07-15,156.975
2004-07-16,158.205
2004-07-19,159.156
2004-07-20,157.835
2004-07-21,158.307
2004-07-22,156.964
2004-07-23,155.986
2004-07-26,154.853
2004-07-27,155.405
2004-07-28,155.745
2004-07-29,155.349
2004-07-30,156.569
2004-08-02,155.813
2004-08-03,156.096
2004-08-04,156.055
2004-08-05,156.967
2004-08-06,155.921
2004-08-09,156.909
2004-08-10,157.338
2004-08-11,155.904
2004-08-12,156.12
2004-08-13,156.363
2004-08-16,156.54
2004-08-17,157.026
2004-08-18,157.626
2004-08-19,159.526
2004-08-20,159.982
2004-08-23,159.798
2004-08-24,159.924
2004-08-25,160.655
2004-08-26,161.837
2004-08-27,161.969
2004-08-30,162.224
2004-08-31,162.723
2004-09-01,164.23
2004-09-02,165.412
2004-09-03,164.881
2004-09-06,165.843
2004-09-07,166.075
2004-09-08,166.171
2004-09-09,166.653
2004-09-10,167.963
2004-09-13,169.438
2004-09-14,170.313
2004-09-15,169.731
2004-09-16,171.264
2004-09-17,171.448
2004-09-20,172.697
2004-09-21,173.615
2004-09-22,172.265
2004-09-23,172.496
2004-09-24,172.308
2004-09-27,171.79
2004-09-28,172.06
2004-09-29,172.34
2004-09-30,173.241
2004-10-01,176.159
2004-10-04,179.783
2004-10-05,179.961
2004-10-06,180.016
2004-10-07,180.696
2004-10-08,181.23
2004-10-11,181.307
2004-10-12,178.469
2004-10-13,176.648
2004-10-14,175.184
2004-10-15,175.901
2004-10-18,176.865
2004-10-19,177.596
2004-10-20,175.197
2004-10-21,176.171
2004-10-22,176.941
2004-10-25,175.198
2004-10-26,175.769
2004-10-27,177.264
2004-10-28,178.489
2004-10-29,178.848
2004-11-01,179.387
2004-11-02,180.911
2004-11-03,183.215
2004-11-04,183.555
2004-11-05,185.236
2004-11-08,184.706
2004-11-09,185.136
2004-11-10,185.785
2004-11-11,186.03
2004-11-12,188.217
2004-11-15,189.301
2004-11-16,188.521
2004-11-17,191.426
2004-11-18,191.286
2004-11-19,190.125
2004-11-22,188.866
2004-11-23,190.273
2004-11-24,192.133
2004-11-25,193.144
2004-11-26,193.321
2004-11-29,194.809
2004-11-30,196.186
2004-12-01,197.005
2004-12-02,198.208
2004-12-03,197.921
2004-12-06,198.359
2004-12-07,197.015
2004-12-08,194.249
2004-12-09,192.847
2004-12-10,191.473
2004-12-13,192.633
2004-12-14,194.217
2004-12-15,196.534
2004-12-16,197.298
2004-12-17,197.121
2004-12-20,198.588
2004-12-21,199.636
2004-12-22,199.9
2004-12-23,201.101
2004-12-24,201.716
2004-12-27,202.242
2004-12-28,202.911
2004-12-29,203.101
2004-12-30,204.281
2004-12-31,205.38
2005-01-03,205.036
2005-01-04,202.079
2005-01-05,199.596
2005-01-06,197.433
2005-01-07,197.256
2005-01-10,197.821
2005-01-11,198.706
2005-01-12,198.81
2005-01-13,199.748
2005-01-14,200.175
2005-01-17,201.357
2005-01-18,200.357
2005-01-19,201.028
2005-01-20,199.268
2005-01-21,199.335
2005-01-24,199.964
2005-01-25,199.995
2005-01-26,201.791
2005-01-27,202.2
2005-01-28,202.715
2005-01-31,205.04
2005-02-01,204.984
2005-02-02,205.982
2005-02-03,207.495
2005-02-04,208.907
2005-02-07,209.479
2005-02-08,208.829
2005-02-09,209.825
2005-02-10,209.562
2005-02-11,210.451
2005-02-14,212.871
2005-02-15,213.643
2005-02-16,213.891
2005-02-17,214.718
2005-02-18,215.438
2005-02-21,215.977
2005-02-22,217.627
2005-02-23,217.529
2005-02-24,219.791
2005-02-25,221.963
2005-02-28,224.629
2005-03-01,223.817
2005-03-02,221.829
2005-03-03,222.323
2005-03-04,223.877
2005-03-07,224.71
2005-03-08,224.345
2005-03-09,224.42
2005-03-10,222.314
2005-03-11,223.194
2005-03-14,220.534
2005-03-15,216.67
2005-03-16,216.42
2005-03-17,215.613
2005-03-18,215.611
2005-03-21,214.267
2005-03-22,213.167
2005-03-23,209.518
2005-03-24,208.339
2005-03-25,209.216
2005-03-28,207.8
2005-03-29,205.545
2005-03-30,206.014
2005-03-31,208.936
2005-04-01,212.212
2005-04-04,210.524
2005-04-05,210.834
2005-04-06,211.86
2005-04-07,212.544
2005-04-08,212.069
2005-04-11,211.579
2005-04-12,211.132
2005-04-13,211.925
2005-04-14,207.761
2005-04-15,204.915
2005-04-18,201.265
2005-04-19,204.092
2005-04-20,204.694
2005-04-21,205.391
2005-04-22,205.868
2005-04-25,207.178
2005-04-26,208.043
2005-04-27,206.238
2005-04-28,203.935
2005-04-29,204.376
2005-05-02,205.237
2005-05-03,205.537
2005-05-04,208.834
2005-05-05,210.821
2005-05-06,211.597
2005-05-09,211.167
2005-05-10,209.94
2005-05-11,208.726
2005-05-12,207.158
2005-05-13,205.782
2005-05-16,205.175
2005-05-17,205.076
2005-05-18,206.45
2005-05-19,208.315
2005-05-20,207.792
2005-05-23,207.193
2005-05-24,207.865
2005-05-25,207.513
2005-05-26,208.077
2005-05-27,210.374
2005-05-30,211.086
2005-05-31,209.43
2005-06-01,208.907
2005-06-02,210.858
2005-06-03,212.574
2005-06-06,212.782
2005-06-07,212.29
2005-06-08,212.891
2005-06-09,212.087
2005-06-10,213.546
2005-06-13,213.72
2005-06-14,214.385
2005-06-15,216.224
2005-06-16,217.275
2005-06-17,219.284
2005-06-20,219.067
2005-06-21,218.649
2005-06-22,220.625
2005-06-23,220.053
2005-06-24,218.97
2005-06-27,218.599
2005-06-28,218.91
2005-06-29,218.415
2005-06-30,218.293
2005-07-01,219.413
2005-07-04,218.691
2005-07-05,217.8
2005-07-06,218.602
2005-07-07,217.18
2005-07-08,217.949
2005-07-11,221.277
2005-07-12,224.519
2005-07-13,224.903
2005-07-14,226.141
2005-07-15,224.318
2005-07-18,224.58
2005-07-19,225.27
2005-07-20,226.409
2005-07-21,227.908
2005-07-22,229.386
2005-07-25,229.491
2005-07-26,228.062
2005-07-27,229.645
2005-07-28,232.015
2005-07-29,232.818
2005-08-01,234.643
2005-08-02,237.791
2005-08-03,239.039
2005-08-04,239.319
2005-08-05,238.346
2005-08-08,238.536
2005-08-09,239.17
2005-08-10,241.204
2005-08-11,241.823
2005-08-12,241.109
2005-08-15,241.149
2005-08-16,239.889
2005-08-17,238.756
2005-08-18,235.764
2005-08-19,234.011
2005-08-22,236.967
2005-08-23,236.046
2005-08-24,234.035
2005-08-25,234.484
2005-08-26,234.07
2005-08-29,232.424
2005-08-30,233.309
2005-08-31,235.684
2005-09-01,240.165
2005-09-02,242.767
2005-09-05,242.96
2005-09-06,243.561
2005-09-07,244.19
2005-09-08,244.48
2005-09-09,246.082
2005-09-12,247.236
2005-09-13,246.197
2005-09-14,246.736
2005-09-15,248.002
2005-09-16,248.979
2005-09-19,250.221
2005-09-20,251.663
2005-09-21,252.941
2005-09-22,251.274
2005-09-23,249.508
2005-09-26,251.262
2005-09-27,252.485
2005-09-28,253.777
2005-09-29,256.03
2005-09-30,258.323
2005-10-03,258.865
2005-10-04,259.241
2005-10-05,254.437
2005-10-06,247.914
2005-10-07,248.135
2005-10-10,249.82
2005-10-11,251.383
2005-10-12,248.26
2005-10-13,242.766
2005-10-14,240.988
2005-10-17,242.534
2005-10-18,240.204
2005-10-19,235.207
2005-10-20,235.259
2005-10-21,236.165
2005-10-24,237.849
2005-10-25,237.875
2005-10-26,238.52
2005-10-27,235.465
2005-10-28,234.675
2005-10-31,239.206
2005-11-01,242.454
2005-11-02,245.349
2005-11-03,246.694
2005-11-04,245.52
2005-11-07,245.515
