Date,UNITED KINGDOM VALUE Standard (Large+Mid Cap)
2002-09-10,7995.808
2002-09-11,8019.519
2002-09-12,7801.235
2002-09-13,7671.357
2002-09-16,7682.635
2002-09-17,7569.739
2002-09-18,7325.09
2002-09-19,7248.813
2002-09-20,7347.326
2002-09-23,7151.705
2002-09-24,6994.119
2002-09-25,6998.094
2002-09-26,7259.458
2002-09-27,7318.324
2002-09-30,7023.858
2002-10-01,7128.849
2002-10-02,7291.128
2002-10-03,7261.649
2002-10-04,7134.612
2002-10-07,7066.487
2002-10-08,6954.98
2002-10-09,6999.139
2002-10-10,7092.167
2002-10-11,7457.635
2002-10-14,7318.776
2002-10-15,7728.996
2002-10-16,7586.97
2002-10-17,7783.629
2002-10-18,7746.573
2002-10-21,7735.723
2002-10-22,7668.032
2002-10-23,7515.407
2002-10-24,7761.644
2002-10-25,7679.022
2002-10-28,7767.661
2002-10-29,7459.636
2002-10-30,7576.399
2002-10-31,7681.373
2002-11-01,7612.241
2002-11-04,7842.405
2002-11-05,7882.477
2002-11-06,7742.924
2002-11-07,7814.339
2002-11-08,7750.307
2002-11-11,7713.728
2002-11-12,7896.666
2002-11-13,7804.269
2002-11-14,7808.064
2002-11-15,7927.71
2002-11-18,8032.478
2002-11-19,8017.234
2002-11-20,7951.891
2002-11-21,8168.82
2002-11-22,8165.368
2002-11-25,7987.431
2002-11-26,7854.483
2002-11-27,7926.428
2002-11-28,8116.372
2002-11-29,8089.05
2002-12-02,8072.145
2002-12-03,7949.299
2002-12-04,7894.321
2002-12-05,7855.722
2002-12-06,7836.548
2002-12-09,7673.069
2002-12-10,7631.54
2002-12-11,7745.818
2002-12-12,7645.524
2002-12-13,7570.593
2002-12-16,7811.2
2002-12-17,7736.64
2002-12-18,7601.891
2002-12-19,7605.771
2002-12-20,7698.95
2002-12-23,7736.314
2002-12-24,7758.403
2002-12-25,7758.403
2002-12-26,7756.945
2002-12-27,7568.469
2002-12-30,7715.988
2002-12-31,7808.185
2003-01-01,7808.185
2003-01-02,7900.466
2003-01-03,7960.262
2003-01-06,8008.92
2003-01-07,7897.804
2003-01-08,7779.588
2003-01-09,7829.99
2003-01-10,7950.245
2003-01-13,7897.678
2003-01-14,7911.826
2003-01-15,7771.541
2003-01-16,7785.406
2003-01-17,7695.238
2003-01-20,7550.409
2003-01-21,7492.759
2003-01-22,7408.282
2003-01-23,7341.296
2003-01-24,7362.794
2003-01-27,7145.783
2003-01-28,7181.494
2003-01-29,7163.374
2003-01-30,7335.802
2003-01-31,7287.676
2003-02-03,7523.9
2003-02-04,7364.879
2003-02-05,7560.098
2003-02-06,7356.988
2003-02-07,7354.854
2003-02-10,7291.545
2003-02-11,7421.396
2003-02-12,7346.596
2003-02-13,7381.278
2003-02-14,7338.508
2003-02-17,7441.979
2003-02-18,7462.108
2003-02-19,7346.972
2003-02-20,7397.075
2003-02-21,7446.506
2003-02-24,7390.827
2003-02-25,7189.988
2003-02-26,7196.749
2003-02-27,7149.344
2003-02-28,7303.05
2003-03-03,7394.056
2003-03-04,7282.169
2003-03-05,7271.379
2003-03-06,7270.686
2003-03-07,7138.546
2003-03-10,6972.155
2003-03-11,7038.087
2003-03-12,6751.663
2003-03-13,7106.387
2003-03-14,7251.655
2003-03-17,7450.252
2003-03-18,7442.074
2003-03-19,7500.348
2003-03-20,7515.75
2003-03-21,7688.663
2003-03-24,7519.75
2003-03-25,7498.493
2003-03-26,7566.573
2003-03-27,7414.283
2003-03-28,7370.745
2003-03-31,7249.664
2003-04-01,7367.43
2003-04-02,7482.511
2003-04-03,7541.984
2003-04-04,7576.122
2003-04-07,7735.048
2003-04-08,7593.26
2003-04-09,7599.271
2003-04-10,7595.643
2003-04-11,7589.78
2003-04-14,7684.506
2003-04-15,7818.606
2003-04-16,7744.457
2003-04-17,7798.861
2003-04-18,7798.861
2003-04-21,7725.014
2003-04-22,7857.284
2003-04-23,7970.498
2003-04-24,7918.878
2003-04-25,7804.735
2003-04-28,7973.799
2003-04-29,7978.788
2003-04-30,7966.091
2003-05-01,7890.221
2003-05-02,8014.68
2003-05-05,8029.676
2003-05-06,8182.558
2003-05-07,8049.86
2003-05-08,7958.046
2003-05-09,8060.534
2003-05-12,8116.948
2003-05-13,8134.548
2003-05-14,8161.365
2003-05-15,8299.357
2003-05-16,8353.449
2003-05-19,8225.378
2003-05-20,8293.68
2003-05-21,8271.597
2003-05-22,8325.365
2003-05-23,8357.41
2003-05-26,8361.237
2003-05-27,8401.08
2003-05-28,8552.922
2003-05-29,8691.619
2003-05-30,8581.712
2003-06-02,8748.384
2003-06-03,8692.891
2003-06-04,8719.183
2003-06-05,8800.035
2003-06-06,8960.442
2003-06-09,8831.472
2003-06-10,8806.555
2003-06-11,8997.286
2003-06-12,9055.522
2003-06-13,9012.164
2003-06-16,9118.765
2003-06-17,9243.308
2003-06-18,9210.524
2003-06-19,9050.294
2003-06-20,9066.67
2003-06-23,8953.349
2003-06-24,8854.47
2003-06-25,8916.62
2003-06-26,8825.759
2003-06-27,8807.125
2003-06-30,8760.268
2003-07-01,8676.364
2003-07-02,8773.52
2003-07-03,8837.777
2003-07-04,8816.509
2003-07-07,8902.074
2003-07-08,8850.71
2003-07-09,8779.828
2003-07-10,8717.663
2003-07-11,8803.034
2003-07-14,8915.616
2003-07-15,8772.732
2003-07-16,8677.865
2003-07-17,8609.383
2003-07-18,8627.665
2003-07-21,8664.405
2003-07-22,8729.369
2003-07-23,8771.414
2003-07-24,8916.63
2003-07-25,8917.269
2003-07-28,8998.862
2003-07-29,8969.852
2003-07-30,8968.482
2003-07-31,8992.23
2003-08-01,8881.675
2003-08-04,8901.255
2003-08-05,8935.839
2003-08-06,8849.255
2003-08-07,8939.884
2003-08-08,8991.117
2003-08-11,9010.866
2003-08-12,9038.431
2003-08-13,9117.321
2003-08-14,9185.388
2003-08-15,9169.205
2003-08-18,9210.847
2003-08-19,9159.626
2003-08-20,9165.887
2003-08-21,9159.447
2003-08-22,9128.365
2003-08-25,9135.907
2003-08-26,9011.419
2003-08-27,9066.461
2003-08-28,9070.921
2003-08-29,9030.685
2003-09-01,9074.54
2003-09-02,9103.841
2003-09-03,9227.899
2003-09-04,9231.189
2003-09-05,9225.518
2003-09-08,9300.028
2003-09-09,9230.802
2003-09-10,9176.168
2003-09-11,9188.433
2003-09-12,9248.482
2003-09-15,9278.169
2003-09-16,9308.68
2003-09-17,9380.134
2003-09-18,9493.036
2003-09-19,9459.947
2003-09-22,9492.614
2003-09-23,9470.741
2003-09-24,9529.407
2003-09-25,9491.699
2003-09-26,9379.023
2003-09-29,9367.226
2003-09-30,9257.609
2003-10-01,9472.874
2003-10-02,9580.844
2003-10-03,9704.992
2003-10-06,9746.758
2003-10-07,9752.257
2003-10-08,9688.208
2003-10-09,9786.962
2003-10-10,9785.091
2003-10-13,9902.268
2003-10-14,9844.713
2003-10-15,9941.746
2003-10-16,9945.398
2003-10-17,9892.024
2003-10-20,9965.025
2003-10-21,9983.286
2003-10-22,9902.406
2003-10-23,9756.109
2003-10-24,9812.275
2003-10-27,9823.271
2003-10-28,9864.703
2003-10-29,9909.181
2003-10-30,9964.93
2003-10-31,9946.106
2003-11-03,9991.035
2003-11-04,9982.315
2003-11-05,9940.817
2003-11-06,9892.451
2003-11-07,10017.854
2003-11-10,9970.708
2003-11-11,9916.703
2003-11-12,10016.956
2003-11-13,10053.277
2003-11-14,10078.826
2003-11-17,9966.334
2003-11-18,10003.095
2003-11-19,9967.81
2003-11-20,9927.142
2003-11-21,9959.153
2003-11-24,10044.497
2003-11-25,10080.581
2003-11-26,10139.203
2003-11-27,10139.441
2003-11-28,10166.365
2003-12-01,10316.547
2003-12-02,10271.851
2003-12-03,10319.749
2003-12-04,10247.467
2003-12-05,10255.177
2003-12-08,10290.147
2003-12-09,10424.841
2003-12-10,10368.382
2003-12-11,10326.868
2003-12-12,10405.438
2003-12-15,10422.613
2003-12-16,10390.623
2003-12-17,10539.322
2003-12-18,10681.661
2003-12-19,10756.551
2003-12-22,10781.562
2003-12-23,10821.302
2003-12-24,10869.522
2003-12-25,10869.522
2003-12-26,10881.472
2003-12-29,10888.041
2003-12-30,10984.848
2003-12-31,11059.762
2004-01-01,11059.762
2004-01-02,11120.65
2004-01-05,11223.889
2004-01-06,11312.754
2004-01-07,11215.523
2004-01-08,11307.896
2004-01-09,11290.898
2004-01-12,11290.334
2004-01-13,11234.98
2004-01-14,11208.711
2004-01-15,11137.686
2004-01-16,11079.954
2004-01-19,11068.007
2004-01-20,11191.997
2004-01-21,11336.753
2004-01-22,11309.225
2004-01-23,11197.772
2004-01-26,11055.664
2004-01-27,11037.622
2004-01-28,11198.636
2004-01-29,10969.032
2004-01-30,10941.082
2004-02-02,10919.543
2004-02-03,11046.565
2004-02-04,11001.383
2004-02-05,11003.482
2004-02-06,11134.757
2004-02-09,11303.766
2004-02-10,11247.46
2004-02-11,11284.893
2004-02-12,11369.232
2004-02-13,11427.051
2004-02-16,11465.898
2004-02-17,11643.84
2004-02-18,11641.194
2004-02-19,11714.579
2004-02-20,11606.341
2004-02-23,11581.589
2004-02-24,11628.007
2004-02-25,11657.749
2004-02-26,11561.142
2004-02-27,11510.982
2004-03-01,11691.905
2004-03-02,11553.045
2004-03-03,11405.905
2004-03-04,11476.841
2004-03-05,11570.566
2004-03-08,11580.094
2004-03-09,11512.437
2004-03-10,11343.838
2004-03-11,11079.465
2004-03-12,11092.71
2004-03-15,11006.525
2004-03-16,11182.122
2004-03-17,11251.513
2004-03-18,11227.869
2004-03-19,11291.079
2004-03-22,11146.546
2004-03-23,11128.255
2004-03-24,11061.293
2004-03-25,11073.619
2004-03-26,10991.334
2004-03-29,11171.904
2004-03-30,11266.046
2004-03-31,11295.533
2004-04-01,11462.532
2004-04-02,11443.283
2004-04-05,11423.176
2004-04-06,11524.877
2004-04-07,11532.193
2004-04-08,11558.664
2004-04-09,11558.664
2004-04-12,11558.664
2004-04-13,11531.061
2004-04-14,11289.692
2004-04-15,11288.648
2004-04-16,11442.644
2004-04-19,11504.039
2004-04-20,11480.521
2004-04-21,11277.219
2004-04-22,11322.617
2004-04-23,11345.818
2004-04-26,11457.437
2004-04-27,11502.926
2004-04-28,11359.323
2004-04-29,11321.158
2004-04-30,11213.319
2004-05-03,11221.539
2004-05-04,11470.643
2004-05-05,11474.462
2004-05-06,11417.214
2004-05-07,11308.208
2004-05-10,10991.032
2004-05-11,11016.121
2004-05-12,11050.988
2004-05-13,11097.481
2004-05-14,11062.267
2004-05-17,10996.401
2004-05-18,10994.36
2004-05-19,11212.165
2004-05-20,11061.729
2004-05-21,11182.51
2004-05-24,11198.419
2004-05-25,11372.359
2004-05-26,11459.677
2004-05-27,11606.525
2004-05-28,11544.811
2004-05-31,11544.811
2004-06-01,11569.901
2004-06-02,11669.952
2004-06-03,11672.955
2004-06-04,11687.904
2004-06-07,11787.185
2004-06-08,11800.092
2004-06-09,11689.157
2004-06-10,11732.43
2004-06-11,11639.509
2004-06-14,11529.403
2004-06-15,11598.593
2004-06-16,11742.982
2004-06-17,11778.826
2004-06-18,11849.221
2004-06-21,11787.197
2004-06-22,11646.837
2004-06-23,11699.54
2004-06-24,11769.667
2004-06-25,11731.529
2004-06-28,11856.575
2004-06-29,11715.218
2004-06-30,11653.386
2004-07-01,11575.176
2004-07-02,11587.545
2004-07-05,11603.336
2004-07-06,11609.212
2004-07-07,11659.911
2004-07-08,11730.683
2004-07-09,11771.827
2004-07-12,11754.577
2004-07-13,11691.941
2004-07-14,11700.15
2004-07-15,11591.329
2004-07-16,11753.956
2004-07-19,11714.641
2004-07-20,11648.306
2004-07-21,11643.563
2004-07-22,11518.231
2004-07-23,11471.806
2004-07-26,11438.59
2004-07-27,11414.131
2004-07-28,11501.753
2004-07-29,11642.472
2004-07-30,11639.164
2004-08-02,11721.434
2004-08-03,11749.074
2004-08-04,11707.206
2004-08-05,11720.272
2004-08-06,11693.602
2004-08-09,11625.583
2004-08-10,11742.159
2004-08-11,11582.361
2004-08-12,11595.877
2004-08-13,11633.824
2004-08-16,11736.584
2004-08-17,11653.62
2004-08-18,11637.095
2004-08-19,11688.283
2004-08-20,11655.832
2004-08-23,11679.66
2004-08-24,11575.101
2004-08-25,11624.941
2004-08-26,11675.192
2004-08-27,11781.214
2004-08-30,11777.931
2004-08-31,11747.299
2004-09-01,11845.067
2004-09-02,11869.388
2004-09-03,11855.093
2004-09-06,11896.784
2004-09-07,11861.652
2004-09-08,11904.944
2004-09-09,11894.607
2004-09-10,12032.2
2004-09-13,12032.606
2004-09-14,12033.987
2004-09-15,11913.867
2004-09-16,12027.241
2004-09-17,12132.257
2004-09-20,12097.89
2004-09-21,12255.889
2004-09-22,12190.75
2004-09-23,12142.244
2004-09-24,12231.511
2004-09-27,12184.562
2004-09-28,12262.164
2004-09-29,12217.844
2004-09-30,12220.73
2004-10-01,12359.859
2004-10-04,12343.212
2004-10-05,12426.506
2004-10-06,12431.999
2004-10-07,12458.94
2004-10-08,12516.745
2004-10-11,12512.999
2004-10-12,12352.42
2004-10-13,12307.716
2004-10-14,12388.154
2004-10-15,12414.227
2004-10-18,12378.618
2004-10-19,12421.577
2004-10-20,12390.065
2004-10-21,12448.917
2004-10-22,12452.72
2004-10-25,12408.561
2004-10-26,12440.628
2004-10-27,12539.734
2004-10-28,12536.135
2004-10-29,12463.37
2004-11-01,12602.979
2004-11-02,12688.315
2004-11-03,12819.665
2004-11-04,12820.759
2004-11-05,12894.431
2004-11-08,12928.215
2004-11-09,12907.702
2004-11-10,12888.369
2004-11-11,12960.057
2004-11-12,13060.64
2004-11-15,13084.388
2004-11-16,12997.234
2004-11-17,13043.976
2004-11-18,13015.493
2004-11-19,13020.975
2004-11-22,12943.007
2004-11-23,13062.392
2004-11-24,13075.574
2004-11-25,13234.304
2004-11-26,13241.754
2004-11-29,13251.09
2004-11-30,13272.694
2004-12-01,13481.108
2004-12-02,13497.103
2004-12-03,13598.324
2004-12-06,13571.889
2004-12-07,13581.016
2004-12-08,13423.331
2004-12-09,13318.989
2004-12-10,13348.227
2004-12-13,13526.33
2004-12-14,13553.874
2004-12-15,13751.56
2004-12-16,13671.523
2004-12-17,13616.31
2004-12-20,13822.536
2004-12-21,13652.227
2004-12-22,13687.684
2004-12-23,13763.115
2004-12-24,13844.439
2004-12-27,13898.339
2004-12-28,13864.202
2004-12-29,13831.936
2004-12-30,13866.927
2004-12-31,13827.043
2005-01-03,13706.41
2005-01-04,13702.041
2005-01-05,13622.335
