Date,WORLD ex USA LARGE GROWTH Large Cap
2009-01-30,580.502
2009-02-27,526.145
2009-03-31,557.688
2009-04-30,604.654
2009-05-29,683.908
2009-06-30,676.746
2009-07-31,735.754
2009-08-31,751.599
2009-09-30,785.107
2009-10-30,784.941
2009-11-30,805.845
2009-12-31,822.401
2010-01-29,782.928
2010-02-26,788.065
2010-03-31,838.525
2010-04-30,826.307
2010-05-31,740.393
2010-06-30,736.235
2010-07-30,795.182
2010-08-31,777.617
2010-09-30,854.477
2010-10-29,882.678
2010-11-30,858.804
2010-12-31,924.048
2011-01-31,925.895
2011-02-28,959.369
2011-03-31,943.528
2011-04-29,997.93
2011-05-31,974.128
2011-06-30,958.066
2011-07-29,952.775
2011-08-31,875.917
2011-09-30,776.735
2011-10-31,857.498
2011-11-30,823.886
2011-12-30,809.662
2012-01-31,854.46
2012-02-29,902.984
2012-03-30,900.325
2012-04-30,893.447
2012-05-31,796.569
2012-06-29,838.449
2012-07-31,852.571
2012-08-31,870.142
2012-09-28,891.903
2012-10-31,894.594
2012-11-30,917.488
2012-12-31,940.166
2013-01-31,983.458
2013-02-28,987.165
2013-03-29,1001.686
2013-04-30,1040.767
2013-05-31,1020.063
2013-06-28,984.837
2013-07-31,1028.735
2013-08-30,1014.241
2013-09-30,1081.37
2013-10-31,1110.896
2013-11-29,1121.554
2013-12-31,1139.386
2014-01-31,1084.605
2014-02-28,1141.878
2014-03-31,1138.787
2014-04-30,1150.755
2014-05-30,1174.878
2014-06-30,1188.304
2014-07-31,1164.096
2014-08-29,1170.394
2014-09-30,1133.123
2014-10-31,1124.027
2014-11-28,1147.702
2014-12-31,1105.454
2015-01-30,1112.291
2015-02-27,1174.938
2015-03-31,1164.082
2015-04-30,1210.058
2015-05-29,1205.074
2015-06-30,1172.054
2015-07-31,1200.083
2015-08-31,1107.611
2015-09-30,1062.204
2015-10-30,1145.177
2015-11-30,1133.062
2015-12-31,1118.626
2016-01-29,1053.735
2016-02-29,1034.307
2016-03-31,1098.426
2016-04-29,1121.148
2016-05-31,1117.288
2016-06-30,1106.103
2016-07-29,1155.74
2016-08-31,1140.347
2016-09-30,1158.134
2016-10-31,1109.167
2016-11-30,1072.219
2016-12-30,1095.681
2017-01-31,1127.482
2017-02-28,1152.281
2017-03-31,1185.559
2017-04-28,1216.991
2017-05-31,1277.62
2017-06-30,1270.375
2017-07-31,1299.353
2017-08-31,1305.892
2017-09-29,1329.787
2017-10-31,1355.818
2017-11-30,1371.306
2017-12-29,1395.801
2018-01-31,1454.049
2018-02-28,1388.62
2018-03-30,1374.194
2018-04-30,1399.481
2018-05-31,1399.841
2018-06-29,1386.422
2018-07-31,1419.714
2018-08-31,1415.482
2018-09-28,1414.771
2018-10-31,1293.26
2018-11-30,1308.353
2018-12-31,1242.428
2019-01-31,1327.06
2019-02-28,1374.641
2019-03-29,1402.858
2019-04-30,1449.197
2019-05-31,1400.637
2019-06-28,1491.774
2019-07-31,1487.355
2019-08-30,1473.056
2019-09-30,1488.126
2019-10-31,1532.21
2019-11-29,1556.994
2019-12-31,1600.47
2020-01-31,1600.489
2020-02-28,1468.733
2020-03-31,1344.001
2020-04-30,1446.698
2020-05-29,1514.936
2020-06-30,1571.416
2020-07-31,1647.487
2020-08-31,1713.558
2020-09-30,1699.186
2020-10-30,1624.174
2020-11-30,1821.763
2020-12-31,1908.306
2021-01-29,1876.469
2021-02-26,1884.147
2021-03-31,1906.048
2021-04-30,1982.583
2021-05-31,2050.81
2021-06-30,2055.335
2021-07-30,2091.632
2021-08-31,2139.061
2021-09-30,2055.83
2021-10-29,2139.278
2021-11-30,2069.94
2021-12-31,2161.443
2022-01-31,1950.404
2022-02-28,1905.577
2022-03-31,1932.333
2022-04-29,1777.108
2022-05-31,1757.335
2022-06-30,1610.657
2022-07-29,1736.921
2022-08-31,1635.743
2022-09-30,1485.499
2022-10-31,1553.833
2022-11-30,1729.299
2022-12-30,1702.819
2023-01-31,1845.809
2023-02-28,1789.949
2023-03-31,1888.455
2023-04-28,1938.57
2023-05-31,1876.013
2023-06-30,1954.39
2023-07-31,1985.152
2023-08-31,1892.367
2023-09-29,1781.835
2023-10-31,1721.655
2023-11-30,1906.72
2023-12-29,2010.754
2024-01-31,2042.703
2024-02-29,2109.594
2024-03-29,2162.084
2024-04-30,2081.303
2024-05-31,2160.219
2024-06-28,2154.322
2024-07-31,2179.506
2024-08-30,2262.781
2024-09-30,2263.58
2024-10-31,2134.823
2024-11-29,2136.125
2024-12-31,2067.98
2025-01-31,2182.27
2025-02-28,2186.1
2025-03-31,2110.624
2025-04-30,2212.794
2025-05-30,2327.702
2025-06-30,2385.892
2025-07-31,2312.864
