Date,IRELAND IMI GROWTH IMI (Large+Mid+Small Cap)
2002-12-25,229.037
2002-12-26,229.614
2002-12-27,229.141
2002-12-30,232.076
2002-12-31,232.909
2003-01-01,232.909
2003-01-02,238.721
2003-01-03,244.251
2003-01-06,247.916
2003-01-07,246.309
2003-01-08,243.998
2003-01-09,246.564
2003-01-10,250.227
2003-01-13,251.759
2003-01-14,254.304
2003-01-15,249.868
2003-01-16,246.537
2003-01-17,244.649
2003-01-20,246.131
2003-01-21,247.774
2003-01-22,246.614
2003-01-23,244.917
2003-01-24,246.139
2003-01-27,239.603
2003-01-28,237.011
2003-01-29,237.043
2003-01-30,246.146
2003-01-31,244.551
2003-02-03,251.749
2003-02-04,246.039
2003-02-05,243.064
2003-02-06,239.579
2003-02-07,238.484
2003-02-10,240.73
2003-02-11,241.579
2003-02-12,239.691
2003-02-13,246.505
2003-02-14,248.666
2003-02-17,249.651
2003-02-18,250.331
2003-02-19,249.984
2003-02-20,254.259
2003-02-21,251.294
2003-02-24,247.482
2003-02-25,240.327
2003-02-26,240.737
2003-02-27,238.769
2003-02-28,245.375
2003-03-03,247.248
2003-03-04,249.113
2003-03-05,247.026
2003-03-06,246.991
2003-03-07,245.56
2003-03-10,246.915
2003-03-11,240.848
2003-03-12,235.064
2003-03-13,235.449
2003-03-14,234.308
2003-03-17,233.424
2003-03-18,237.786
2003-03-19,239.623
2003-03-20,240.028
2003-03-21,245.814
2003-03-24,246.26
2003-03-25,242.1
2003-03-26,244.661
2003-03-27,243.567
2003-03-28,240.142
2003-03-31,242.02
2003-04-01,243.278
2003-04-02,242.188
2003-04-03,243.256
2003-04-04,247.12
2003-04-07,247.186
2003-04-08,245.64
2003-04-09,248.306
2003-04-10,247.476
2003-04-11,247.258
2003-04-14,248.654
2003-04-15,252.824
2003-04-16,260.111
2003-04-17,259.003
2003-04-18,259.017
2003-04-21,257.9
2003-04-22,260.816
2003-04-23,266.462
2003-04-24,268.76
2003-04-25,266.193
2003-04-28,268.938
2003-04-29,268.738
2003-04-30,271.715
2003-05-01,273.512
2003-05-02,277.787
2003-05-05,279.222
2003-05-06,285.596
2003-05-07,285.433
2003-05-08,284.629
2003-05-09,286.799
2003-05-12,289.598
2003-05-13,286.041
2003-05-14,287.377
2003-05-15,293.21
2003-05-16,296.125
2003-05-19,291.907
2003-05-20,293.057
2003-05-21,293.148
2003-05-22,301.33
2003-05-23,302.728
2003-05-26,305.302
2003-05-27,305.419
2003-05-28,299.794
2003-05-29,300.272
2003-05-30,292.979
2003-06-02,291.883
2003-06-03,302.3
2003-06-04,301.916
2003-06-05,309.73
2003-06-06,306.065
2003-06-09,304.506
2003-06-10,298.954
2003-06-11,300.225
2003-06-12,299.621
2003-06-13,302.04
2003-06-16,304.583
2003-06-17,308.998
2003-06-18,303.378
2003-06-19,301.566
2003-06-20,301.321
2003-06-23,297.647
2003-06-24,296.904
2003-06-25,299.242
2003-06-26,289.012
2003-06-27,287.177
2003-06-30,290.969
2003-07-01,292.505
2003-07-02,292.878
2003-07-03,293.228
2003-07-04,291.825
2003-07-07,289.907
2003-07-08,284.432
2003-07-09,284.656
2003-07-10,286.98
2003-07-11,288.869
2003-07-14,290.91
2003-07-15,291.926
2003-07-16,287.136
2003-07-17,287.63
2003-07-18,289.901
2003-07-21,290.829
2003-07-22,291.791
2003-07-23,292.231
2003-07-24,289.746
2003-07-25,288.641
2003-07-28,289.56
2003-07-29,287.495
2003-07-30,288.289
2003-07-31,286.982
2003-08-01,287.96
2003-08-04,291.043
2003-08-05,288.903
2003-08-06,288.087
2003-08-07,293.544
2003-08-08,290.768
2003-08-11,292.247
2003-08-12,292.941
2003-08-13,294.927
2003-08-14,294.842
2003-08-15,294.797
2003-08-18,293.776
2003-08-19,293.41
2003-08-20,293.645
2003-08-21,290.267
2003-08-22,287.69
2003-08-25,289.871
2003-08-26,286.776
2003-08-27,290.179
2003-08-28,290.232
2003-08-29,294.579
2003-09-01,296.85
2003-09-02,293.145
2003-09-03,292.963
2003-09-04,295.539
2003-09-05,301.103
2003-09-08,303.041
2003-09-09,304.243
2003-09-10,302.533
2003-09-11,298.963
2003-09-12,302.779
2003-09-15,304.665
2003-09-16,305.772
2003-09-17,312.023
2003-09-18,313.147
2003-09-19,312.124
2003-09-22,318.185
2003-09-23,312.94
2003-09-24,311.205
2003-09-25,308.612
2003-09-26,307.338
2003-09-29,307.39
2003-09-30,308.467
2003-10-01,311.51
2003-10-02,311.697
2003-10-03,311.796
2003-10-06,315.803
2003-10-07,320.361
2003-10-08,322.866
2003-10-09,324.556
2003-10-10,324.577
2003-10-13,321.988
2003-10-14,322.948
2003-10-15,325.418
2003-10-16,326.483
2003-10-17,324.799
2003-10-20,324.112
2003-10-21,326.566
2003-10-22,330.284
2003-10-23,326.765
2003-10-24,327.894
2003-10-27,328.375
2003-10-28,326.908
2003-10-29,330.024
2003-10-30,330.245
2003-10-31,330.109
2003-11-03,326.719
2003-11-04,325.634
2003-11-05,324.021
2003-11-06,321.895
2003-11-07,325.182
2003-11-10,325.699
2003-11-11,327.034
2003-11-12,330.463
2003-11-13,332.699
2003-11-14,335.321
2003-11-17,330.281
2003-11-18,331.942
2003-11-19,331.15
2003-11-20,329.949
2003-11-21,330.42
2003-11-24,326.537
2003-11-25,328.88
2003-11-26,335.501
2003-11-27,340.934
2003-11-28,341.665
2003-12-01,342.499
2003-12-02,346.934
2003-12-03,351.151
2003-12-04,352.621
2003-12-05,352.714
2003-12-08,357.258
2003-12-09,358.984
2003-12-10,355.171
2003-12-11,353.979
2003-12-12,361.208
2003-12-15,363.747
2003-12-16,362.644
2003-12-17,366.451
2003-12-18,371.859
2003-12-19,372.264
2003-12-22,372.745
2003-12-23,371.406
2003-12-24,372.453
2003-12-25,372.453
2003-12-26,372.303
2003-12-29,376.683
2003-12-30,380.841
2003-12-31,382.379
2004-01-01,382.379
2004-01-02,387.675
2004-01-05,389.735
2004-01-06,390.239
2004-01-07,392.537
2004-01-08,398.282
2004-01-09,404.367
2004-01-12,404.58
2004-01-13,402.67
2004-01-14,406.921
2004-01-15,405.958
2004-01-16,401.281
2004-01-19,405.376
2004-01-20,410.762
2004-01-21,412.637
2004-01-22,419.23
2004-01-23,417.671
2004-01-26,411.937
2004-01-27,410.639
2004-01-28,399.469
2004-01-29,394.666
2004-01-30,392.306
2004-02-02,390.59
2004-02-03,393.249
2004-02-04,390.949
2004-02-05,394.814
2004-02-06,401.13
2004-02-09,405.651
2004-02-10,400.294
2004-02-11,397.28
2004-02-12,399.194
2004-02-13,398.801
2004-02-16,397.263
2004-02-17,398.762
2004-02-18,409.811
2004-02-19,414.772
2004-02-20,406.029
2004-02-23,410.931
2004-02-24,410.368
2004-02-25,412.215
2004-02-26,408.382
2004-02-27,414.249
2004-03-01,421.601
2004-03-02,423.892
2004-03-03,420.741
2004-03-04,423.306
2004-03-05,431.472
2004-03-08,431.978
2004-03-09,431.742
2004-03-10,419.594
2004-03-11,411.047
2004-03-12,409.46
2004-03-15,408.535
2004-03-16,412.97
2004-03-17,413.369
2004-03-18,422.08
2004-03-19,426.267
2004-03-22,417.159
2004-03-23,420.74
2004-03-24,415.558
2004-03-25,423.556
2004-03-26,423.0
2004-03-29,422.599
2004-03-30,423.594
2004-03-31,429.201
2004-04-01,435.786
2004-04-02,438.852
2004-04-05,435.034
2004-04-06,438.63
2004-04-07,438.521
2004-04-08,436.626
2004-04-09,436.626
2004-04-12,434.888
2004-04-13,432.069
2004-04-14,430.187
2004-04-15,429.459
2004-04-16,432.249
2004-04-19,438.062
2004-04-20,439.805
2004-04-21,436.928
2004-04-22,441.11
2004-04-23,444.627
2004-04-26,447.177
2004-04-27,450.633
2004-04-28,442.883
2004-04-29,448.432
2004-04-30,442.471
2004-05-03,441.252
2004-05-04,441.564
2004-05-05,438.288
2004-05-06,434.891
2004-05-07,430.708
2004-05-10,409.408
2004-05-11,418.57
2004-05-12,414.784
2004-05-13,418.762
2004-05-14,416.376
2004-05-17,422.087
2004-05-18,424.205
2004-05-19,436.039
2004-05-20,426.073
2004-05-21,429.728
2004-05-24,428.624
2004-05-25,432.039
2004-05-26,439.343
2004-05-27,445.486
2004-05-28,443.599
2004-05-31,444.061
2004-06-01,442.228
2004-06-02,443.559
2004-06-03,445.443
2004-06-04,447.991
2004-06-07,450.785
2004-06-08,452.012
2004-06-09,446.508
2004-06-10,445.032
2004-06-11,444.549
2004-06-14,442.522
2004-06-15,443.902
2004-06-16,443.405
2004-06-17,445.324
2004-06-18,449.853
2004-06-21,444.752
2004-06-22,445.252
2004-06-23,445.032
2004-06-24,450.526
2004-06-25,450.594
2004-06-28,459.733
2004-06-29,457.397
2004-06-30,460.083
2004-07-01,459.851
2004-07-02,466.01
2004-07-05,462.958
2004-07-06,464.071
2004-07-07,469.537
2004-07-08,472.731
2004-07-09,472.441
2004-07-12,471.237
2004-07-13,467.71
2004-07-14,471.181
2004-07-15,470.338
2004-07-16,473.698
2004-07-19,472.851
2004-07-20,468.455
2004-07-21,467.053
2004-07-22,457.779
2004-07-23,454.205
2004-07-26,455.445
2004-07-27,443.698
2004-07-28,449.075
2004-07-29,450.842
2004-07-30,451.71
2004-08-02,452.023
2004-08-03,454.026
2004-08-04,450.579
2004-08-05,451.416
2004-08-06,447.864
2004-08-09,445.17
2004-08-10,442.234
2004-08-11,448.485
2004-08-12,457.067
2004-08-13,458.321
2004-08-16,463.476
2004-08-17,468.097
2004-08-18,463.834
2004-08-19,467.66
2004-08-20,466.219
2004-08-23,464.463
2004-08-24,462.732
2004-08-25,461.519
2004-08-26,465.171
2004-08-27,465.404
2004-08-30,464.88
2004-08-31,467.122
2004-09-01,479.272
2004-09-02,476.543
2004-09-03,473.948
2004-09-06,476.42
2004-09-07,480.181
2004-09-08,483.956
2004-09-09,483.399
2004-09-10,487.515
2004-09-13,486.643
2004-09-14,491.555
2004-09-15,486.378
2004-09-16,487.982
2004-09-17,491.405
2004-09-20,491.889
2004-09-21,500.298
2004-09-22,496.123
2004-09-23,494.224
2004-09-24,492.328
2004-09-27,493.146
2004-09-28,492.653
2004-09-29,495.207
2004-09-30,494.937
2004-10-01,498.019
2004-10-04,496.989
2004-10-05,497.863
2004-10-06,495.099
2004-10-07,493.51
2004-10-08,494.937
2004-10-11,494.235
2004-10-12,488.97
2004-10-13,485.527
2004-10-14,487.696
2004-10-15,490.909
2004-10-18,493.781
2004-10-19,497.934
2004-10-20,497.608
2004-10-21,500.059
2004-10-22,506.832
2004-10-25,508.522
2004-10-26,509.27
2004-10-27,511.725
2004-10-28,515.535
2004-10-29,509.034
2004-11-01,514.107
2004-11-02,515.227
2004-11-03,525.547
2004-11-04,525.428
2004-11-05,536.715
2004-11-08,541.574
2004-11-09,540.049
2004-11-10,543.777
2004-11-11,543.382
2004-11-12,550.595
2004-11-15,560.371
2004-11-16,554.467
2004-11-17,556.745
2004-11-18,554.522
2004-11-19,551.349
2004-11-22,549.389
2004-11-23,549.263
2004-11-24,552.849
2004-11-25,556.805
2004-11-26,559.404
2004-11-29,562.756
2004-11-30,554.04
2004-12-01,559.929
2004-12-02,563.145
2004-12-03,568.866
2004-12-06,570.536
2004-12-07,569.517
2004-12-08,565.007
2004-12-09,568.602
2004-12-10,568.601
2004-12-13,572.1
2004-12-14,574.108
2004-12-15,583.568
2004-12-16,579.551
2004-12-17,577.26
2004-12-20,581.716
2004-12-21,578.204
2004-12-22,580.161
2004-12-23,583.622
2004-12-24,585.134
2004-12-27,588.787
2004-12-28,587.944
2004-12-29,590.433
2004-12-30,593.129
2004-12-31,590.822
2005-01-03,585.106
2005-01-04,589.74
2005-01-05,584.413
2005-01-06,584.196
2005-01-07,583.402
2005-01-10,590.262
2005-01-11,591.836
2005-01-12,600.908
2005-01-13,599.761
2005-01-14,592.765
2005-01-17,602.35
2005-01-18,599.429
2005-01-19,603.884
2005-01-20,599.065
2005-01-21,596.195
2005-01-24,592.853
2005-01-25,591.514
2005-01-26,594.493
2005-01-27,597.051
2005-01-28,592.068
2005-01-31,585.844
2005-02-01,591.705
2005-02-02,592.773
2005-02-03,594.663
2005-02-04,600.161
2005-02-07,597.294
2005-02-08,592.036
2005-02-09,596.936
2005-02-10,603.724
2005-02-11,612.499
2005-02-14,618.193
2005-02-15,620.867
2005-02-16,618.993
2005-02-17,627.434
2005-02-18,623.978
2005-02-21,623.556
2005-02-22,627.619
2005-02-23,616.92
2005-02-24,613.145
2005-02-25,614.134
2005-02-28,567.771
2005-03-01,569.967
2005-03-02,563.108
2005-03-03,563.046
2005-03-04,567.029
2005-03-07,562.538
2005-03-08,570.187
2005-03-09,564.778
2005-03-10,562.862
2005-03-11,564.183
2005-03-14,558.478
2005-03-15,559.456
2005-03-16,559.352
2005-03-17,561.664
2005-03-18,557.826
2005-03-21,554.206
2005-03-22,555.163
2005-03-23,544.773
2005-03-24,544.12
2005-03-25,544.12
2005-03-28,540.301
2005-03-29,538.308
2005-03-30,533.472
2005-03-31,525.853
2005-04-01,529.03
2005-04-04,525.389
2005-04-05,528.7
2005-04-06,534.745
2005-04-07,536.218
2005-04-08,537.105
2005-04-11,540.293
2005-04-12,536.038
2005-04-13,540.701
2005-04-14,534.665
2005-04-15,533.46
2005-04-18,528.378
2005-04-19,532.115
2005-04-20,533.697
2005-04-21,533.5
2005-04-22,530.737
2005-04-25,521.7
2005-04-26,518.322
2005-04-27,511.115
2005-04-28,505.025
2005-04-29,508.351
2005-05-02,505.555
2005-05-03,512.501
2005-05-04,526.322
2005-05-05,534.891
2005-05-06,528.382
2005-05-09,523.535
2005-05-10,526.055
2005-05-11,519.794
2005-05-12,520.176
2005-05-13,518.521
2005-05-16,517.698
2005-05-17,518.462
2005-05-18,527.649
2005-05-19,529.108
2005-05-20,527.198
2005-05-23,534.781
2005-05-24,532.053
2005-05-25,532.285
2005-05-26,531.28
2005-05-27,530.151
2005-05-30,529.482
2005-05-31,518.637
2005-06-01,522.281
2005-06-02,519.478
