Date,USA Standard (Large+Mid Cap)
2002-12-12,1881.813
2002-12-13,1856.679
2002-12-16,1900.879
2002-12-17,1884.987
2002-12-18,1859.9
2002-12-19,1845.689
2002-12-20,1869.799
2002-12-23,1873.57
2002-12-24,1862.778
2002-12-25,1862.778
2002-12-26,1856.19
2002-12-27,1826.308
2002-12-30,1833.719
2002-12-31,1835.196
2003-01-01,1835.196
2003-01-02,1896.852
2003-01-03,1896.219
2003-01-06,1939.8
2003-01-07,1927.575
2003-01-08,1900.025
2003-01-09,1936.8
2003-01-10,1937.65
2003-01-13,1934.974
2003-01-14,1947.453
2003-01-15,1919.404
2003-01-16,1911.403
2003-01-17,1884.046
2003-01-20,1884.046
2003-01-21,1855.028
2003-01-22,1836.44
2003-01-23,1855.552
2003-01-24,1801.276
2003-01-27,1771.52
2003-01-28,1794.842
2003-01-29,1807.558
2003-01-30,1766.381
2003-01-31,1790.163
2003-02-03,1799.482
2003-02-04,1773.681
2003-02-05,1764.232
2003-02-06,1753.574
2003-02-07,1735.686
2003-02-10,1748.944
2003-02-11,1734.198
2003-02-12,1711.853
2003-02-13,1709.103
2003-02-14,1745.562
2003-02-17,1745.562
2003-02-18,1780.999
2003-02-19,1768.963
2003-02-20,1752.104
2003-02-21,1775.36
2003-02-24,1743.105
2003-02-25,1755.295
2003-02-26,1732.632
2003-02-27,1753.178
2003-02-28,1761.864
2003-03-03,1748.86
2003-03-04,1722.368
2003-03-05,1740.311
2003-03-06,1724.224
2003-03-07,1738.337
2003-03-10,1693.185
2003-03-11,1679.404
2003-03-12,1686.512
2003-03-13,1744.417
2003-03-14,1747.614
2003-03-17,1809.57
2003-03-18,1817.7
2003-03-19,1833.056
2003-03-20,1837.394
2003-03-21,1879.2
2003-03-24,1812.704
2003-03-25,1834.511
2003-03-26,1824.185
2003-03-27,1821.125
2003-03-28,1810.471
2003-03-31,1777.551
2003-04-01,1799.257
2003-04-02,1846.865
2003-04-03,1837.627
2003-04-04,1842.894
2003-04-07,1845.73
2003-04-08,1842.822
2003-04-09,1816.836
2003-04-10,1828.157
2003-04-11,1821.503
2003-04-14,1856.916
2003-04-15,1868.117
2003-04-16,1845.713
2003-04-17,1874.81
2003-04-18,1874.81
2003-04-21,1871.819
2003-04-22,1912.647
2003-04-23,1929.798
2003-04-24,1914.001
2003-04-25,1887.104
2003-04-28,1920.91
2003-04-29,1926.901
2003-04-30,1925.36
2003-05-01,1925.001
2003-05-02,1953.76
2003-05-05,1946.295
2003-05-06,1962.567
2003-05-07,1953.186
2003-05-08,1933.851
2003-05-09,1962.034
2003-05-12,1986.739
2003-05-13,1981.004
2003-05-14,1975.974
2003-05-15,1991.478
2003-05-16,1986.979
2003-05-19,1937.302
2003-05-20,1934.744
2003-05-21,1943.03
2003-05-22,1961.397
2003-05-23,1964.882
2003-05-26,1964.882
2003-05-27,2003.473
2003-05-28,2006.735
2003-05-29,1998.993
2003-05-30,2027.594
2003-06-02,2034.444
2003-06-03,2044.004
2003-06-04,2075.079
2003-06-05,2083.284
2003-06-06,2078.462
2003-06-09,2052.802
2003-06-10,2071.577
2003-06-11,2098.826
2003-06-12,2100.454
2003-06-13,2079.53
2003-06-16,2125.659
2003-06-17,2127.808
2003-06-18,2123.97
2003-06-19,2092.579
2003-06-20,2094.387
2003-06-23,2064.826
2003-06-24,2067.987
2003-06-25,2052.155
2003-06-26,2075.107
2003-06-27,2055.467
2003-06-30,2051.85
2003-07-01,2067.533
2003-07-02,2091.661
2003-07-03,2075.164
2003-07-04,2075.164
2003-07-07,2115.121
2003-07-08,2122.875
2003-07-09,2111.919
2003-07-10,2083.067
2003-07-11,2103.187
2003-07-14,2116.167
2003-07-15,2109.531
2003-07-16,2095.523
2003-07-17,2069.944
2003-07-18,2094.116
2003-07-21,2063.364
2003-07-22,2082.525
2003-07-23,2084.004
2003-07-24,2068.501
2003-07-25,2104.606
2003-07-28,2100.464
2003-07-29,2086.252
2003-07-30,2082.581
2003-07-31,2089.1
2003-08-01,2067.576
2003-08-04,2073.113
2003-08-05,2035.857
2003-08-06,2038.855
2003-08-07,2054.294
2003-08-08,2061.413
2003-08-11,2068.388
2003-08-12,2088.543
2003-08-13,2075.525
2003-08-14,2088.864
2003-08-15,2089.887
2003-08-18,2109.516
2003-08-19,2114.942
2003-08-20,2110.661
2003-08-21,2116.81
2003-08-22,2095.451
2003-08-25,2096.388
2003-08-26,2102.563
2003-08-27,2103.263
2003-08-28,2116.262
2003-08-29,2127.276
2003-09-01,2127.276
2003-09-02,2156.289
2003-09-03,2165.462
2003-09-04,2169.381
2003-09-05,2155.735
2003-09-08,2178.229
2003-09-09,2159.787
2003-09-10,2132.625
2003-09-11,2144.709
2003-09-12,2149.226
2003-09-15,2140.398
2003-09-16,2170.857
2003-09-17,2164.134
2003-09-18,2193.225
2003-09-19,2185.916
2003-09-22,2157.676
2003-09-23,2171.039
2003-09-24,2129.508
2003-09-25,2116.241
2003-09-26,2103.069
2003-09-29,2124.191
2003-09-30,2101.85
2003-10-01,2148.369
2003-10-02,2152.891
2003-10-03,2173.357
2003-10-06,2182.514
2003-10-07,2192.981
2003-10-08,2182.289
2003-10-09,2192.284
2003-10-10,2191.442
2003-10-13,2206.669
