Date,WORLD LARGE GROWTH Large Cap
2022-04-29,3265.333
2022-05-31,3188.353
2022-06-30,2920.162
2022-07-29,3265.31
2022-08-31,3087.02
2022-09-30,2773.667
2022-10-31,2896.04
2022-11-30,3080.5
2022-12-30,2879.378
2023-01-31,3162.161
2023-02-28,3105.739
2023-03-31,3345.277
2023-04-28,3409.699
2023-05-31,3508.189
2023-06-30,3726.034
2023-07-31,3830.977
2023-08-31,3761.53
2023-09-29,3547.089
2023-10-31,3479.465
2023-11-30,3867.602
2023-12-29,4024.679
2024-01-31,4127.985
2024-02-29,4375.88
2024-03-29,4452.0
2024-04-30,4282.647
2024-05-31,4546.091
2024-06-28,4790.983
2024-07-31,4724.586
2024-08-30,4839.847
2024-09-30,4928.927
2024-10-31,4843.149
2024-11-29,5085.974
2024-12-31,5135.493
2025-01-31,5256.826
2025-02-28,5105.495
2025-03-31,4708.53
2025-04-30,4853.738
2025-05-30,5279.06
2025-06-30,5538.174
2025-07-31,5663.238
2025-08-29,5763.683
2025-09-30,6051.135
2025-10-31,6329.43
2025-11-28,6251.059
2025-12-31,6242.08
