Date,WORLD LARGE GROWTH Large Cap
2001-11-30,688.226
2001-12-31,686.568
2002-01-31,655.0
2002-02-28,638.246
2002-03-29,663.017
2002-04-30,626.549
2002-05-31,619.839
2002-06-28,581.488
2002-07-31,536.048
2002-08-30,536.314
2002-09-30,480.534
2002-10-31,521.815
2002-11-29,547.371
2002-12-31,515.821
2003-01-31,498.807
2003-02-28,493.113
2003-03-31,496.099
2003-04-30,535.752
2003-05-30,560.551
2003-06-30,569.38
2003-07-31,582.564
2003-08-29,592.83
2003-09-30,596.16
2003-10-31,629.388
2003-11-28,638.33
2003-12-31,668.251
2004-01-30,681.811
2004-02-27,691.12
2004-03-31,683.555
2004-04-30,670.499
2004-05-31,676.127
2004-06-30,683.429
2004-07-30,651.943
2004-08-31,650.807
2004-09-30,660.302
2004-10-29,674.798
2004-11-30,704.46
2004-12-31,733.438
2005-01-31,712.452
2005-02-28,726.843
2005-03-31,713.553
2005-04-29,700.381
2005-05-31,719.156
2005-06-30,719.52
2005-07-29,748.419
2005-08-31,754.477
2005-09-30,770.855
2005-10-31,757.529
2005-11-30,781.157
2005-12-30,794.599
2006-01-31,825.545
2006-02-28,817.421
2006-03-31,835.058
2006-04-28,852.748
2006-05-31,821.007
2006-06-30,820.876
2006-07-31,818.806
2006-08-31,842.145
2006-09-29,850.494
2006-10-31,879.345
2006-11-30,897.059
2006-12-29,906.026
2007-01-31,919.637
2007-02-28,910.886
2007-03-30,927.885
2007-04-30,970.251
2007-05-31,1000.0
2007-06-29,996.93
2007-07-31,990.006
2007-08-31,997.091
2007-09-28,1055.883
2007-10-31,1099.457
2007-11-30,1071.354
2007-12-31,1061.011
2008-01-31,972.004
2008-02-29,981.256
2008-03-31,969.776
2008-04-30,1022.541
2008-05-30,1055.536
2008-06-30,988.327
2008-07-31,965.596
2008-08-29,947.327
2008-09-30,824.616
2008-10-31,672.995
2008-11-28,621.186
2008-12-31,641.927
2009-01-30,601.355
2009-02-27,551.69
2009-03-31,590.859
2009-04-30,640.536
2009-05-29,696.7
2009-06-30,698.927
2009-07-31,754.174
2009-08-31,768.477
2009-09-30,801.776
2009-10-30,798.779
2009-11-30,833.763
2009-12-31,852.396
2010-01-29,810.927
2010-02-26,826.585
2010-03-31,876.6
2010-04-30,875.401
2010-05-31,792.496
2010-06-30,767.704
2010-07-30,826.614
2010-08-31,797.045
2010-09-30,878.469
2010-10-29,916.666
2010-11-30,904.385
2010-12-31,963.524
2011-01-31,973.758
2011-02-28,1002.234
2011-03-31,993.716
2011-04-29,1038.049
2011-05-31,1021.372
2011-06-30,1006.25
2011-07-29,1004.05
2011-08-31,937.368
2011-09-30,852.409
2011-10-31,944.643
2011-11-30,926.874
2011-12-30,917.81
2012-01-31,971.256
2012-02-29,1022.335
2012-03-30,1041.071
2012-04-30,1036.244
2012-05-31,949.862
2012-06-29,989.447
2012-07-31,1006.661
2012-08-31,1033.961
2012-09-28,1058.114
2012-10-31,1040.813
2012-11-30,1064.229
2012-12-31,1072.547
2013-01-31,1117.149
2013-02-28,1124.297
2013-03-29,1153.558
2013-04-30,1183.29
2013-05-31,1182.331
2013-06-28,1150.168
2013-07-31,1210.818
2013-08-30,1191.365
2013-09-30,1254.157
2013-10-31,1301.739
2013-11-29,1332.111
2013-12-31,1362.743
2014-01-31,1307.849
2014-02-28,1375.475
2014-03-31,1364.573
2014-04-30,1373.907
2014-05-30,1412.053
2014-06-30,1434.463
2014-07-31,1415.207
2014-08-29,1453.687
2014-09-30,1424.031
2014-10-31,1441.094
2014-11-28,1485.078
2014-12-31,1457.674
2015-01-30,1448.725
2015-02-27,1538.642
2015-03-31,1522.359
2015-04-30,1547.156
2015-05-29,1561.648
2015-06-30,1532.882
2015-07-31,1581.275
2015-08-31,1469.246
2015-09-30,1420.094
2015-10-30,1540.468
2015-11-30,1536.883
2015-12-31,1514.289
2016-01-29,1426.338
2016-02-29,1409.919
2016-03-31,1501.406
2016-04-29,1510.454
2016-05-31,1526.237
2016-06-30,1515.341
2016-07-29,1583.805
2016-08-31,1573.218
2016-09-30,1586.221
2016-10-31,1539.236
2016-11-30,1538.539
2016-12-30,1562.656
2017-01-31,1617.376
2017-02-28,1675.031
2017-03-31,1705.082
2017-04-28,1747.936
2017-05-31,1811.602
2017-06-30,1798.42
2017-07-31,1845.882
2017-08-31,1869.52
2017-09-29,1893.996
2017-10-31,1949.335
2017-11-30,1993.709
2017-12-29,2018.148
2018-01-31,2149.922
2018-02-28,2085.423
2018-03-30,2034.142
2018-04-30,2057.948
2018-05-31,2114.144
2018-06-29,2118.107
2018-07-31,2177.435
2018-08-31,2250.888
2018-09-28,2260.155
2018-10-31,2060.901
2018-11-30,2077.917
2018-12-31,1923.848
2019-01-31,2081.56
2019-02-28,2151.289
2019-03-29,2209.654
2019-04-30,2305.965
2019-05-31,2184.606
2019-06-28,2335.079
2019-07-31,2366.691
2019-08-30,2348.893
2019-09-30,2359.37
2019-10-31,2430.834
2019-11-29,2515.279
2019-12-31,2595.67
2020-01-31,2649.252
2020-02-28,2460.412
2020-03-31,2237.021
2020-04-30,2523.342
2020-05-29,2674.584
2020-06-30,2804.64
2020-07-31,2999.04
2020-08-31,3277.28
2020-09-30,3143.927
2020-10-30,3028.504
2020-11-30,3348.616
2020-12-31,3510.501
2021-01-29,3477.407
2021-02-26,3485.205
2021-03-31,3523.833
2021-04-30,3754.347
2021-05-31,3745.047
2021-06-30,3924.18
2021-07-30,4050.124
2021-08-31,4188.912
2021-09-30,3965.982
2021-10-29,4242.433
2021-11-30,4231.796
2021-12-31,4321.637
2022-01-31,3939.687
2022-02-28,3788.74
2022-03-31,3923.751
2022-04-29,3448.288
2022-05-31,3368.269
2022-06-30,3085.393
2022-07-29,3450.286
2022-08-31,3262.727
2022-09-30,2931.991
2022-10-31,3061.598
2022-11-30,3257.502
2022-12-30,3045.21
2023-01-31,3344.457
2023-02-28,3285.508
2023-03-31,3540.298
2023-04-28,3609.601
2023-05-31,3715.243
2023-06-30,3946.326
2023-07-31,4057.656
2023-08-31,3985.039
2023-09-29,3758.337
2023-10-31,3686.907
2023-11-30,4099.19
2023-12-29,4266.426
2024-01-31,4376.079
2024-02-29,4639.831
2024-03-29,4721.446
2024-04-30,4543.153
2024-05-31,4824.132
2024-06-28,5084.49
2024-07-31,5014.213
2024-08-30,5137.386
2024-09-30,5232.787
2024-10-31,5142.112
2024-11-29,5400.765
2024-12-31,5454.033
2025-01-31,5583.018
2025-02-28,5423.106
2025-03-31,5002.85
2025-04-30,5157.961
2025-05-30,5611.652
2025-06-30,5887.654
2025-07-31,6020.781
2025-08-29,6128.507
2025-09-30,6435.025
2025-10-31,6731.287
2025-11-28,6648.873
2025-12-31,6639.956
2026-01-30,6602.593
