Date,DENMARK Standard (Large+Mid Cap)
2003-08-13,3972.917
2003-08-14,3990.642
2003-08-15,4038.629
2003-08-18,4004.71
2003-08-19,4070.192
2003-08-20,4148.9
2003-08-21,4100.934
2003-08-22,4043.024
2003-08-25,4027.034
2003-08-26,4046.324
2003-08-27,4073.864
2003-08-28,4091.946
2003-08-29,4117.59
2003-09-01,4153.438
2003-09-02,4178.945
2003-09-03,4277.826
2003-09-04,4279.409
2003-09-05,4300.924
2003-09-08,4313.093
2003-09-09,4322.145
2003-09-10,4281.817
2003-09-11,4327.305
2003-09-12,4374.919
2003-09-15,4388.926
2003-09-16,4329.068
2003-09-17,4351.207
2003-09-18,4376.37
2003-09-19,4387.324
2003-09-22,4368.575
2003-09-23,4360.661
2003-09-24,4382.539
2003-09-25,4352.374
2003-09-26,4324.762
2003-09-29,4305.782
2003-09-30,4272.656
2003-10-01,4373.269
2003-10-02,4401.166
2003-10-03,4429.985
2003-10-06,4469.345
2003-10-07,4478.822
2003-10-08,4507.407
2003-10-09,4501.969
2003-10-10,4482.128
2003-10-13,4511.659
2003-10-14,4531.37
2003-10-15,4556.145
2003-10-16,4595.01
2003-10-17,4567.821
2003-10-20,4562.121
2003-10-21,4588.195
2003-10-22,4534.003
2003-10-23,4532.617
2003-10-24,4575.503
2003-10-27,4580.739
2003-10-28,4591.116
2003-10-29,4593.671
2003-10-30,4607.894
2003-10-31,4545.159
2003-11-03,4562.535
2003-11-04,4585.408
2003-11-05,4509.991
2003-11-06,4448.359
2003-11-07,4517.768
2003-11-10,4511.896
2003-11-11,4458.446
2003-11-12,4522.64
2003-11-13,4583.722
2003-11-14,4620.279
2003-11-17,4576.196
2003-11-18,4620.529
2003-11-19,4615.346
2003-11-20,4589.742
2003-11-21,4587.722
2003-11-24,4546.613
2003-11-25,4517.034
2003-11-26,4537.077
2003-11-27,4545.912
2003-11-28,4523.891
2003-12-01,4571.535
2003-12-02,4625.011
2003-12-03,4612.922
2003-12-04,4591.314
2003-12-05,4597.8
2003-12-08,4583.991
2003-12-09,4622.773
2003-12-10,4603.372
2003-12-11,4596.078
2003-12-12,4663.192
2003-12-15,4680.039
2003-12-16,4655.786
2003-12-17,4640.53
2003-12-18,4625.374
2003-12-19,4708.666
2003-12-22,4720.447
2003-12-23,4745.923
2003-12-24,4758.828
2003-12-25,4758.828
2003-12-26,4757.196
2003-12-29,4783.604
2003-12-30,4797.059
2003-12-31,4827.736
2004-01-01,4827.736
2004-01-02,4935.242
2004-01-05,4973.258
2004-01-06,5001.49
2004-01-07,4986.949
2004-01-08,5034.833
2004-01-09,5086.102
2004-01-12,5078.039
2004-01-13,5094.054
2004-01-14,5100.869
2004-01-15,5097.511
2004-01-16,5047.501
2004-01-19,5063.27
2004-01-20,5078.361
2004-01-21,5050.669
2004-01-22,5158.331
2004-01-23,5168.124
2004-01-26,5129.101
2004-01-27,5211.138
2004-01-28,5167.772
2004-01-29,5061.044
2004-01-30,5047.79
2004-02-02,5079.671
2004-02-03,5124.127
2004-02-04,5135.455
2004-02-05,5247.491
2004-02-06,5381.833
2004-02-09,5403.339
2004-02-10,5396.443
2004-02-11,5390.543
2004-02-12,5489.856
2004-02-13,5469.124
