Date,SINGAPORE SMID CAP SMID (Small+Mid Cap)
2005-03-31,457.618
2005-04-29,467.209
2005-05-31,475.374
2005-06-30,486.224
2005-07-29,529.342
2005-08-31,515.426
2005-09-30,530.027
2005-10-31,509.679
2005-11-30,523.615
2005-12-30,544.527
2006-01-31,586.753
2006-02-28,613.249
2006-03-31,651.666
2006-04-28,675.559
2006-05-31,613.794
2006-06-30,613.132
2006-07-31,620.256
2006-08-31,647.847
2006-09-29,673.834
2006-10-31,717.571
2006-11-30,765.666
2006-12-29,802.915
2007-01-31,867.912
2007-02-28,878.545
2007-03-30,934.168
2007-04-30,984.138
2007-05-31,1000.0
2007-06-29,1070.857
2007-07-31,1053.601
2007-08-31,999.807
2007-09-28,1133.386
2007-10-31,1216.416
2007-11-30,1119.492
2007-12-31,1139.657
2008-01-31,989.863
2008-02-29,1050.446
2008-03-31,1038.692
2008-04-30,1080.974
2008-05-30,1093.439
2008-06-30,1002.967
2008-07-31,964.433
2008-08-29,857.716
2008-09-30,702.607
2008-10-31,485.168
2008-11-28,461.998
2008-12-31,516.181
2009-01-30,498.434
2009-02-27,444.662
2009-03-31,489.117
2009-04-30,573.174
2009-05-29,756.393
2009-06-30,759.827
2009-07-31,872.182
2009-08-31,886.244
2009-09-30,952.089
2009-10-30,957.066
2009-11-30,987.125
2009-12-31,1044.621
2010-01-29,1007.062
2010-02-26,1020.467
2010-03-31,1076.514
2010-04-30,1154.241
2010-05-31,1041.534
2010-06-30,1084.253
2010-07-30,1189.321
2010-08-31,1175.263
2010-09-30,1298.408
2010-10-29,1337.661
2010-11-30,1316.969
2010-12-31,1407.435
2011-01-31,1386.769
2011-02-28,1316.365
2011-03-31,1367.694
2011-04-29,1439.51
2011-05-31,1410.709
2011-06-30,1380.085
2011-07-29,1419.497
2011-08-31,1297.853
2011-09-30,1089.229
2011-10-31,1212.548
2011-11-30,1134.159
2011-12-30,1100.272
2012-01-31,1243.969
2012-02-29,1315.717
2012-03-30,1318.741
2012-04-30,1329.28
2012-05-31,1208.038
2012-06-29,1287.623
2012-07-31,1386.52
2012-08-31,1407.858
2012-09-28,1483.445
2012-10-31,1485.707
2012-11-30,1501.657
2012-12-31,1540.362
2013-01-31,1593.115
2013-02-28,1610.159
2013-03-29,1616.476
2013-04-30,1665.653
2013-05-31,1554.95
2013-06-28,1481.586
2013-07-31,1512.087
2013-08-30,1436.674
2013-09-30,1557.73
2013-10-31,1549.45
2013-11-29,1503.318
2013-12-31,1484.453
2014-01-31,1416.346
2014-02-28,1467.734
2014-03-31,1516.733
2014-04-30,1587.565
2014-05-30,1643.439
2014-06-30,1648.89
2014-07-31,1671.846
2014-08-29,1663.131
2014-09-30,1589.731
2014-10-31,1573.34
2014-11-28,1559.14
2014-12-31,1527.456
2015-01-30,1543.234
2015-02-27,1538.436
2015-03-31,1525.146
2015-04-30,1614.181
2015-05-29,1556.299
2015-06-30,1513.836
2015-07-31,1427.533
2015-08-31,1287.562
2015-09-30,1264.5
2015-10-30,1352.847
2015-11-30,1300.773
2015-12-31,1288.79
2016-01-29,1209.631
2016-02-29,1277.411
2016-03-31,1398.499
2016-04-29,1408.256
2016-05-31,1344.948
2016-06-30,1383.842
2016-07-29,1409.76
2016-08-31,1382.751
2016-09-30,1404.185
2016-10-31,1355.967
2016-11-30,1328.464
2016-12-30,1307.305
2017-01-31,1401.268
2017-02-28,1451.422
2017-03-31,1487.855
2017-04-28,1503.239
2017-05-31,1517.269
2017-06-30,1534.37
2017-07-31,1588.652
2017-08-31,1592.983
2017-09-29,1580.31
2017-10-31,1646.106
2017-11-30,1668.117
2017-12-29,1688.095
2018-01-31,1813.582
2018-02-28,1719.561
2018-03-30,1714.152
2018-04-30,1715.808
2018-05-31,1643.564
2018-06-29,1552.28
2018-07-31,1582.657
2018-08-31,1557.389
2018-09-28,1591.188
2018-10-31,1478.576
2018-11-30,1508.666
2018-12-31,1492.444
2019-01-31,1624.652
2019-02-28,1638.68
2019-03-29,1653.497
2019-04-30,1686.504
2019-05-31,1612.781
2019-06-28,1757.428
2019-07-31,1715.677
2019-08-30,1645.114
2019-09-30,1665.946
2019-10-31,1746.144
2019-11-29,1740.195
2019-12-31,1786.924
2020-01-31,1745.577
2020-02-28,1626.022
2020-03-31,1307.808
2020-04-30,1445.096
2020-05-29,1440.72
2020-06-30,1467.597
2020-07-31,1502.104
2020-08-31,1519.904
2020-09-30,1506.637
2020-10-30,1433.581
2020-11-30,1614.516
2020-12-31,1676.035
2021-01-29,1675.523
2021-02-26,1677.696
2021-03-31,1744.922
2021-04-30,1798.109
2021-05-31,1778.701
2021-06-30,1749.704
2021-07-30,1779.825
2021-08-31,1751.843
2021-09-30,1732.93
2021-10-29,1784.389
2021-11-30,1709.59
2021-12-31,1757.572
2022-01-31,1699.205
2022-02-28,1742.761
2022-03-31,1851.628
2022-04-29,1838.324
2022-05-31,1814.381
2022-06-30,1739.155
2022-07-29,1799.738
2022-08-31,1768.685
2022-09-30,1612.618
2022-10-31,1565.207
2022-11-30,1736.011
2022-12-30,1759.358
2023-01-31,1893.901
2023-02-28,1805.998
2023-03-31,1853.209
2023-04-28,1872.818
2023-05-31,1808.692
2023-06-30,1846.531
2023-07-31,1937.259
2023-08-31,1852.189
2023-09-29,1778.739
2023-10-31,1661.89
2023-11-30,1779.001
2023-12-29,1918.945
2024-01-31,1832.777
2024-02-29,1779.8
2024-03-29,1779.602
2024-04-30,1770.763
2024-05-31,1807.8
2024-06-28,1776.289
2024-07-31,1859.415
2024-08-30,1936.27
2024-09-30,2083.788
2024-10-31,1963.996
2024-11-29,1958.48
2024-12-31,1941.714
2025-01-31,1937.174
2025-02-28,1957.983
2025-03-31,2024.257
2025-04-30,2080.081
2025-05-30,2120.202
