Date,NORWAY GROWTH Standard (Large+Mid Cap)
2021-08-31,2077.936
2021-09-30,1894.505
2021-10-29,2021.072
2021-11-30,1678.974
2021-12-31,1628.313
2022-01-31,1532.314
2022-02-28,1557.188
2022-03-31,1580.674
2022-04-29,1553.393
2022-05-31,1548.0
2022-06-30,1365.086
2022-07-29,1381.179
2022-08-31,1335.854
2022-09-30,961.608
2022-10-31,1092.793
2022-11-30,1175.489
2022-12-30,1230.287
2023-01-31,1317.392
2023-02-28,1264.592
2023-03-31,1283.382
2023-04-28,1351.881
2023-05-31,1249.298
2023-06-30,1311.636
2023-07-31,1319.203
2023-08-31,1267.575
2023-09-29,1411.376
2023-10-31,1339.316
2023-11-30,1487.969
2023-12-29,1574.249
2024-01-31,1640.414
2024-02-29,1851.849
2024-03-29,1928.064
2024-04-30,1949.164
2024-05-31,2281.01
2024-06-28,2148.754
2024-07-31,2419.631
2024-08-30,2500.031
2024-09-30,2457.406
2024-10-31,2496.026
2024-11-29,2618.116
2024-12-31,2461.584
2025-01-31,2731.301
2025-02-28,2675.185
2025-03-31,2868.917
2025-04-30,2949.73
2025-05-30,3178.464
