Date,HONG KONG SMID VALUE SMID (Small+Mid Cap)
2003-01-01,234.976
2003-01-02,236.304
2003-01-03,237.175
2003-01-06,237.978
2003-01-07,238.35
2003-01-08,239.506
2003-01-09,240.056
2003-01-10,241.555
2003-01-13,244.306
2003-01-14,244.316
2003-01-15,247.127
2003-01-16,245.378
2003-01-17,243.489
2003-01-20,242.443
2003-01-21,243.396
2003-01-22,242.787
2003-01-23,243.135
2003-01-24,241.254
2003-01-27,236.953
2003-01-28,238.028
2003-01-29,237.814
2003-01-30,238.515
2003-01-31,238.518
2003-02-03,238.515
2003-02-04,240.835
2003-02-05,239.914
2003-02-06,239.146
2003-02-07,240.701
2003-02-10,241.656
2003-02-11,241.162
2003-02-12,243.844
2003-02-13,240.649
2003-02-14,240.593
2003-02-17,245.752
2003-02-18,246.21
2003-02-19,247.749
2003-02-20,246.076
2003-02-21,242.976
2003-02-24,243.473
2003-02-25,241.831
2003-02-26,242.598
2003-02-27,242.684
2003-02-28,242.177
2003-03-03,245.435
2003-03-04,244.952
2003-03-05,245.429
2003-03-06,241.79
2003-03-07,240.236
2003-03-10,237.449
2003-03-11,240.162
2003-03-12,241.45
2003-03-13,239.724
2003-03-14,242.436
2003-03-17,239.793
2003-03-18,243.452
2003-03-19,247.603
2003-03-20,248.088
2003-03-21,246.933
2003-03-24,246.673
2003-03-25,245.647
2003-03-26,245.373
2003-03-27,240.546
2003-03-28,240.809
2003-03-31,235.804
2003-04-01,231.407
2003-04-02,232.054
2003-04-03,233.764
2003-04-04,237.902
2003-04-07,238.021
2003-04-08,233.983
2003-04-09,228.5
2003-04-10,227.076
2003-04-11,229.361
2003-04-14,226.728
2003-04-15,227.704
2003-04-16,228.636
2003-04-17,226.778
2003-04-18,226.778
2003-04-21,226.775
2003-04-22,226.606
2003-04-23,224.84
2003-04-24,222.575
2003-04-25,221.811
2003-04-28,223.708
2003-04-29,231.787
2003-04-30,231.301
2003-05-01,231.304
2003-05-02,234.668
2003-05-05,237.581
2003-05-06,238.603
2003-05-07,238.821
2003-05-08,238.821
2003-05-09,240.659
2003-05-12,241.276
2003-05-13,242.906
2003-05-14,242.083
2003-05-15,243.228
2003-05-16,243.306
2003-05-19,244.352
2003-05-20,244.383
2003-05-21,244.781
2003-05-22,246.77
2003-05-23,248.441
2003-05-26,252.684
2003-05-27,253.348
2003-05-28,253.787
2003-05-29,253.256
2003-05-30,254.22
2003-06-02,257.76
2003-06-03,258.724
2003-06-04,258.718
2003-06-05,258.007
2003-06-06,257.206
2003-06-09,260.744
2003-06-10,262.827
2003-06-11,264.367
2003-06-12,264.741
2003-06-13,266.307
2003-06-16,265.991
2003-06-17,267.431
2003-06-18,266.632
2003-06-19,267.918
2003-06-20,265.895
2003-06-23,262.277
2003-06-24,260.81
2003-06-25,261.135
2003-06-26,262.913
2003-06-27,262.925
2003-06-30,261.945
2003-07-01,261.935
2003-07-02,267.185
2003-07-03,267.975
2003-07-04,267.824
2003-07-07,273.573
2003-07-08,273.244
2003-07-09,274.574
2003-07-10,274.071
2003-07-11,273.728
2003-07-14,278.891
2003-07-15,275.558
2003-07-16,277.556
2003-07-17,275.917
2003-07-18,275.912
2003-07-21,278.087
2003-07-22,276.978
2003-07-23,274.992
2003-07-24,278.803
2003-07-25,279.19
2003-07-28,284.066
2003-07-29,287.05
2003-07-30,286.003
2003-07-31,287.857
2003-08-01,294.834
2003-08-04,299.088
2003-08-05,294.266
2003-08-06,288.755
2003-08-07,288.574
2003-08-08,291.716
2003-08-11,297.803
2003-08-12,303.305
2003-08-13,306.231
2003-08-14,309.317
2003-08-15,309.519
2003-08-18,314.289
2003-08-19,314.7
2003-08-20,315.987
2003-08-21,326.357
2003-08-22,332.893
2003-08-25,330.61
2003-08-26,328.048
2003-08-27,328.63
2003-08-28,330.636
2003-08-29,335.778
2003-09-01,345.573
2003-09-02,346.009
2003-09-03,361.953
2003-09-04,358.98
2003-09-05,356.895
2003-09-08,357.939
2003-09-09,349.608
2003-09-10,342.781
2003-09-11,351.575
2003-09-12,351.571
2003-09-15,356.367
2003-09-16,357.667
2003-09-17,359.329
2003-09-18,357.255
2003-09-19,355.819
2003-09-22,353.491
2003-09-23,357.706
2003-09-24,374.146
2003-09-25,373.628
2003-09-26,375.286
2003-09-29,371.88
2003-09-30,375.319
2003-10-01,375.603
2003-10-02,389.0
2003-10-03,395.247
2003-10-06,398.508
2003-10-07,389.405
2003-10-08,384.516
2003-10-09,387.776
2003-10-10,388.445
2003-10-13,393.334
2003-10-14,390.074
2003-10-15,395.282
2003-10-16,393.884
2003-10-17,394.602
2003-10-20,395.48
2003-10-21,405.349
2003-10-22,400.966
2003-10-23,384.595
2003-10-24,385.691
2003-10-27,388.352
2003-10-28,396.851
2003-10-29,396.645
2003-10-30,393.162
2003-10-31,391.27
2003-11-03,391.85
2003-11-04,391.113
2003-11-05,390.963
2003-11-06,383.237
2003-11-07,387.222
2003-11-10,383.796
2003-11-11,378.955
2003-11-12,377.302
2003-11-13,385.131
2003-11-14,384.863
2003-11-17,380.917
2003-11-18,382.116
2003-11-19,376.757
2003-11-20,375.142
2003-11-21,374.467
2003-11-24,371.912
2003-11-25,377.277
2003-11-26,380.703
2003-11-27,381.127
2003-11-28,387.289
2003-12-01,396.177
2003-12-02,397.33
2003-12-03,398.154
2003-12-04,397.897
2003-12-05,399.077
2003-12-08,396.224
2003-12-09,400.076
2003-12-10,399.679
2003-12-11,403.504
2003-12-12,406.749
2003-12-15,403.175
2003-12-16,396.706
2003-12-17,394.594
2003-12-18,395.221
2003-12-19,399.072
2003-12-22,399.948
