Date,WORLD SMID CAP SMID (Small+Mid Cap)
2002-12-25,349.722
2002-12-26,350.923
2002-12-27,347.637
2002-12-30,348.935
2002-12-31,350.603
2003-01-01,350.601
2003-01-02,357.238
2003-01-03,357.639
2003-01-06,363.313
2003-01-07,360.123
2003-01-08,355.362
2003-01-09,360.15
2003-01-10,361.422
2003-01-13,361.399
2003-01-14,363.037
2003-01-15,360.729
2003-01-16,360.556
2003-01-17,357.192
2003-01-20,356.521
2003-01-21,352.854
2003-01-22,350.181
2003-01-23,353.223
2003-01-24,348.62
2003-01-27,341.823
2003-01-28,343.772
2003-01-29,343.916
2003-01-30,340.962
2003-01-31,342.915
2003-02-03,344.471
2003-02-04,342.32
2003-02-05,341.886
2003-02-06,339.379
2003-02-07,336.433
2003-02-10,336.922
2003-02-11,336.172
2003-02-12,332.854
2003-02-13,332.159
2003-02-14,334.881
2003-02-17,336.01
2003-02-18,340.412
2003-02-19,338.541
2003-02-20,337.925
2003-02-21,340.201
2003-02-24,336.426
2003-02-25,334.66
2003-02-26,332.688
2003-02-27,334.523
2003-02-28,336.799
2003-03-03,336.901
2003-03-04,333.422
2003-03-05,333.725
2003-03-06,332.134
2003-03-07,331.517
2003-03-10,325.739
2003-03-11,323.033
2003-03-12,321.087
2003-03-13,328.437
2003-03-14,329.69
2003-03-17,336.612
2003-03-18,338.97
2003-03-19,339.496
2003-03-20,341.563
2003-03-21,346.508
2003-03-24,339.686
2003-03-25,342.631
2003-03-26,342.338
2003-03-27,342.211
2003-03-28,341.641
2003-03-31,338.026
2003-04-01,339.873
2003-04-02,345.858
2003-04-03,344.893
2003-04-04,344.776
2003-04-07,347.926
2003-04-08,345.888
2003-04-09,343.944
2003-04-10,345.65
2003-04-11,345.069
2003-04-14,348.973
2003-04-15,351.991
2003-04-16,350.673
2003-04-17,354.99
2003-04-18,355.08
2003-04-21,355.224
2003-04-22,360.279
2003-04-23,363.218
2003-04-24,361.836
2003-04-25,358.106
2003-04-28,362.608
2003-04-29,364.252
2003-04-30,367.401
2003-05-01,368.536
2003-05-02,372.839
2003-05-05,375.158
2003-05-06,379.559
2003-05-07,378.79
2003-05-08,375.961
2003-05-09,379.918
2003-05-12,383.952
