Date,NORWAY LARGE VALUE Large Cap
2003-03-31,183.872
2003-04-30,198.863
2003-05-30,220.74
2003-06-30,234.209
2003-07-31,247.113
2003-08-29,249.362
2003-09-30,243.707
2003-10-31,264.765
2003-11-28,273.024
2003-12-31,298.971
2004-01-30,298.292
2004-02-27,336.555
2004-03-31,335.036
2004-04-30,324.0
2004-05-31,346.219
2004-06-30,357.499
2004-07-30,349.83
2004-08-31,348.396
2004-09-30,400.743
2004-10-29,403.737
2004-11-30,447.639
2004-12-31,443.197
2005-01-31,424.539
2005-02-28,489.834
2005-03-31,469.694
2005-04-29,467.574
2005-05-31,487.787
2005-06-30,548.801
2005-07-29,572.421
2005-08-31,625.615
2005-09-30,644.293
2005-10-31,587.32
2005-11-30,584.862
2005-12-30,595.041
2006-01-31,684.592
2006-02-28,679.505
2006-03-31,787.392
2006-04-28,864.357
2006-05-31,802.198
2006-06-30,766.749
2006-07-31,808.483
2006-08-31,763.839
2006-09-29,680.27
2006-10-31,708.203
2006-11-30,753.65
2006-12-29,892.079
2007-01-31,928.955
2007-02-28,875.787
2007-03-30,927.839
2007-04-30,987.708
2007-05-31,1000.0
2007-06-29,1077.002
2007-07-31,1074.953
2007-08-31,1015.058
2007-09-28,1163.498
2007-10-31,1187.325
2007-11-30,1142.823
2007-12-31,1132.293
2008-01-31,893.173
2008-02-29,1034.231
2008-03-31,1026.665
2008-04-30,1157.361
2008-05-30,1276.724
2008-06-30,1180.756
2008-07-31,1091.709
2008-08-29,1017.344
2008-09-30,711.014
2008-10-31,546.862
2008-11-28,454.579
2008-12-31,458.635
2009-01-30,478.032
2009-02-27,459.155
2009-03-31,496.346
2009-04-30,558.347
2009-05-29,660.06
2009-06-30,604.584
2009-07-31,667.128
2009-08-31,697.67
2009-09-30,764.708
2009-10-30,798.167
2009-11-30,825.819
2009-12-31,842.004
2010-01-29,793.25
2010-02-26,758.275
2010-03-31,799.647
2010-04-30,834.775
2010-05-31,707.187
2010-06-30,693.657
2010-07-30,793.635
2010-08-31,740.829
2010-09-30,843.382
2010-10-29,864.555
2010-11-30,778.656
2010-12-31,916.408
2011-01-31,904.604
2011-02-28,981.208
2011-03-31,1012.621
2011-04-29,1089.426
2011-05-31,1022.767
2011-06-30,994.484
2011-07-29,986.418
2011-08-31,918.936
2011-09-30,816.018
2011-10-31,961.501
2011-11-30,937.918
2011-12-30,925.367
2012-01-31,939.429
2012-02-29,1090.078
2012-03-30,1036.582
2012-04-30,995.124
2012-05-31,868.261
2012-06-29,969.552
2012-07-31,1013.235
2012-08-31,1073.85
2012-09-28,1133.28
2012-10-31,1108.566
2012-11-30,1145.937
2012-12-31,1157.595
2013-01-31,1240.807
2013-02-28,1199.135
2013-03-29,1174.582
2013-04-30,1224.841
2013-05-31,1212.073
2013-06-28,1117.089
2013-07-31,1221.208
2013-08-30,1198.591
2013-09-30,1232.657
2013-10-31,1315.414
2013-11-29,1277.113
2013-12-31,1297.308
2014-01-31,1204.139
2014-02-28,1292.832
2014-03-31,1318.276
2014-04-30,1383.758
2014-05-30,1462.793
2014-06-30,1473.621
2014-07-31,1398.183
2014-08-29,1428.414
2014-09-30,1345.361
2014-10-31,1225.062
2014-11-28,1060.479
2014-12-31,982.991
2015-01-30,992.664
2015-02-27,1068.216
2015-03-31,1027.506
2015-04-30,1161.098
2015-05-29,1122.642
2015-06-30,1081.368
2015-07-31,1059.252
2015-08-31,931.191
2015-09-30,881.854
2015-10-30,927.324
2015-11-30,912.528
2015-12-31,850.445
2016-01-29,807.698
2016-02-29,813.786
2016-03-31,855.011
2016-04-29,941.078
2016-05-31,903.937
2016-06-30,895.343
2016-07-29,847.224
2016-08-31,893.055
2016-09-30,926.666
2016-10-31,951.897
2016-11-30,980.623
2016-12-30,1012.138
2017-01-31,1098.516
2017-02-28,1074.009
2017-03-31,1034.009
2017-04-28,1045.751
2017-05-31,1129.478
2017-06-30,1099.291
2017-07-31,1261.754
2017-08-31,1275.915
2017-09-29,1337.104
2017-10-31,1322.303
2017-11-30,1309.641
2017-12-29,1333.322
2018-01-31,1459.519
2018-02-28,1430.048
2018-03-30,1428.89
2018-04-30,1486.232
2018-05-31,1471.157
2018-06-29,1528.702
2018-07-31,1549.418
2018-08-31,1533.764
2018-09-28,1640.108
2018-10-31,1478.888
2018-11-30,1357.03
2018-12-31,1245.886
2019-01-31,1359.405
2019-02-28,1397.428
2019-03-29,1353.882
2019-04-30,1387.245
2019-05-31,1251.026
2019-06-28,1324.121
2019-07-31,1266.492
2019-08-30,1199.252
2019-09-30,1262.997
2019-10-31,1251.378
2019-11-29,1201.134
2019-12-31,1288.74
2020-01-31,1210.512
2020-02-28,1068.276
2020-03-31,839.008
2020-04-30,922.361
2020-05-29,986.418
2020-06-30,954.844
2020-07-31,1040.343
2020-08-31,1119.661
2020-09-30,1014.233
2020-10-30,949.883
2020-11-30,1182.548
2020-12-31,1245.663
2021-01-29,1268.426
2021-02-26,1310.247
2021-03-31,1397.18
2021-04-30,1428.901
2021-05-31,1481.398
2021-06-30,1450.818
2021-07-30,1382.596
2021-08-31,1450.352
2021-09-30,1600.278
2021-10-29,1629.744
2021-11-30,1556.517
2021-12-31,1652.799
2022-01-31,1709.05
2022-02-28,1762.983
2022-03-31,1940.821
2022-04-29,1785.317
2022-05-31,1922.919
2022-06-30,1743.275
2022-07-29,1866.582
2022-08-31,1853.404
2022-09-30,1562.644
2022-10-31,1726.974
2022-11-30,1837.813
2022-12-30,1764.209
2023-01-31,1644.146
2023-02-28,1686.066
2023-03-31,1559.624
2023-04-28,1587.059
2023-05-31,1463.477
2023-06-30,1625.226
2023-07-31,1763.77
2023-08-31,1766.8
2023-09-29,1854.188
2023-10-31,1800.633
2023-11-30,1838.291
2023-12-29,1890.089
2024-01-31,1734.083
2024-02-29,1627.352
2024-03-29,1678.825
2024-04-30,1673.266
2024-05-31,1829.432
2024-06-28,1824.205
2024-07-31,1778.291
2024-08-30,1816.377
2024-09-30,1727.501
2024-10-31,1683.657
2024-11-29,1720.636
2024-12-31,1655.685
2025-01-31,1739.116
2025-02-28,1785.996
2025-03-31,2044.918
2025-04-30,1929.883
2025-05-30,2038.552
2025-06-30,2140.511
2025-07-31,2086.026
2025-08-29,2083.562
2025-09-30,2111.214
2025-10-31,2019.933
2025-11-28,2053.952
2025-12-31,2121.841
