Date,SWITZERLAND GROWTH Standard (Large+Mid Cap)
2021-05-31,13771.215
2021-06-30,14244.6
2021-07-30,14795.016
2021-08-31,14972.77
2021-09-30,13872.599
2021-10-29,14905.932
2021-11-30,14851.898
2021-12-31,15936.743
2022-01-31,14141.517
2022-02-28,14100.566
2022-03-31,14352.329
2022-04-29,13487.288
2022-05-31,12700.821
2022-06-30,11925.611
2022-07-29,12591.752
2022-08-31,11819.288
2022-09-30,11089.866
2022-10-31,11287.506
2022-11-30,12067.48
2022-12-30,11825.292
2023-01-31,12590.577
2023-02-28,12071.836
2023-03-31,12604.62
2023-04-28,13368.177
2023-05-31,12890.628
2023-06-30,13114.672
2023-07-31,13415.617
2023-08-31,12750.9
2023-09-29,11845.214
2023-10-31,11184.547
2023-11-30,12210.758
2023-12-29,12944.241
2024-01-31,12847.09
2024-02-29,12659.78
2024-03-29,12933.128
2024-04-30,12274.043
2024-05-31,13329.482
2024-06-28,13021.411
2024-07-31,13350.464
2024-08-30,13888.962
2024-09-30,13913.378
2024-10-31,12954.134
2024-11-29,12640.971
2024-12-31,12216.769
2025-01-31,13390.791
2025-02-28,13533.887
2025-03-31,13033.36
2025-04-30,13632.62
2025-05-30,14064.252
2025-06-30,14302.019
2025-07-31,13981.43
2025-08-29,14515.859
2025-09-30,14581.114
2025-10-31,14644.33
2025-11-28,14951.332
