Date,SINGAPORE GROWTH Standard (Large+Mid Cap)
2019-09-30,2866.902
2019-10-31,3019.27
2019-11-29,2990.366
2019-12-31,3079.741
2020-01-31,2957.522
2020-02-28,2757.587
2020-03-31,2196.174
2020-04-30,2376.335
2020-05-29,2304.366
2020-06-30,2392.031
2020-07-31,2460.545
2020-08-31,2471.995
2020-09-30,2426.628
2020-10-30,2325.083
2020-11-30,2667.562
2020-12-31,2756.392
2021-01-29,2791.44
2021-02-26,2850.049
2021-03-31,2984.124
2021-04-30,3076.369
2021-05-31,3050.787
2021-06-30,2998.899
2021-07-30,3030.938
2021-08-31,3001.483
2021-09-30,2957.462
2021-10-29,3093.121
2021-11-30,2841.191
2021-12-31,2695.166
2022-01-31,2491.81
2022-02-28,2446.789
2022-03-31,2313.203
2022-04-29,2025.12
2022-05-31,1969.887
2022-06-30,1778.425
2022-07-29,1918.359
2022-08-31,1816.058
2022-09-30,1722.256
2022-10-31,1669.399
2022-11-30,1896.974
2022-12-30,1855.754
2023-01-31,2048.068
2023-02-28,1918.257
2023-03-31,2077.763
2023-04-28,2039.842
2023-05-31,1830.536
2023-06-30,1871.982
2023-07-31,2044.656
2023-08-31,1786.028
2023-09-29,1792.289
2023-10-31,1688.133
2023-11-30,1715.843
2023-12-29,1849.466
2024-01-31,1749.27
2024-02-29,1824.294
2024-03-29,1935.296
2024-04-30,2043.482
2024-05-31,2144.18
2024-06-28,2146.944
2024-07-31,2148.622
2024-08-30,2291.711
2024-09-30,2544.985
2024-10-31,2500.3
2024-11-29,2795.786
2024-12-31,2748.77
2025-01-31,2921.783
2025-02-28,3028.863
2025-03-31,3083.172
2025-04-30,3179.06
2025-05-30,3481.78
2025-06-30,3531.6
2025-07-31,3612.505
2025-08-29,3987.802
2025-09-30,4013.136
2025-10-31,3921.986
