Date,WORLD ex USA SMID GROWTH SMID (Small+Mid Cap)
2009-02-27,424.571
2009-03-31,448.109
2009-04-30,503.23
2009-05-29,571.765
2009-06-30,574.07
2009-07-31,616.349
2009-08-31,649.261
2009-09-30,683.669
2009-10-30,671.079
2009-11-30,688.646
2009-12-31,701.314
2010-01-29,679.777
2010-02-26,677.306
2010-03-31,726.147
2010-04-30,733.739
2010-05-31,649.722
2010-06-30,645.129
2010-07-30,701.205
2010-08-31,682.724
2010-09-30,763.099
2010-10-29,792.998
2010-11-30,774.874
2010-12-31,852.526
2011-01-31,854.614
2011-02-28,882.805
2011-03-31,885.216
2011-04-29,932.132
2011-05-31,909.469
2011-06-30,890.2
2011-07-29,884.148
2011-08-31,817.903
2011-09-30,719.365
2011-10-31,787.392
2011-11-30,750.216
2011-12-30,735.752
2012-01-31,783.998
2012-02-29,825.389
2012-03-30,821.485
2012-04-30,820.636
2012-05-31,727.066
2012-06-29,755.496
2012-07-31,765.931
2012-08-31,789.45
2012-09-28,822.411
2012-10-31,823.218
2012-11-30,829.955
2012-12-31,846.125
2013-01-31,875.724
2013-02-28,877.216
2013-03-29,895.07
2013-04-30,916.145
2013-05-31,899.932
2013-06-28,868.76
2013-07-31,919.026
2013-08-30,911.332
2013-09-30,979.047
2013-10-31,1000.352
2013-11-29,1001.704
2013-12-31,1023.77
2014-01-31,999.623
2014-02-28,1058.813
2014-03-31,1050.134
2014-04-30,1051.077
2014-05-30,1067.113
2014-06-30,1085.643
2014-07-31,1058.096
2014-08-29,1064.518
2014-09-30,1005.663
2014-10-31,987.382
2014-11-28,997.523
2014-12-31,987.526
2015-01-30,983.699
2015-02-27,1045.633
2015-03-31,1031.606
2015-04-30,1077.561
2015-05-29,1084.28
2015-06-30,1065.449
2015-07-31,1078.315
2015-08-31,1022.113
2015-09-30,982.35
2015-10-30,1048.644
2015-11-30,1054.27
2015-12-31,1051.922
2016-01-29,975.847
2016-02-29,977.526
2016-03-31,1053.933
2016-04-29,1076.825
2016-05-31,1079.893
2016-06-30,1043.376
2016-07-29,1102.422
2016-08-31,1086.621
2016-09-30,1110.161
2016-10-31,1066.244
2016-11-30,1035.277
2016-12-30,1053.904
2017-01-31,1097.574
2017-02-28,1113.123
2017-03-31,1139.721
2017-04-28,1179.782
2017-05-31,1228.228
2017-06-30,1225.14
2017-07-31,1263.319
2017-08-31,1275.393
2017-09-29,1309.371
2017-10-31,1337.407
2017-11-30,1353.627
2017-12-29,1385.875
2018-01-31,1454.729
2018-02-28,1396.917
2018-03-30,1379.004
2018-04-30,1393.678
2018-05-31,1400.688
2018-06-29,1381.988
2018-07-31,1394.897
2018-08-31,1388.639
2018-09-28,1376.007
2018-10-31,1230.599
2018-11-30,1213.204
2018-12-31,1142.734
2019-01-31,1234.169
2019-02-28,1269.956
2019-03-29,1279.292
2019-04-30,1321.066
2019-05-31,1258.482
2019-06-28,1329.853
2019-07-31,1326.979
2019-08-30,1301.448
2019-09-30,1318.525
2019-10-31,1369.518
2019-11-29,1407.726
2019-12-31,1456.99
2020-01-31,1432.385
2020-02-28,1299.761
2020-03-31,1112.255
2020-04-30,1238.934
2020-05-29,1340.987
2020-06-30,1371.262
2020-07-31,1442.851
2020-08-31,1532.001
2020-09-30,1525.654
2020-10-30,1477.963
2020-11-30,1648.458
2020-12-31,1744.364
2021-01-29,1731.26
2021-02-26,1726.571
2021-03-31,1750.956
2021-04-30,1834.338
2021-05-31,1870.458
2021-06-30,1865.889
2021-07-30,1899.52
2021-08-31,1945.985
2021-09-30,1865.836
2021-10-29,1912.2
2021-11-30,1823.524
2021-12-31,1881.822
2022-01-31,1670.642
2022-02-28,1644.347
2022-03-31,1659.793
2022-04-29,1514.928
2022-05-31,1492.152
2022-06-30,1335.099
2022-07-29,1440.743
2022-08-31,1364.604
2022-09-30,1214.028
2022-10-31,1267.924
2022-11-30,1392.288
2022-12-30,1375.934
2023-01-31,1486.238
2023-02-28,1445.536
2023-03-31,1479.602
2023-04-28,1503.533
2023-05-31,1453.934
2023-06-30,1492.836
2023-07-31,1549.601
2023-08-31,1489.957
2023-09-29,1407.917
2023-10-31,1317.113
2023-11-30,1464.523
2023-12-29,1566.935
2024-01-31,1545.333
2024-02-29,1580.501
2024-03-29,1622.472
2024-04-30,1556.181
2024-05-31,1617.823
2024-06-28,1588.04
2024-07-31,1651.193
2024-08-30,1700.755
2024-09-30,1745.581
2024-10-31,1646.046
2024-11-29,1671.627
2024-12-31,1621.756
2025-01-31,1680.741
2025-02-28,1669.969
2025-03-31,1650.872
2025-04-30,1751.444
2025-05-30,1864.413
2025-06-30,1945.414
2025-07-31,1928.44
2025-08-29,2001.777
