Date,SWITZERLAND LARGE CAP Large Cap
2005-01-31,593.943
2005-02-28,626.415
2005-03-31,612.366
2005-04-29,615.582
2005-05-31,617.237
2005-06-30,612.247
2005-07-29,645.255
2005-08-31,650.641
2005-09-30,672.848
2005-10-31,686.918
2005-11-30,710.899
2005-12-30,724.786
2006-01-31,769.309
2006-02-28,757.803
2006-03-31,775.463
2006-04-28,824.723
2006-05-31,800.734
2006-06-30,799.413
2006-07-31,827.475
2006-08-31,850.215
2006-09-29,860.891
2006-10-31,881.118
2006-11-30,906.298
2006-12-29,919.882
2007-01-31,933.813
2007-02-28,916.167
2007-03-30,938.415
2007-04-30,1011.45
2007-05-31,1000.0
2007-06-29,973.297
2007-07-31,958.604
2007-08-31,958.271
2007-09-28,999.575
2007-10-31,1015.452
2007-11-30,1021.087
2007-12-31,979.11
2008-01-31,924.413
2008-02-29,945.85
2008-03-31,957.568
2008-04-30,962.393
2008-05-30,959.155
2008-06-30,911.213
2008-07-31,910.468
2008-08-29,883.753
2008-09-30,796.931
2008-10-31,709.65
2008-11-28,645.334
2008-12-31,698.239
2009-01-30,612.299
2009-02-27,545.536
2009-03-31,592.502
2009-04-30,633.642
2009-05-29,693.364
2009-06-30,686.308
2009-07-31,765.296
2009-08-31,814.659
2009-09-30,841.433
2009-10-30,851.122
2009-11-30,863.279
2009-12-31,877.238
2010-01-29,844.928
2010-02-26,866.655
2010-03-31,917.03
2010-04-30,871.72
2010-05-31,779.615
2010-06-30,812.979
2010-07-30,850.39
2010-08-31,872.238
2010-09-30,917.091
2010-10-29,935.687
2010-11-30,897.034
2010-12-31,977.363
2011-01-31,977.026
2011-02-28,1015.087
2011-03-31,997.389
2011-04-29,1098.493
2011-05-31,1127.275
2011-06-30,1079.523
2011-07-29,1076.315
2011-08-31,1009.349
2011-09-30,897.849
2011-10-31,969.241
2011-11-30,915.508
2011-12-30,933.26
2012-01-31,955.624
2012-02-29,1008.367
2012-03-30,1032.851
2012-04-30,1022.96
2012-05-31,918.393
2012-06-29,975.064
2012-07-31,998.129
2012-08-31,1021.101
2012-09-28,1052.04
2012-10-31,1081.402
2012-11-30,1126.374
2012-12-31,1139.42
2013-01-31,1239.456
2013-02-28,1250.197
2013-03-29,1272.795
2013-04-30,1332.983
2013-05-31,1296.266
2013-06-28,1269.237
2013-07-31,1313.342
2013-08-30,1296.627
2013-09-30,1384.997
2013-10-31,1416.28
2013-11-29,1423.796
2013-12-31,1435.666
2014-01-31,1404.664
2014-02-28,1504.101
2014-03-31,1505.782
2014-04-30,1531.474
2014-05-30,1550.946
2014-06-30,1535.914
2014-07-31,1472.006
2014-08-29,1503.997
2014-09-30,1469.227
2014-10-31,1457.868
2014-11-28,1507.664
2014-12-31,1433.026
2015-01-30,1443.658
2015-02-27,1505.913
2015-03-31,1506.559
2015-04-30,1570.496
2015-05-29,1594.186
2015-06-30,1526.795
2015-07-31,1596.017
2015-08-31,1485.797
2015-09-30,1422.192
2015-10-30,1478.839
2015-11-30,1425.803
2015-12-31,1437.252
2016-01-29,1324.148
2016-02-29,1293.932
2016-03-31,1346.979
2016-04-29,1391.422
2016-05-31,1390.165
2016-06-30,1387.052
2016-07-29,1417.123
2016-08-31,1404.131
2016-09-30,1414.476
2016-10-31,1334.768
2016-11-30,1294.255
2016-12-30,1351.053
2017-01-31,1399.964
2017-02-28,1417.384
2017-03-31,1462.521
2017-04-28,1516.022
2017-05-31,1601.223
2017-06-30,1598.201
2017-07-31,1606.03
2017-08-31,1589.454
2017-09-29,1616.047
2017-10-31,1582.157
2017-11-30,1623.436
2017-12-29,1643.427
2018-01-31,1705.798
2018-02-28,1594.814
2018-03-30,1572.28
2018-04-30,1570.534
2018-05-31,1506.64
2018-06-29,1520.507
2018-07-31,1626.527
2018-08-31,1628.763
2018-09-28,1634.887
2018-10-31,1587.825
2018-11-30,1601.459
2018-12-31,1518.041
2019-01-31,1608.41
2019-02-28,1676.179
2019-03-29,1719.895
2019-04-30,1743.985
2019-05-31,1743.854
2019-06-28,1859.588
2019-07-31,1854.281
2019-08-30,1863.718
2019-09-30,1873.493
2019-10-31,1900.09
2019-11-29,1920.149
2019-12-31,2002.243
2020-01-31,2016.549
2020-02-28,1853.042
2020-03-31,1801.141
2020-04-30,1894.297
2020-05-29,1933.42
2020-06-30,1995.582
2020-07-31,2072.799
2020-08-31,2118.529
2020-09-30,2087.409
2020-10-30,1970.653
2020-11-30,2143.389
2020-12-31,2246.041
2021-01-29,2200.106
2021-02-26,2137.941
2021-03-31,2200.084
2021-04-30,2297.714
2021-05-31,2403.337
2021-06-30,2460.916
2021-07-30,2543.954
2021-08-31,2582.906
2021-09-30,2388.977
2021-10-29,2538.663
2021-11-30,2512.216
2021-12-31,2707.239
2022-01-31,2502.431
2022-02-28,2495.349
2022-03-31,2560.111
2022-04-29,2458.58
2022-05-31,2375.684
2022-06-30,2215.745
2022-07-29,2315.234
2022-08-31,2194.844
2022-09-30,2060.005
2022-10-31,2123.128
2022-11-30,2283.21
2022-12-30,2262.714
2023-01-31,2388.312
2023-02-28,2298.631
2023-03-31,2405.661
2023-04-28,2570.942
2023-05-31,2456.084
2023-06-30,2528.751
2023-07-31,2605.267
2023-08-31,2515.041
2023-09-29,2384.525
2023-10-31,2269.014
2023-11-30,2478.426
2023-12-29,2614.449
2024-01-31,2617.593
2024-02-29,2562.206
2024-03-29,2608.134
2024-04-30,2494.092
2024-05-31,2694.569
2024-06-28,2699.743
2024-07-31,2834.2
2024-08-30,2972.043
2024-09-30,2926.675
2024-10-31,2758.884
2024-11-29,2700.77
2024-12-31,2591.084
2025-01-31,2808.538
2025-02-28,2921.952
2025-03-31,2927.097
2025-04-30,3077.445
2025-05-30,3113.522
2025-06-30,3134.51
