Date,AUSTRALIA IMI VALUE IMI (Large+Mid+Small Cap)
2007-08-31,960.676
2007-09-28,1065.549
2007-10-31,1141.34
2007-11-30,1044.432
2007-12-31,1000.984
2008-01-31,905.471
2008-02-29,895.307
2008-03-31,866.576
2008-04-30,915.992
2008-05-30,914.94
2008-06-30,812.993
2008-07-31,786.74
2008-08-29,744.812
2008-09-30,655.746
2008-10-31,481.213
2008-11-28,433.391
2008-12-31,457.768
2009-01-30,383.809
2009-02-27,359.366
2009-03-31,432.462
2009-04-30,484.68
2009-05-29,532.35
2009-06-30,568.121
2009-07-31,635.177
2009-08-31,707.34
2009-09-30,801.157
2009-10-30,795.489
2009-11-30,808.286
2009-12-31,822.333
2010-01-29,774.33
2010-02-26,788.265
2010-03-31,843.03
2010-04-30,857.887
2010-05-31,712.054
2010-06-30,694.599
2010-07-30,780.862
2010-08-31,768.08
2010-09-30,866.608
2010-10-29,882.521
2010-11-30,843.509
2010-12-31,927.706
2011-01-31,919.101
2011-02-28,958.724
2011-03-31,971.5
2011-04-29,1039.554
2011-05-31,976.312
2011-06-30,974.712
2011-07-29,946.715
2011-08-31,916.894
2011-09-30,795.007
2011-10-31,940.648
2011-11-30,881.375
2011-12-30,875.023
2012-01-31,941.491
2012-02-29,974.235
2012-03-30,965.359
2012-04-30,991.99
2012-05-31,867.869
2012-06-29,944.234
2012-07-31,1029.423
2012-08-31,1031.337
2012-09-28,1048.605
2012-10-31,1080.56
2012-11-30,1092.259
2012-12-31,1121.502
2013-01-31,1199.961
2013-02-28,1255.696
2013-03-29,1276.794
2013-04-30,1358.41
2013-05-31,1158.204
2013-06-28,1097.752
2013-07-31,1125.769
2013-08-30,1136.477
2013-09-30,1222.221
2013-10-31,1297.597
2013-11-29,1237.271
2013-12-31,1212.687
2014-01-31,1142.808
2014-02-28,1233.975
2014-03-31,1292.059
2014-04-30,1319.188
2014-05-30,1324.402
2014-06-30,1335.778
2014-07-31,1373.229
2014-08-29,1387.056
2014-09-30,1213.886
2014-10-31,1287.542
2014-11-28,1214.705
2014-12-31,1191.805
2015-01-30,1166.236
2015-02-27,1259.867
2015-03-31,1234.909
2015-04-30,1231.76
2015-05-29,1195.852
2015-06-30,1132.07
2015-07-31,1112.141
2015-08-31,986.971
2015-09-30,935.917
2015-10-30,993.808
2015-11-30,976.501
2015-12-31,994.26
2016-01-29,894.424
2016-02-29,882.449
2016-03-31,1009.827
2016-04-29,1059.07
2016-05-31,1015.235
2016-06-30,1011.023
2016-07-29,1099.939
2016-08-31,1089.982
2016-09-30,1126.748
2016-10-31,1121.592
2016-11-30,1139.287
2016-12-30,1180.591
2017-01-31,1222.605
2017-02-28,1277.994
2017-03-31,1311.953
2017-04-28,1303.661
2017-05-31,1218.621
2017-06-30,1258.979
2017-07-31,1330.58
2017-08-31,1312.415
2017-09-29,1307.835
2017-10-31,1318.152
2017-11-30,1305.389
2017-12-29,1358.077
2018-01-31,1392.107
2018-02-28,1336.755
2018-03-30,1251.519
2018-04-30,1251.648
2018-05-31,1247.241
2018-06-29,1248.78
2018-07-31,1280.549
2018-08-31,1240.753
2018-09-28,1242.832
2018-10-31,1143.927
2018-11-30,1178.182
2018-12-31,1127.322
2019-01-31,1191.995
2019-02-28,1246.182
2019-03-29,1241.626
2019-04-30,1254.717
2019-05-31,1274.578
2019-06-28,1322.469
2019-07-31,1316.752
2019-08-30,1237.147
2019-09-30,1291.937
2019-10-31,1291.662
2019-11-29,1275.577
2019-12-31,1312.372
2020-01-31,1289.361
2020-02-28,1144.713
2020-03-31,820.224
2020-04-30,944.904
2020-05-29,1012.298
2020-06-30,1083.332
2020-07-31,1128.265
2020-08-31,1196.967
2020-09-30,1101.983
2020-10-30,1109.486
2020-11-30,1345.554
2020-12-31,1446.178
2021-01-29,1455.296
2021-02-26,1549.094
2021-03-31,1548.116
2021-04-30,1618.15
2021-05-31,1672.58
2021-06-30,1633.34
2021-07-30,1607.357
2021-08-31,1605.765
2021-09-30,1573.182
2021-10-29,1623.56
2021-11-30,1477.587
2021-12-31,1584.618
2022-01-31,1497.972
2022-02-28,1608.096
2022-03-31,1795.458
2022-04-29,1682.168
2022-05-31,1672.075
2022-06-30,1448.032
2022-07-29,1516.674
2022-08-31,1519.888
2022-09-30,1355.444
2022-10-31,1427.141
2022-11-30,1625.504
2022-12-30,1613.846
2023-01-31,1779.948
2023-02-28,1643.706
2023-03-31,1638.539
2023-04-28,1624.009
2023-05-31,1534.128
2023-06-30,1626.636
2023-07-31,1715.72
2023-08-31,1623.386
2023-09-29,1592.322
2023-10-31,1520.189
2023-11-30,1651.143
2023-12-29,1829.416
2024-01-31,1789.947
2024-02-29,1749.156
2024-03-29,1807.306
2024-04-30,1748.374
2024-05-31,1802.384
2024-06-28,1803.023
2024-07-31,1820.951
2024-08-30,1889.35
2024-09-30,2022.703
2024-10-31,1862.292
2024-11-29,1883.016
2024-12-31,1729.24
2025-01-31,1814.627
2025-02-28,1743.301
2025-03-31,1721.096
2025-04-30,1811.032
2025-05-30,1873.789
