Date,AUSTRALIA LARGE VALUE Large Cap
2009-05-29,571.561
2009-06-30,614.854
2009-07-31,682.779
2009-08-31,770.246
2009-09-30,882.421
2009-10-30,874.176
2009-11-30,892.524
2009-12-31,901.763
2010-01-29,851.029
2010-02-26,871.908
2010-03-31,935.377
2010-04-30,954.128
2010-05-31,793.616
2010-06-30,773.259
2010-07-30,869.611
2010-08-31,848.903
2010-09-30,951.901
2010-10-29,967.267
2010-11-30,919.29
2010-12-31,1009.991
2011-01-31,1007.31
2011-02-28,1053.738
2011-03-31,1068.227
2011-04-29,1151.474
2011-05-31,1073.549
2011-06-30,1077.356
2011-07-29,1036.448
2011-08-31,1011.26
2011-09-30,882.475
2011-10-31,1049.085
2011-11-30,980.553
2011-12-30,983.62
2012-01-31,1053.26
2012-02-29,1078.125
2012-03-30,1076.318
2012-04-30,1112.297
2012-05-31,968.971
2012-06-29,1073.174
2012-07-31,1180.331
2012-08-31,1186.931
2012-09-28,1206.644
2012-10-31,1243.224
2012-11-30,1255.212
2012-12-31,1286.94
2013-01-31,1378.47
2013-02-28,1450.149
2013-03-29,1480.497
2013-04-30,1601.697
2013-05-31,1353.712
2013-06-28,1298.408
2013-07-31,1336.654
2013-08-30,1348.919
2013-09-30,1453.336
2013-10-31,1545.591
2013-11-29,1479.329
2013-12-31,1444.065
2014-01-31,1352.66
2014-02-28,1465.215
2014-03-31,1545.62
2014-04-30,1573.041
2014-05-30,1579.33
2014-06-30,1590.677
2014-07-31,1636.848
2014-08-29,1650.07
2014-09-30,1441.246
2014-10-31,1538.36
2014-11-28,1450.815
2014-12-31,1423.84
2015-01-30,1393.751
2015-02-27,1503.99
2015-03-31,1483.947
2015-04-30,1464.685
2015-05-29,1406.311
2015-06-30,1339.264
2015-07-31,1315.214
2015-08-31,1151.303
2015-09-30,1087.04
2015-10-30,1147.222
2015-11-30,1123.053
2015-12-31,1141.244
2016-01-29,1016.208
2016-02-29,989.435
2016-03-31,1129.508
2016-04-29,1195.704
2016-05-31,1142.996
2016-06-30,1129.48
2016-07-29,1225.098
2016-08-31,1212.743
2016-09-30,1262.851
2016-10-31,1266.605
2016-11-30,1291.393
2016-12-30,1335.638
2017-01-31,1382.831
2017-02-28,1452.051
2017-03-31,1493.343
2017-04-28,1488.834
2017-05-31,1367.059
2017-06-30,1411.686
2017-07-31,1497.2
2017-08-31,1459.533
2017-09-29,1461.691
2017-10-31,1475.353
2017-11-30,1449.615
2017-12-29,1504.358
2018-01-31,1544.109
2018-02-28,1484.555
2018-03-30,1380.054
2018-04-30,1370.216
2018-05-31,1359.366
2018-06-29,1370.548
2018-07-31,1407.562
2018-08-31,1352.633
2018-09-28,1356.182
2018-10-31,1251.87
2018-11-30,1293.565
2018-12-31,1241.943
2019-01-31,1296.567
2019-02-28,1359.35
2019-03-29,1347.833
2019-04-30,1362.182
2019-05-31,1389.277
2019-06-28,1456.285
2019-07-31,1440.897
2019-08-30,1344.639
2019-09-30,1404.799
2019-10-31,1392.37
2019-11-29,1369.711
2019-12-31,1413.694
2020-01-31,1390.63
2020-02-28,1237.817
2020-03-31,890.283
2020-04-30,1010.392
2020-05-29,1073.633
2020-06-30,1160.628
2020-07-31,1223.695
2020-08-31,1283.483
2020-09-30,1174.379
2020-10-30,1190.217
2020-11-30,1449.302
2020-12-31,1582.595
2021-01-29,1611.662
2021-02-26,1743.854
2021-03-31,1728.534
2021-04-30,1819.859
2021-05-31,1904.141
2021-06-30,1845.166
2021-07-30,1826.052
2021-08-31,1780.297
2021-09-30,1739.177
2021-10-29,1790.615
2021-11-30,1606.034
2021-12-31,1740.895
2022-01-31,1680.783
2022-02-28,1800.609
2022-03-31,2053.652
2022-04-29,1895.445
2022-05-31,1908.698
2022-06-30,1656.43
2022-07-29,1701.441
2022-08-31,1714.353
2022-09-30,1564.823
2022-10-31,1644.332
2022-11-30,1900.044
2022-12-30,1889.116
2023-01-31,2092.76
2023-02-28,1915.85
2023-03-31,1925.664
2023-04-28,1887.633
2023-05-31,1776.344
2023-06-30,1907.808
2023-07-31,2008.494
2023-08-31,1908.349
2023-09-29,1893.254
2023-10-31,1822.621
2023-11-30,1969.97
2023-12-29,2186.433
2024-01-31,2148.214
2024-02-29,2092.041
2024-03-29,2141.051
2024-04-30,2077.287
2024-05-31,2164.243
2024-06-28,2161.16
2024-07-31,2154.18
2024-08-30,2235.821
2024-09-30,2415.224
2024-10-31,2215.974
2024-11-29,2218.199
2024-12-31,2035.258
2025-01-31,2122.222
2025-02-28,2010.156
2025-03-31,1983.733
2025-04-30,2081.111
2025-05-30,2135.451
